MetricId,MetricUnits,MetricDescription
DemaReal,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público)
DemaReal,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público)
ExpoMoneda,COP,Transferencias de Energia desde Colombia hacia otros paises
DemaCome,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
Gene,kWh,Generacion neta de cada una de las plantas Nacionales en sus puntos de frontera.
GeneIdea,kWh,Despacho de generacion que resulta de considerar una red de transporte inexistente
PrecBolsNaci,COP/kWh,"Precio de oferta de la última planta flexible para atender la demanda comercial nacional, más delta de incremento para remunerar los costos no cubiertos de las plantas térmicas en el despacho ideal."
RestAliv,COP,"“Es el valor a cargo de los comercializadores por concepto de restricciones después de aplicar los alivios definidos en la regulación vigente”, la regla de negocio de esta métrica sería la Resolución "
ConsCombustibleMBTU,MBTU,Los generadores térmicos deben reportar diariamente según resolución CREG 084 de 2005 el consumo de combustible en MBTU
Gene,kWh,Generacion neta de cada una de las plantas Nacionales en sus puntos de frontera.
IndRecMargina,#,"Si Precio de Oferta Declarado = Máximo Precio de Oferta Nacional (para el recurso que esto se cumpla, es el recurso que margina)"
DemaCome,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
PrecOferDesp,COP/kWh,Es el precio de la energia de un recurso de generación despachados centralmente enviados por los agentes para el Despacho. Incluye el CEE
MaxPrecOferNal,COP/kWh,Máximo precio de oferta nacional
CompBolsNaciEner,kWh,Energía comprada en la Bolsa de Energía para atender la demanda nacional
CompBolsNaciEner,kWh,Energía comprada en la Bolsa de Energía para atender la demanda nacional
CompContEner,kWh,Energía comprada mediante Contratos de largo plazo
CompContEner,kWh,Energía comprada mediante Contratos de largo plazo
VentContEner,kWh,Energia vendida mediante Contratos de largo plazo
VentContEner,kWh,Energia vendida mediante Contratos de largo plazo
GeneIdea,kWh,Despacho de generacion que resulta de considerar una red de transporte inexistente
ConsCombAprox,MBTU,La métrica se construye con el objetivo de determinar un valor aproximado para el consumo de combustible para los generadores térmicos que no deben reportar diariamente según resolución CREG 084 de 20
EmisionesCO2,TonCO2,Emisiones totales de Dióxido de Carbono – CO2 de las plantas de generación registradas ante el CND. Incluye tanto las obtenidas con base en el reporte de consumo de combustible como las aproximadas po
EmisionesCH4,TonCH4,"Emisiones totales de Dióxido de Carbono –CH4 de las plantas de generación registradas ante el CND, incluye tanto las obtenidas con base en el reporte de consumo de combustible como las aproximadas por"
EmisionesN2O,TonN2O,"Emisiones totales de Dióxido de Carbono – N2O de las plantas de generación registradas ante el CND, incluye tanto las obtenidas con base en el reporte de consumo de combustible como las aproximadas po"
EmisionesCO2Eq,gCO2e/kWh,Emisiones totales de Dióxido de Carbono. Para convertir las emisiones de CH4 y N2O se tomaron las sigueintes equivalencias 1 tonCH4= 21 tonCO2e y 1 tonN2O= 310 tonCO2e
factorEmisionCO2e,gCO2e/kWh,Factor de emision de CO2 equivalente. Corresponde al Margen de Operación Simple (OM) el cual se obtiene como el cociente entre la generación real Sistema y las emisiones de CO2. Para convertir las emi
ImpoEner,kWh,Transferencias de Energia desde otros paises para abastecer la demanda nacional
ImpoEner,kWh,Transferencias de Energia desde otros paises para abastecer la demanda nacional
ImpoMoneda,COP,Transferencias de Energia desde otros paises para abastecer la demanda nacional
ExpoEner,kWh,Transferencias de Energia desde Colombia hacia otros paises
ExpoMoneda,COP,Transferencias de Energia desde Colombia hacia otros paises
DemaOR,kWh,"Demanda real del OR sin referir al STN, excluyendo la demanda de los usuarios conectados directamente al STN. Es decir que no se consideran las perdidas existentes en el STN."
PerdidasEner,kWh,"Cantidad de las inyecciones de energia al Sistema de Transmision Nacional (flujos de baja a alta tension), menos la cantidad de los flujos que salieron del Sistema (flujos de alta a baja tension)."
GeneSeguridad,kWh,"Generación que se requiere para garantizar condiciones de seguridad y confiabilidad, en la operación del Sistema Interconectado Nacional (SIN). Esta generación es programada por el CND en el Despacho "
GeneFueraMerito,kWh,"Generación forzada requerida para suplir las Restricciones del SIN, cuyo precio de oferta es superior al precio de bolsa."
ExpoEner,kWh,Transferencias de Energia desde Colombia hacia otros paises
GeneProgDesp,kWh,"Despacho de generacion esperado de las centrales, que resulta de considerar la red de transporte real"
GeneProgRedesp,kWh,Generación programada del redespacho
DispoReal,kW,"Disponibilidad promedio calculada a partir de la fecha de los eventos que modifican la disponibilidad de las unidades de generacion de los generadores, asi como de la disponibilidad reportada al Centr"
DispoCome,kW,"Considera la declaración de disponibilidad de los generadores, modificada cuando se presentan cambios en las unidades de generación en operación real del Sistema"
DispoDeclarada,kWh,"Máxima cantidad de potencia neta que un generador puede suministrar al sistema durante el intervalo de tiempo determinado para el despacho económico o el redespacho, reportada diariamente en la oferta"
RecoPosEner,kWh,Es el valor de la compensacion positiva que se debe aplicar a los generadores para cada uno de sus recursos ofertados debido a las diferencias entre el despacho ideal y la generacion real. Este concep
RecoNegEner,kWh,Costos asociados con generaciones desplazadas en el despacho real por Generaciones de Seguridad Fuera de Merito o por Redespachos (diferencia entre el despacho ideal y el real).Este concepto aplica de
RespComerAGC,COP,Responsabilidad Comercial de cada agente generador frente al Servicio de Regulación Secundara de Frecuencia
DesvEner,kWh,Es la cantidad de energía que se desvía una Central cuando incumple el programa de generación
DesvMoneda,COP,Es la cantidad de energía que se desvía una Central cuando incumple el programa de generación
RecoPosMoneda,COP,Es el valor de la compensacion positiva que se debe aplicar a los generadores para cada uno de sus recursos ofertados debido a las diferencias entre el despacho ideal y la generacion real. Este concep
RecoNegMoneda,COP,Costos asociados con generaciones desplazadas en el despacho real por Generaciones de Seguridad Fuera de Merito o por Redespachos (diferencia entre el despacho ideal y el real).Este concepto aplica de
ExcedenteAGPE,kWh,Compras Excedentes AGPE: Esta consulta está asociada con la energía que reportan los comercializadores integrados con los Operadores de Red como compras de excedentes a Autogeneradores a Pequeña Escal
DemaComeReg,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
DemaComeNoReg,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
DemaComeReg,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
DemaComeNoReg,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
RestSinAliv,COP,Es el valor de la generacion de seguridad total del sistema asociada a restricciones por concepto de limitaciones en la capacidad de transporte en las redes del SIN.
DemaComeNoReg,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
PrecPromContNoRegu,COP/kWh,[Sumatoria Valor Ventas Contrato cuando el Mercado Destino es No Regulado] / [Sumatoria Ventas Energía Contrato cuando el Mercado Destino es No Regulado]
PrecPromContRegu,COP/kWh,[Sumatoria Valor Ventas Contrato cuando el Mercado Destino es Regulado] / [Sumatoria Ventas Energía Contrato cuando el Mercado Destino es Regulado]
CompContEnerReg,kWh,Energía comprada mediante Contratos de largo plazo
CompContEnerNoReg,kWh,Energía comprada mediante Contratos de largo plazo
CompContEnerReg,kWh,Energía comprada mediante Contratos de largo plazo
CompContEnerNoReg,kWh,Energía comprada mediante Contratos de largo plazo
RentasCongestRestr,COP,"La Resolución CREG 060 de 2004 modifica la Resolución CREG 004 de 2003, estableciendo la asignación de las Rentas de Congestión a la demanda total, la cual es definida como la sumatoria de la demanda "
EjecGarantRestr,COP,"Ejecución de Garantías (Res. CREG 071 de 2006):“Valor (horario, diario y mensual) a favor de los comercializadores por ejecución de garantías del Cargo por Confiabilidad”; la regla de negocio es la Re"
SnTIEMerito,COP,Corresponde a los valores netos deficitarios o superavitarios resultantes del ajuste final de Transacciones Internacionales de Electricidad de acuerdo con lo definido en la Resolución 004 de 2003.
SnTIEFueraMerito,COP,Corresponde a los valores netos deficitarios o superavitarios resultantes del ajuste final de Transacciones Internacionales de Electricidad de acuerdo con lo definido en la Resolución 004 de 2003.
PrecBolsNaciTX1,COP/kWh,Promedio aritmético del precio de bolsa nacional de la versión TX1
CompBolsaTIEEner,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE
CompBolsaIntEner,kWh,"Energía comprada en la Bolsa para atender la demanda internacional, es decir, las exportaciones a Venezuela. La interconexión con Venezuela se hace a través de las líneas Cuestecitas- Cuatricentenario"
VentBolsaTIEEner,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE
VentBolsaIntEner,kWh,Energía vendida en la Bolsa de Energía para atender la demanda internacional.
CompBolsaTIEEner,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE
CompBolsaIntEner,kWh,"Energía comprada en la Bolsa para atender la demanda internacional, es decir, las exportaciones a Venezuela. La interconexión con Venezuela se hace a través de las líneas Cuestecitas- Cuatricentenario"
VentBolsaTIEEner,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE
VentBolsaIntEner,kWh,Energía vendida en la Bolsa de Energía para atender la demanda internacional.
CompBolsaTIEMoneda,COP,Energía comprada en la Bolsa de Energía para atender la demanda TIE
CompBolsaIntMoneda,COP,"Energía comprada en la Bolsa para atender la demanda internacional, es decir, las exportaciones a Venezuela. La interconexión con Venezuela se hace a través de las líneas Cuestecitas- Cuatricentenario"
VentBolsaTIEMoneda,COP,Energía comprada en la Bolsa de Energía para atender la demanda TIE
VentBolsaIntMoneda,COP,Energía vendida en la Bolsa de Energía para atender la demanda internacional.
CompBolsaTIEMoneda,COP,Energía comprada en la Bolsa de Energía para atender la demanda TIE
CompBolsaIntMoneda,COP,"Energía comprada en la Bolsa para atender la demanda internacional, es decir, las exportaciones a Venezuela. La interconexión con Venezuela se hace a través de las líneas Cuestecitas- Cuatricentenario"
VentBolsaTIEMoneda,COP,Energía comprada en la Bolsa de Energía para atender la demanda TIE
VentBolsaIntMoneda,COP,Energía vendida en la Bolsa de Energía para atender la demanda internacional.
DemaCome,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
ImportMonedaCOP,COP,Transferencias de Energia desde otros paises para abastecer la demanda nacional
ExportMonedaUSD,COP,Transferencias de Energia desde Colombia hacia otros paises
ImportMonedaUSD,COP,Transferencias de Energia desde otros paises para abastecer la demanda nacional
CompBolsaNacMoneda,COP,Energía comprada en la Bolsa de Energía para atender la demanda nacional
CompContMoneda,COP,Energía comprada mediante Contratos de largo plazo
VentaBolsNaciMoneda,COP,Energia comprada en la Bolsa de Energia para atender la demanda nacional
VentBolsNaciEner,kWh,Energia comprada en la Bolsa de Energia para atender la demanda nacional
VentBolsNaciEner,kWh,Energia comprada en la Bolsa de Energia para atender la demanda nacional
CostMargDesp,COP/kWh,Es el aumento en el costo total operativo del Sistema debido al incremento de la demanda del mismo en una unidad. El costo adicional es imputable únicamente a unidades de generación flexbiles y con el
DesvMoneda,COP,Es la cantidad de energía que se desvía una Central cuando incumple el programa de generación
CostRecPos,COP/kWh,Reconcilación Positiva sin AGC ($) / Reconcilación Positiva sin AGC (kWh)
