,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
0,Sistema,Sistema,7962893.72,7682092.54,7458738.8,7293462.37,7176564.48,7082737.29,6954201.71,7249410.73,7625531.17,7944910.24,8248093.39,8517276.97,8642999.59,8611633.98,8547594.23,8534457.86,8490212.14,8702334.71,9509378.29,9598134.78,9557985.68,9320781.36,8902774.06,8445533.16,2023-11-26
1,Sistema,Sistema,8029850.46,7787142.79,7596574.39,7517437.32,7735185.39,8030391.18,8421377.79,9177461.43,9765950.1,9989870.57,10365314.56,10616605.64,10668622.16,10716014.86,10862495.17,10821373.53,10744738.49,10590101.3,11065055.06,10998083.35,10714964.61,10347877.25,9773638.02,9193413.0,2023-11-27
2,Sistema,Sistema,8635417.55,8226478.26,7975590.27,7839002.76,7975242.49,8260941.37,8577524.02,9234487.01,9920200.67,10142176.68,10468716.7,10777394.26,10761205.21,10833495.24,10904828.09,10896283.83,10712400.07,10602279.19,11267278.98,11257253.25,11015482.86,10512823.36,9710688.46,9119132.49,2023-11-28
3,Sistema,Sistema,8468144.72,8141864.59,7894066.39,7768626.98,7892723.52,8147454.11,8415009.19,9184649.87,9773576.47,10039597.78,10389666.11,10687713.11,10650071.21,10700689.68,11005318.11,11051260.2,10896009.17,10705577.1,11320977.36,11256108.01,11030319.66,10568360.97,9811008.29,9265644.3,2023-11-29
4,Sistema,Sistema,8681098.96,8364433.85,8141884.88,7942305.96,8070477.52,8322680.77,8629016.44,9319997.57,9763483.58,10264934.71,10646642.04,10899183.47,10857136.15,10978873.7,11177263.61,11140190.74,10963862.91,10772080.74,11254595.78,11189977.05,10966506.68,10526557.39,9768540.46,9174261.73,2023-11-30
0,Sistema,Sistema,8270398.95,8046080.27,7853704.78,7828854.18,8019042.37,8423574.16,8605404.31,9002076.52,9289518.88,9548430.35,9780217.65,9968131.25,9864065.67,9860300.6,9965830.06,9990648.4,9842095.5,10008804.4,10469391.11,10297965.69,10079043.01,9677040.06,9223147.67,8718175.94,2023-10-27
1,Sistema,Sistema,8365222.24,8096183.01,7902774.42,7791480.52,7803237.94,7891217.86,8073081.19,8592528.29,9096572.81,9439282.8,9791239.77,9959985.1,9938907.07,9798691.94,9657165.2,9560591.8,9440143.8,9501342.2,10060454.69,9874271.51,9481969.11,9075342.22,8550893.21,8102232.26,2023-10-28
2,Sistema,Sistema,7788163.89,7576870.86,7384243.14,7270965.11,7258095.18,7201382.28,7161483.13,7409706.45,7681542.24,7902013.46,8107525.91,8289549.04,8424865.35,8445563.5,8368594.21,8322194.65,8362892.49,8620147.58,9324004.6,9386596.66,9253329.25,9003864.6,8611676.36,8174899.12,2023-10-29
3,Sistema,Sistema,7858640.12,7628234.42,7498226.82,7418700.67,7628263.19,8093835.12,8342573.05,8921070.81,9461911.34,9787597.23,10180390.59,10430424.13,10130374.71,10396590.07,10582447.0,10560077.44,10379371.01,10318328.06,10777216.91,10738943.28,10489307.63,10002160.45,9323771.76,8724411.78,2023-10-30
4,Sistema,Sistema,8303837.34,7997618.69,7799600.57,7738011.36,7971953.54,8440351.19,8636255.31,9040907.14,9507933.01,9767231.61,10123354.26,10268367.64,10151645.07,10280492.17,10377000.53,10387722.01,10201583.16,10181573.95,10422369.64,10100198.48,9906325.76,9770859.7,9290833.73,8788194.06,2023-10-31
5,Sistema,Sistema,8409277.07,8199413.08,8034961.5,7942800.27,8042491.29,8421001.0,8561647.9,8990965.54,9450515.03,9676222.56,9992464.89,10201660.58,10123158.37,10040916.53,10125012.79,10123226.79,10039730.17,10151418.67,10561414.1,10468499.76,10186345.53,9687457.08,8987018.65,8387534.13,2023-11-01
6,Sistema,Sistema,7949373.72,7745087.1,7614987.04,7573484.08,7813578.1,8314765.23,8506624.33,8938501.72,9401753.28,9675418.16,9972311.6,10158834.25,10056628.78,10155236.58,10309387.75,10345241.24,10239274.3,10227303.12,10624300.46,10599453.43,10331845.03,9801054.53,9126543.86,8565299.48,2023-11-02
7,Sistema,Sistema,8145514.58,7868899.56,7711394.44,7679721.38,7876017.68,8332803.23,8547796.48,9022235.66,9437980.46,9712132.1,10065163.05,10280430.92,10190767.5,10296138.44,10479807.01,10422716.2,10307790.81,10375162.83,10819460.79,10728679.74,10489758.77,10005603.38,9370079.32,8874893.79,2023-11-03
8,Sistema,Sistema,8427234.91,8133887.51,7902530.8,7804391.7,7705287.27,7652161.4,7725739.18,8284012.11,8929942.04,9373823.1,9601123.58,9831901.99,9732291.65,9755789.08,9777115.59,9776061.55,9711392.3,9809795.47,10379452.42,10262376.34,9943551.61,9524176.29,9036844.29,8532591.08,2023-11-04
9,Sistema,Sistema,7899881.16,7610052.28,7391721.21,7214983.69,7150421.66,7072048.71,6953712.98,7255140.84,7678740.93,8123159.23,8519924.66,8737514.02,8835931.7,8867366.59,8812281.81,8680945.05,8630754.44,8918199.95,9603632.86,9608518.26,9465432.87,9193953.01,8796130.98,8372328.44,2023-11-05
10,Sistema,Sistema,8003817.37,7598797.8,7303282.45,7129532.15,7126559.32,7058040.84,7086243.12,7594687.92,8102317.1,8489677.22,8805623.63,9097330.12,9215791.01,9156165.02,9025544.98,8920874.33,8936863.9,9181896.24,9895085.38,9962767.16,9761056.63,9361048.34,8845880.81,8339931.99,2023-11-06
11,Sistema,Sistema,8005673.44,7718789.63,7575325.49,7596854.75,7828653.62,8322280.93,8442720.91,8928327.75,9393829.02,9720447.6,10068199.95,10322528.22,10298714.32,10490036.33,10701117.75,10788702.09,10642417.45,10532771.04,11019453.26,10969152.92,10724355.99,10162125.24,9524188.87,8941763.42,2023-11-07
12,Sistema,Sistema,8459469.99,8196635.6,8049207.79,7888497.98,8108309.79,8595969.9,8809198.08,9214377.94,9653051.64,10007327.47,10362791.37,10614015.1,10576376.23,10742926.84,10957809.99,10999881.93,10857958.34,10742152.11,11306926.16,11280640.97,11053146.78,10580201.02,9879075.49,9297011.22,2023-11-08
13,Sistema,Sistema,8640312.77,8345504.75,8119502.91,8109818.83,8317413.96,8648460.46,8904607.22,9421325.88,9866199.37,10178638.24,10485881.49,10785334.21,10911373.87,11019740.89,11217478.25,11245227.49,10928630.58,10995147.33,11425210.05,11367946.05,11151697.12,10647341.28,10004702.21,9372131.73,2023-11-09
14,Sistema,Sistema,8940259.37,8641193.81,8357673.4,8185049.93,8320136.33,8646780.55,8818666.92,9284525.05,9783901.8,10103762.24,10402423.12,10613449.02,10649026.9,10747217.34,10873789.3,10905198.26,10815687.22,10769157.08,11097464.82,11013726.4,10878054.97,10502649.54,9916424.64,9355942.09,2023-11-10
15,Sistema,Sistema,8825415.62,8392323.28,8093567.13,7969096.74,7965721.98,8037514.64,8215977.85,8758371.25,9338977.71,9888727.92,10198147.17,10280017.33,10177885.84,10116299.72,10089421.48,9976025.73,9796023.37,9999785.18,10643336.29,10504495.65,10114523.64,9775308.19,9237102.77,8782799.86,2023-11-11
16,Sistema,Sistema,8479430.22,8226120.68,7903103.02,7610574.41,7535689.72,7430962.07,7336360.27,7595373.67,7961934.21,8365495.17,8731414.74,8949885.73,9112552.3,9114541.52,8941552.19,8788020.88,8714984.23,8996527.27,9762593.07,9792939.94,9651471.83,9376384.16,8948622.54,8519529.61,2023-11-12
17,Sistema,Sistema,8006937.55,7618600.57,7415532.29,7249735.86,7248686.26,7167956.11,7198269.39,7669287.77,8111393.66,8584916.79,9058387.98,9380970.52,9524811.31,9493562.96,9309687.32,9202480.54,9168223.58,9480436.59,10241717.51,10345443.66,10206951.59,9882476.37,9376466.06,8870086.18,2023-11-13
18,Sistema,Sistema,8425133.29,8137189.11,7866293.72,7908029.19,8098750.84,8472063.36,8676632.92,9228912.18,9810865.24,10189253.28,10555498.53,10854182.41,10782635.3,10935312.58,11025277.44,11029640.27,10910929.95,10882879.64,11319837.07,11308918.71,11090606.47,10597784.46,9926900.06,9338503.14,2023-11-14
19,Sistema,Sistema,8607564.49,8446917.15,8325320.34,8282541.76,8341808.07,8540768.13,8649227.1,9284624.13,9869267.22,10119285.94,10453754.94,10708082.1,10495356.46,10425991.34,10574383.82,10526936.73,10388676.07,10330680.81,10854712.48,10825148.04,10601633.91,10130688.26,9470560.79,8876609.84,2023-11-15
20,Sistema,Sistema,8242651.23,7941807.47,7787767.22,7709855.58,7910431.71,8299443.51,8557753.42,9023923.9,9511441.25,9753763.14,10045442.87,10508371.38,10542347.1,10643249.25,10908064.36,10973628.0,10798702.5,10717404.57,11301503.07,11253237.97,11019223.4,10456814.51,9819071.88,9236726.49,2023-11-16
21,Sistema,Sistema,8615418.82,8277757.91,8051252.65,7963670.06,8102127.23,8434098.01,8709609.44,9244021.4,10021263.18,10358036.58,10653562.17,10921286.58,10872176.46,10970487.89,11139012.43,11106686.65,10912655.3,10792310.24,11238377.47,11082349.91,10818667.06,10163604.1,9592564.18,9043608.44,2023-11-17
22,Sistema,Sistema,8577799.98,8286268.58,8051749.82,7888225.5,7886489.82,7945143.22,8120889.85,8638915.35,9339395.28,9665053.38,9907783.85,9985122.6,9931124.73,9866597.49,9865167.46,9773931.15,9660496.69,9826191.21,10410315.49,10304666.51,10045785.26,9375999.24,8854257.76,8406256.2,2023-11-18
23,Sistema,Sistema,8059385.22,7763639.04,7515799.91,7314259.69,7252226.63,7097752.59,6978274.64,7217965.1,7772511.13,8057025.85,8321344.59,8554382.47,8621070.41,8501281.92,8564595.42,8604517.3,8581508.34,8878033.68,9553456.18,9572279.17,9206084.94,8883405.81,8485347.91,7986022.48,2023-11-19
24,Sistema,Sistema,7671089.64,7486867.72,7467009.84,7538296.25,7735937.57,8102151.8,8450005.21,9000002.59,9536597.96,9883599.51,10225617.96,10454611.77,10490425.57,10602051.08,10657276.5,10654623.55,10583435.46,10573556.21,10853114.94,10721281.55,10516675.65,10106929.42,9436098.38,8814861.67,2023-11-20
25,Sistema,Sistema,8328228.27,8079418.44,7906762.31,7799099.47,7972592.58,8433500.7,8723895.64,9270770.25,9679047.09,9985572.3,10252940.18,10449919.83,10504731.65,10590642.94,10793219.94,10826274.07,10668566.87,10659443.38,11245714.24,11110063.14,10740310.14,10270829.21,9658961.58,9019261.15,2023-11-21
26,Sistema,Sistema,8602124.01,8224866.28,7942070.17,7816451.6,7961826.78,8287980.07,8567790.32,9284042.91,9755408.62,10073661.61,10307938.24,10514675.67,10511800.87,10558937.24,10686507.11,10648051.44,10588992.92,10526095.49,11022727.44,10936449.1,10760379.04,10338929.1,9677651.63,9076922.15,2023-11-22
