,Date,DemaReal_Sistema,DemaCome_Sistema,Gene_Sistema,GeneIdea_Sistema,timestamp
0,2022-12-01 00:00:00,8223223.68,8378272.43,8378272.43,8378272.43,2023_Q1_labor_0h
1,2022-12-01 01:00:00,7867612.39,8012441.37,8012441.37,8012441.37,2023_Q1_labor_1h
2,2022-12-01 02:00:00,7557227.22,7715187.12,7715187.12,7715187.12,2023_Q1_labor_2h
3,2022-12-01 03:00:00,7364038.01,7519022.12,7519022.12,7519022.12,2023_Q1_labor_3h
4,2022-12-01 04:00:00,7290352.5,7430914.03,7430914.03,7430914.03,2023_Q1_labor_4h
5,2022-12-01 05:00:00,7427410.17,7565595.38,7565595.38,7565595.38,2023_Q1_labor_5h
6,2022-12-01 06:00:00,7675812.25,7824881.99,7824881.99,7824881.99,2023_Q1_labor_6h
7,2022-12-01 07:00:00,7956926.65,8103991.26,8103991.26,8103991.26,2023_Q1_labor_7h
8,2022-12-01 08:00:00,8548935.2,8702622.96,8702622.96,8702622.96,2023_Q1_labor_8h
9,2022-12-01 09:00:00,8997076.48,9151220.97,9151220.97,9151220.97,2023_Q1_labor_9h
10,2022-12-01 10:00:00,9274968.44,9424423.9,9424423.9,9424423.9,2023_Q1_labor_10h
11,2022-12-01 11:00:00,9612387.4,9742103.48,9742103.48,9742103.48,2023_Q1_labor_11h
12,2022-12-01 12:00:00,9867921.09,10023879.51,10023879.51,10023879.51,2023_Q1_labor_12h
13,2022-12-01 13:00:00,9799881.77,9958643.83,9958643.83,9958643.83,2023_Q1_labor_13h
14,2022-12-01 14:00:00,9760324.61,9912566.43,9912566.43,9912566.43,2023_Q1_labor_14h
15,2022-12-01 15:00:00,9923920.81,10069571.53,10069571.53,10069571.53,2023_Q1_labor_15h
16,2022-12-01 16:00:00,9906984.49,10068079.74,10068079.74,10068079.74,2023_Q1_labor_16h
17,2022-12-01 17:00:00,9677157.62,9845799.83,9845799.83,9845799.83,2023_Q1_labor_17h
