,timestamp,Values_Type,GeneReal
0,2023_Q1_holidays_0h,COGENERADOR,98698.70846153845
1,2023_Q1_holidays_0h,EOLICA,20023.81076923077
2,2023_Q1_holidays_0h,HIDRAULICA,6835405.224615385
3,2023_Q1_holidays_0h,SOLAR,0.0
4,2023_Q1_holidays_0h,TERMICA,1118668.8630769232
5,2023_Q1_holidays_10h,COGENERADOR,98333.99
6,2023_Q1_holidays_10h,EOLICA,18291.04076923077
7,2023_Q1_holidays_10h,HIDRAULICA,6406248.043846154
8,2023_Q1_holidays_10h,SOLAR,233693.73230769232
9,2023_Q1_holidays_10h,TERMICA,1095901.0384615385
10,2023_Q1_holidays_11h,COGENERADOR,97999.38692307692
11,2023_Q1_holidays_11h,EOLICA,19067.581538461538
12,2023_Q1_holidays_11h,HIDRAULICA,6639952.315384615
13,2023_Q1_holidays_11h,SOLAR,265896.07153846155
14,2023_Q1_holidays_11h,TERMICA,1127438.7215384615
15,2023_Q1_holidays_12h,COGENERADOR,94943.14076923077
16,2023_Q1_holidays_12h,EOLICA,21159.05538461538
17,2023_Q1_holidays_12h,HIDRAULICA,6879261.18923077
18,2023_Q1_holidays_12h,SOLAR,269044.3753846154
19,2023_Q1_holidays_12h,TERMICA,1141964.4107692307
20,2023_Q1_holidays_13h,COGENERADOR,94309.91538461538
21,2023_Q1_holidays_13h,EOLICA,23371.758461538462
22,2023_Q1_holidays_13h,HIDRAULICA,6985788.259230769
23,2023_Q1_holidays_13h,SOLAR,269341.3076923077
24,2023_Q1_holidays_13h,TERMICA,1142812.0284615385
25,2023_Q1_holidays_14h,COGENERADOR,95104.54692307691
26,2023_Q1_holidays_14h,EOLICA,23628.488461538458
27,2023_Q1_holidays_14h,HIDRAULICA,6997272.7700000005
28,2023_Q1_holidays_14h,SOLAR,253444.89615384614
29,2023_Q1_holidays_14h,TERMICA,1134182.6376923076
30,2023_Q1_holidays_15h,COGENERADOR,95506.32153846153
31,2023_Q1_holidays_15h,EOLICA,24088.775384615386
32,2023_Q1_holidays_15h,HIDRAULICA,6942062.39076923
33,2023_Q1_holidays_15h,SOLAR,239593.13923076924
34,2023_Q1_holidays_15h,TERMICA,1115045.2638461539
35,2023_Q1_holidays_16h,COGENERADOR,96912.06615384616
36,2023_Q1_holidays_16h,EOLICA,24053.477692307693
37,2023_Q1_holidays_16h,HIDRAULICA,6900718.057692308
38,2023_Q1_holidays_16h,SOLAR,206291.9523076923
39,2023_Q1_holidays_16h,TERMICA,1118517.8653846155
40,2023_Q1_holidays_17h,COGENERADOR,96817.3676923077
41,2023_Q1_holidays_17h,EOLICA,24707.456153846153
42,2023_Q1_holidays_17h,HIDRAULICA,6902149.822307692
43,2023_Q1_holidays_17h,SOLAR,118207.21846153846
44,2023_Q1_holidays_17h,TERMICA,1135976.6776923076
45,2023_Q1_holidays_18h,COGENERADOR,98874.69307692308
46,2023_Q1_holidays_18h,EOLICA,25040.03846153846
47,2023_Q1_holidays_18h,HIDRAULICA,7021738.870769232
48,2023_Q1_holidays_18h,SOLAR,20290.775384615386
49,2023_Q1_holidays_18h,TERMICA,1151806.9776923077
50,2023_Q1_holidays_19h,COGENERADOR,98196.07153846153
51,2023_Q1_holidays_19h,EOLICA,24550.313846153847
52,2023_Q1_holidays_19h,HIDRAULICA,7747827.736153846
53,2023_Q1_holidays_19h,SOLAR,14.471538461538461
54,2023_Q1_holidays_19h,TERMICA,1163588.3276923078
55,2023_Q1_holidays_1h,COGENERADOR,106437.17538461539
56,2023_Q1_holidays_1h,EOLICA,19798.847692307692
57,2023_Q1_holidays_1h,HIDRAULICA,6443096.966153846
58,2023_Q1_holidays_1h,SOLAR,0.0
59,2023_Q1_holidays_1h,TERMICA,1322215.6030769232
60,2023_Q1_holidays_20h,COGENERADOR,97187.16
61,2023_Q1_holidays_20h,EOLICA,22905.083076923078
62,2023_Q1_holidays_20h,HIDRAULICA,8002814.655384615
63,2023_Q1_holidays_20h,SOLAR,0.0
64,2023_Q1_holidays_20h,TERMICA,1165669.1153846155
65,2023_Q1_holidays_21h,COGENERADOR,97748.83076923077
66,2023_Q1_holidays_21h,EOLICA,22771.668461538462
67,2023_Q1_holidays_21h,HIDRAULICA,7904113.132307692
