,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
0,Sistema,Sistema,8481036.63,8079289.73,7753586.54,7627372.02,7704674.53,7854112.43,8001282.54,8568737.04,9131978.79,9512668.57,9882870.22,10167609.32,10138074.35,10156144.26,10304716.07,10311380.7,10101715.97,9886663.54,10428871.7,10458901.23,10228260.16,9877603.48,9350793.6,8783168.23,2023-12-27
1,Sistema,Sistema,8323334.92,8013231.98,7768145.74,7633398.42,7704428.6,7849974.63,8032498.44,8578661.67,9130206.44,9448300.44,9742775.19,10030005.53,10067466.91,10082247.88,10206607.29,10155198.23,9918895.64,9823417.83,10404492.72,10397159.35,10167602.74,9768576.98,9283826.19,8705614.19,2023-12-28
2,Sistema,Sistema,8270851.03,7962439.65,7761354.8,7641834.27,7684984.42,7846345.38,7954022.11,8405698.83,8877897.21,9290768.15,9702290.21,9966217.91,9827461.14,9755438.9,9785764.27,9738106.23,9580000.3,9489437.93,10044072.53,10073495.09,9882215.1,9552082.65,9081789.9,8614412.89,2023-12-29
3,Sistema,Sistema,8187541.5,7881884.49,7656157.75,7516812.17,7366647.56,7463422.31,7499867.52,7825158.08,8257110.71,8548985.71,8827496.51,8989854.66,9034103.34,8974151.28,8991607.9,8990147.62,8865632.02,8870741.17,9569491.44,9609058.92,9413034.22,9101345.82,8752739.29,8365575.51,2023-12-30
4,Sistema,Sistema,7939233.89,7607951.56,7396126.03,7251274.41,7156817.09,7147319.61,6901894.68,7106485.56,7458423.97,7784508.97,8000679.01,8177365.32,8324587.72,8353835.16,8330015.52,8334022.53,8314706.35,8367065.49,9223119.2,9286236.71,8895773.89,8425898.81,7955415.51,7600774.12,2023-12-31
0,Sistema,Sistema,8179580.29,7937152.36,7746768.29,7661514.16,7887693.71,8192354.14,8573865.32,9329274.36,9915008.56,10129896.45,10527324.57,10780673.09,10831081.7,10885023.43,11041018.09,11011641.58,10936393.62,10772543.36,11261886.96,11179555.58,10900249.93,10552690.75,9971699.52,9379404.58,2023-11-27
1,Sistema,Sistema,8802684.62,8388269.12,8128715.41,7987696.13,8121207.17,8402595.41,8716751.41,9365404.18,10065716.77,10288443.19,10631014.19,10936732.76,10917656.67,10980517.69,11052176.24,11046711.76,10867154.39,10749996.86,11441927.44,11445192.26,11192303.93,10691180.57,9875764.31,9278098.67,2023-11-28
2,Sistema,Sistema,8608719.03,8281904.08,8035415.91,7902363.37,8024018.76,8279965.57,8538720.51,9315802.09,9920501.97,10179675.3,10529654.95,10826516.99,10784462.64,10835300.88,11143426.89,11192027.17,11036509.93,10831191.73,11468193.64,11407615.59,11185247.24,10717200.41,9958862.91,9409061.86,2023-11-29
3,Sistema,Sistema,8796439.72,8483713.22,8255917.93,8055064.54,8183016.88,8435760.14,8735760.54,9423441.07,9875902.09,10393353.87,10793957.0,11051467.07,11006129.04,11134867.96,11319792.53,11283068.29,11107322.53,10914489.81,11392970.74,11332775.41,11107761.05,10663686.17,9892802.06,9293354.17,2023-11-30
4,Sistema,Sistema,8848849.48,8474286.8,8168624.87,8022094.41,8124135.8,8409025.68,8647420.84,9236247.75,9695216.26,10118870.06,10593674.93,10880466.76,10876323.71,10945858.32,11127295.64,11068659.85,10791926.41,10638776.61,11245351.98,11184021.33,10931948.47,10434196.88,9876809.48,9305854.75,2023-12-01
