,timestamp,Values_Type,GeneReal
0,2022_Q1_holidays_0h,COGENERADOR,91098.796
1,2022_Q1_holidays_0h,EOLICA,20817.735999999997
2,2022_Q1_holidays_0h,HIDRAULICA,5176636.180000001
3,2022_Q1_holidays_0h,SOLAR,0.72
4,2022_Q1_holidays_0h,TERMICA,3083914.236
5,2022_Q1_holidays_10h,COGENERADOR,81630.744
6,2022_Q1_holidays_10h,EOLICA,23365.792
7,2022_Q1_holidays_10h,HIDRAULICA,4321550.688
8,2022_Q1_holidays_10h,SOLAR,678765.688
9,2022_Q1_holidays_10h,TERMICA,3106451.704
10,2022_Q1_holidays_11h,COGENERADOR,83580.848
11,2022_Q1_holidays_11h,EOLICA,25157.914
12,2022_Q1_holidays_11h,HIDRAULICA,4456445.854
13,2022_Q1_holidays_11h,SOLAR,746713.756
14,2022_Q1_holidays_11h,TERMICA,3189773.92
15,2022_Q1_holidays_12h,COGENERADOR,82774.974
16,2022_Q1_holidays_12h,EOLICA,27233.152000000002
17,2022_Q1_holidays_12h,HIDRAULICA,4690464.536
18,2022_Q1_holidays_12h,SOLAR,759268.74
19,2022_Q1_holidays_12h,TERMICA,3222170.518
20,2022_Q1_holidays_13h,COGENERADOR,87208.152
21,2022_Q1_holidays_13h,EOLICA,27240.922
22,2022_Q1_holidays_13h,HIDRAULICA,4899092.408
23,2022_Q1_holidays_13h,SOLAR,733077.5179999999
24,2022_Q1_holidays_13h,TERMICA,3190920.672
25,2022_Q1_holidays_14h,COGENERADOR,90035.112
26,2022_Q1_holidays_14h,EOLICA,25383.341999999997
27,2022_Q1_holidays_14h,HIDRAULICA,4974844.865999999
28,2022_Q1_holidays_14h,SOLAR,704777.422
29,2022_Q1_holidays_14h,TERMICA,3226789.834
30,2022_Q1_holidays_15h,COGENERADOR,88795.188
31,2022_Q1_holidays_15h,EOLICA,26183.078
32,2022_Q1_holidays_15h,HIDRAULICA,4976788.257999999
33,2022_Q1_holidays_15h,SOLAR,639825.478
34,2022_Q1_holidays_15h,TERMICA,3221196.43
35,2022_Q1_holidays_16h,COGENERADOR,89215.326
36,2022_Q1_holidays_16h,EOLICA,28162.518
37,2022_Q1_holidays_16h,HIDRAULICA,5030064.15
38,2022_Q1_holidays_16h,SOLAR,508867.02400000003
39,2022_Q1_holidays_16h,TERMICA,3269403.812
40,2022_Q1_holidays_17h,COGENERADOR,90265.804
41,2022_Q1_holidays_17h,EOLICA,28918.841999999997
42,2022_Q1_holidays_17h,HIDRAULICA,5181144.454
43,2022_Q1_holidays_17h,SOLAR,247298.278
44,2022_Q1_holidays_17h,TERMICA,3325635.8219999997
45,2022_Q1_holidays_18h,COGENERADOR,90847.992
46,2022_Q1_holidays_18h,EOLICA,28846.189999999995
47,2022_Q1_holidays_18h,HIDRAULICA,5460316.362
48,2022_Q1_holidays_18h,SOLAR,26754.041999999998
49,2022_Q1_holidays_18h,TERMICA,3349444.474
50,2022_Q1_holidays_19h,COGENERADOR,92068.86
51,2022_Q1_holidays_19h,EOLICA,28181.579999999998
52,2022_Q1_holidays_19h,HIDRAULICA,6289856.992000001
53,2022_Q1_holidays_19h,SOLAR,1.1019999999999999
54,2022_Q1_holidays_19h,TERMICA,3404241.3760000006
55,2022_Q1_holidays_1h,COGENERADOR,100783.302
56,2022_Q1_holidays_1h,EOLICA,20923.94
57,2022_Q1_holidays_1h,HIDRAULICA,5142558.478
58,2022_Q1_holidays_1h,SOLAR,0.12
59,2022_Q1_holidays_1h,TERMICA,3035788.964
60,2022_Q1_holidays_20h,COGENERADOR,92958.698
61,2022_Q1_holidays_20h,EOLICA,27374.932
62,2022_Q1_holidays_20h,HIDRAULICA,6386098.208
63,2022_Q1_holidays_20h,SOLAR,609.374
64,2022_Q1_holidays_20h,TERMICA,3370578.4420000003
65,2022_Q1_holidays_21h,COGENERADOR,91752.24799999999
66,2022_Q1_holidays_21h,EOLICA,26314.826
67,2022_Q1_holidays_21h,HIDRAULICA,6206289.762
68,2022_Q1_holidays_21h,SOLAR,0.72
69,2022_Q1_holidays_21h,TERMICA,3311201.096
70,2022_Q1_holidays_22h,COGENERADOR,90849.45800000001
71,2022_Q1_holidays_22h,EOLICA,23090.928
72,2022_Q1_holidays_22h,HIDRAULICA,5892926.882
73,2022_Q1_holidays_22h,SOLAR,0.72
74,2022_Q1_holidays_22h,TERMICA,3260083.908
75,2022_Q1_holidays_23h,COGENERADOR,87640.322
76,2022_Q1_holidays_23h,EOLICA,21275.052000000003
77,2022_Q1_holidays_23h,HIDRAULICA,5531546.762
78,2022_Q1_holidays_23h,SOLAR,0.72
79,2022_Q1_holidays_23h,TERMICA,3183511.662
80,2022_Q1_holidays_2h,COGENERADOR,99311.24399999999
81,2022_Q1_holidays_2h,EOLICA,19174.358
82,2022_Q1_holidays_2h,HIDRAULICA,4811385.426
83,2022_Q1_holidays_2h,SOLAR,0.12
84,2022_Q1_holidays_2h,TERMICA,2995003.658
85,2022_Q1_holidays_3h,COGENERADOR,98925.412
86,2022_Q1_holidays_3h,EOLICA,18463.884
87,2022_Q1_holidays_3h,HIDRAULICA,4596855.186
88,2022_Q1_holidays_3h,SOLAR,0.12
89,2022_Q1_holidays_3h,TERMICA,2980576.294
90,2022_Q1_holidays_4h,COGENERADOR,98617.658
91,2022_Q1_holidays_4h,EOLICA,16670.652
92,2022_Q1_holidays_4h,HIDRAULICA,4403855.6899999995
93,2022_Q1_holidays_4h,SOLAR,0.24
94,2022_Q1_holidays_4h,TERMICA,2986743.014
95,2022_Q1_holidays_5h,COGENERADOR,97345.48000000001
96,2022_Q1_holidays_5h,EOLICA,17024.829999999998
97,2022_Q1_holidays_5h,HIDRAULICA,4329361.746
98,2022_Q1_holidays_5h,SOLAR,0.12
99,2022_Q1_holidays_5h,TERMICA,2954374.7539999997
100,2022_Q1_holidays_6h,COGENERADOR,96104.94399999999
101,2022_Q1_holidays_6h,EOLICA,15810.766
102,2022_Q1_holidays_6h,HIDRAULICA,4282789.224
103,2022_Q1_holidays_6h,SOLAR,83.714
104,2022_Q1_holidays_6h,TERMICA,2947012.286
105,2022_Q1_holidays_7h,COGENERADOR,95065.496
106,2022_Q1_holidays_7h,EOLICA,15200.644
107,2022_Q1_holidays_7h,HIDRAULICA,4088717.5020000003
108,2022_Q1_holidays_7h,SOLAR,54196.162
109,2022_Q1_holidays_7h,TERMICA,2895945.82
110,2022_Q1_holidays_8h,COGENERADOR,88689.61600000001
111,2022_Q1_holidays_8h,EOLICA,16146.45
112,2022_Q1_holidays_8h,HIDRAULICA,4136819.1159999995
113,2022_Q1_holidays_8h,SOLAR,291345.754
