Id,Name,Value,Date
Rio,A. SAN LORENZO,25.67,2024-04-29
Rio,ALTOANCHICAYA,72.19,2024-04-29
Rio,AMOYA,22.56,2024-04-29
Rio,BATA,247.13,2024-04-29
Rio,BETANIA CP,226.815,2024-04-29
Rio,BLANCO,0.0,2024-04-29
Rio,BOGOTA N.R.,45.92,2024-04-29
Rio,CALIMA,14.72,2024-04-29
Rio,CAMPOALEGRE,16.704,2024-04-29
Rio,CARLOS LLERAS,21.5,2024-04-29
Rio,CAUCA SALVAJINA,193.75,2024-04-29
Rio,CHINCHINA,14.85,2024-04-29
Rio,CHUZA,35.96,2024-04-29
Rio,CONCEPCION,2.779,2024-04-29
Rio,CUCUANA,9.63,2024-04-29
Rio,DESV. BATATAS,24.491,2024-04-29
Rio,DESV. CHIVOR,6.291,2024-04-29
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",7.009,2024-04-29
Rio,DESV. GUARINO,13.08,2024-04-29
Rio,DESV. MANSO,9.68,2024-04-29
Rio,DESV. SAN MARCOS,1.75,2024-04-29
Rio,DIGUA,40.13,2024-04-29
Rio,EL QUIMBO,262.011,2024-04-29
Rio,ESCUELA DE MINAS,26.08,2024-04-29
Rio,ESTRELLA,1.335,2024-04-29
Rio,FLORIDA II,14.38,2024-04-29
Rio,GRANDE,26.624,2024-04-29
Rio,GUADALUPE,12.217,2024-04-29
Rio,GUATAPE,37.053,2024-04-29
Rio,GUAVIO,186.105,2024-04-29
Rio,ITUANGO,882.667,2024-04-29
Rio,MIEL I,97.45,2024-04-29
Rio,NARE CP,14.56,2024-04-29
Rio,PORCE III,13.193,2024-04-29
Rio,PORCE2 CP,17.705,2024-04-29
Rio,PRADO,117.53,2024-04-29
Rio,QUEBRADONA,0.381,2024-04-29
Rio,SAN CARLOS,55.93,2024-04-29
Rio,SAN EUGENIO,22.062,2024-04-29
Rio,SAN FRANCISCO,2.26,2024-04-29
Rio,SAN MIGUEL,32.13,2024-04-29
Rio,SINU URRA,312.08,2024-04-29
Rio,SOGAMOSO,806.56,2024-04-29
Rio,TENCHE,1.89,2024-04-29
Rio,A. SAN LORENZO,27.3,2024-04-30
Rio,ALTOANCHICAYA,74.2,2024-04-30
Rio,AMOYA,20.99,2024-04-30
Rio,BATA,55.61,2024-04-30
Rio,BETANIA CP,209.855,2024-04-30
Rio,BLANCO,0.0,2024-04-30
Rio,BOGOTA N.R.,30.56,2024-04-30
Rio,CALIMA,13.16,2024-04-30
Rio,CAMPOALEGRE,16.03,2024-04-30
Rio,CARLOS LLERAS,34.96,2024-04-30
Rio,CAUCA SALVAJINA,190.52,2024-04-30
Rio,CHINCHINA,15.86,2024-04-30
Rio,CHUZA,11.12,2024-04-30
Rio,CONCEPCION,3.442,2024-04-30
Rio,CUCUANA,9.71,2024-04-30
Rio,DESV. BATATAS,6.396,2024-04-30
Rio,DESV. CHIVOR,2.72,2024-04-30
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",7.69,2024-04-30
Rio,DESV. GUARINO,10.8,2024-04-30
Rio,DESV. MANSO,5.41,2024-04-30
Rio,DESV. SAN MARCOS,1.84,2024-04-30
Rio,DIGUA,41.12,2024-04-30
