Id,Code,Value,Date
Recurso,2QBW,19900.0,2024-04-29
Recurso,2QEK,35000.0,2024-04-29
Recurso,2QRL,700.0,2024-04-29
Recurso,2QV2,19900.0,2024-04-29
Recurso,2R22,18000.0,2024-04-29
Recurso,2S6Q,1600.0,2024-04-29
Recurso,2S6S,9900.0,2024-04-29
Recurso,2S6U,6500.0,2024-04-29
Recurso,2S78,470.0,2024-04-29
Recurso,2S8I,9900.0,2024-04-29
Recurso,2S8N,9900.0,2024-04-29
Recurso,2S8S,1700.0,2024-04-29
Recurso,2S8U,1800.0,2024-04-29
Recurso,2S9L,700.0,2024-04-29
Recurso,2S9Q,2250.0,2024-04-29
Recurso,2SDR,15000.0,2024-04-29
Recurso,2SI1,19900.0,2024-04-29
Recurso,2SS2,5700.0,2024-04-29
Recurso,2SW1,19900.0,2024-04-29
Recurso,2SXQ,19900.0,2024-04-29
Recurso,2T1L,19900.0,2024-04-29
Recurso,2T4P,19900.0,2024-04-29
Recurso,2T7D,4320.0,2024-04-29
Recurso,2TUT,19600.0,2024-04-29
Recurso,2TUV,19600.0,2024-04-29
Recurso,2TYI,9800.0,2024-04-29
Recurso,2U1G,2800.0,2024-04-29
Recurso,2U5P,17000.0,2024-04-29
Recurso,2U8Y,19300.0,2024-04-29
Recurso,2U91,19300.0,2024-04-29
Recurso,2U93,19300.0,2024-04-29
Recurso,2UP2,12000.0,2024-04-29
Recurso,2UPD,14200.0,2024-04-29
Recurso,2UPF,14200.0,2024-04-29
Recurso,2UPH,14200.0,2024-04-29
Recurso,2UPJ,14200.0,2024-04-29
Recurso,2UR5,1100.0,2024-04-29
Recurso,2UX3,19400.0,2024-04-29
Recurso,2V25,15000.0,2024-04-29
Recurso,2V27,2440.0,2024-04-29
Recurso,2V5G,4520.0,2024-04-29
Recurso,2VJS,8060.0,2024-04-29
Recurso,2WC5,7340.0,2024-04-29
Recurso,2WFN,9900.0,2024-04-29
Recurso,2XXR,1000.0,2024-04-29
Recurso,2YIR,1200.0,2024-04-29
Recurso,2YMA,19.8,2024-04-29
Recurso,2YNA,4700.0,2024-04-29
Recurso,2YQM,96.0,2024-04-29
Recurso,2YWY,3500.0,2024-04-29
Recurso,2Z66,89.0,2024-04-29
Recurso,2ZCF,19900.0,2024-04-29
Recurso,2ZHY,9900.0,2024-04-29
Recurso,2ZJT,14.5,2024-04-29
