Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,AAGG,80.12,71.27,73.15,71.27,39.68,97.95,879.85,4574.01,6301.05,6367.08,6422.81,4804.03,3758.27,1543.33,,,,411.26,107.44,136.09,133.39,123.63,119.04,133.72,2024-04-29
Agente,AMRC,,,,,,,,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,,,,,,,,2024-04-29
Agente,BCCG,15.11,15.11,15.11,15.11,15.74,1.74,,,,,,,,,,,,,,18.26,17.63,17.63,17.0,17.63,2024-04-29
Agente,CAFC,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,2024-04-29
Agente,CASC,7649.17,8520.06,7860.66,6344.38,5819.5,6066.73,4945.39,8362.21,14179.59,16049.32,17257.03,24129.83,22194.08,26501.78,31888.52,32787.02,30178.62,32912.95,37863.32,39552.08,37934.95,35046.97,30082.98,25436.67,2024-04-29
Agente,CBNC,113.01,270.18,435.64,540.04,585.64,700.14,506.64,604.81,422.79,512.73,332.07,342.85,585.83,563.29,935.64,1315.21,1232.58,1639.37,1708.85,1770.01,1666.34,1507.84,1618.39,1569.05,2024-04-29
Agente,CDNC,,,,,,967.74,9949.41,2678.38,,1002.56,4619.89,9921.04,13281.03,17516.19,19471.32,19930.35,13198.19,18814.84,28573.59,31307.83,25120.2,23972.2,10668.37,47.86,2024-04-29
Agente,CDNG,,,,7652.32,8455.8,15854.62,16911.6,16911.6,17681.21,2368.49,2383.56,2331.96,,,,,6616.86,20592.01,20592.01,20592.61,20593.33,13195.53,13196.55,13193.73,2024-04-29
Agente,CEOC,,,,,,2480.18,12008.94,6920.62,9117.48,8043.16,10450.95,15349.09,15427.68,13293.94,14976.08,14292.72,14958.8,25307.1,31646.94,31760.5,26560.32,17980.51,8008.26,1031.09,2024-04-29
Agente,CERC,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,,,,,,,,,,,,,960.0,960.0,960.0,3960.0,3960.0,3960.0,2024-04-29
