Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ADCC,8341.8,7950.6,7486.0,12420.4,13117.1,12364.7,11757.1,11370.1,10562.8,10082.6,9650.7,9193.5,8622.2,8352.2,8303.6,8262.3,7971.9,7810.2,7597.3,7549.1,7745.4,7625.4,7551.5,7229.9,2024-04-29
Agente,AESC,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,2024-04-29
Agente,AMRC,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,2024-04-29
Agente,ASCC,469.69,447.39,441.44,435.93,432.07,461.77,416.51,556.96,562.76,599.74,589.28,569.23,548.36,552.84,561.45,554.96,541.24,567.44,653.33,598.94,576.31,559.63,536.83,519.29,2024-04-29
Agente,BCCC,,,,,,,484.2,1035.6,3595.8,7234.8,7100.4,7783.2,6457.2,7555.8,4589.4,3972.0,6049.8,2027.4,0.52,,,,,,2024-04-29
Agente,BIAC,37387.73,37365.67,37375.31,37403.66,37414.87,37707.06,38182.24,38561.6,38645.06,38847.42,39336.99,39419.04,39497.22,39967.91,40482.37,40623.9,40551.27,39925.3,39362.39,39387.29,38513.91,37857.18,37512.28,37491.59,2024-04-29
Agente,BIGC,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2024-04-29
Agente,BTGC,121821.33,121925.93,121775.13,121512.53,121013.73,120237.13,119500.73,118903.73,117981.93,117374.73,115934.33,115096.73,115130.53,114282.53,114537.33,114812.93,113519.13,112929.93,111758.33,110986.53,111334.93,110475.73,109834.53,110974.33,2024-04-29
Agente,CAFC,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,2024-04-29
Agente,CBNC,9233.33,9278.14,9651.62,9770.88,9742.47,9463.04,9693.96,8369.06,6927.76,5694.14,4311.77,4000.0,4000.0,4000.0,4000.0,5243.1,8421.62,9950.94,9994.21,10118.68,10110.16,9631.82,9952.2,9969.1,2024-04-29
Agente,CBYC,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2024-04-29
Agente,CDNC,9038.4,8995.37,7430.62,8043.44,8608.05,8286.15,8583.95,8713.06,9024.63,9029.8,9026.35,9024.63,9055.62,9055.62,9057.34,9052.18,9034.96,9036.68,9043.57,9029.8,9029.8,9029.8,9024.63,9031.52,2024-04-29
