Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ASCC,1501.64,1474.14,1447.43,1466.55,1501.21,1645.14,1892.12,2402.18,2833.27,2984.99,3096.06,3317.41,2837.08,2624.13,3054.66,3274.5,3090.83,2998.25,2897.97,2718.68,2356.67,2048.06,1794.91,1604.23,2024-04-29
Agente,BIAC,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,2024-04-29
Agente,CASC,40587.78,40587.78,40587.78,40587.78,40587.78,40587.78,40587.78,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,35127.87,35127.87,35127.87,35127.87,35127.87,35127.87,35127.87,2024-04-29
Agente,CDNC,60899.29,60453.59,60368.05,60399.75,61948.93,72709.86,77561.96,81407.98,86852.1,87013.75,86833.14,86865.07,79328.75,72215.82,72477.59,72915.43,82239.64,78943.99,82887.32,85033.97,82603.18,71241.86,67155.86,63341.91,2024-04-29
Agente,CEOC,52407.6,51495.91,51000.05,51001.03,52284.4,55237.48,57558.88,60078.77,60832.18,61492.99,62576.74,63748.43,63276.94,62428.85,62559.32,63143.92,63720.15,59339.25,64174.64,66711.58,64248.4,60367.57,55385.14,51250.35,2024-04-29
Agente,CETC,13074.84,12350.9,11997.78,11884.43,12149.35,13147.69,14504.87,16905.34,18769.71,20449.67,21889.05,23045.76,22155.66,22155.66,22987.62,22987.62,22837.28,20356.45,20689.24,21537.23,20530.87,19291.94,16762.01,13925.34,2024-04-29
Agente,CHCC,73537.99,70279.58,68584.8,68051.76,70305.76,77453.59,85066.14,83268.81,86890.68,91255.52,95947.82,100415.12,99180.24,97605.07,96639.12,95709.74,95456.88,91561.9,100370.94,104485.86,99615.63,91335.92,77356.06,63281.55,2024-04-29
Agente,CHVC,2574.87,2574.87,2574.87,2574.87,2574.87,2574.87,2574.87,2575.57,2575.57,2575.57,2575.57,2575.57,2575.57,2575.57,2575.57,2575.57,2575.57,,,,,,,,2024-04-29
Agente,CMMC,831095.24,806823.72,786153.99,768424.45,757664.64,739353.85,702773.73,675390.95,707433.15,726932.48,754537.99,776444.35,776029.1,800371.83,819939.07,811213.11,783900.72,753884.62,799255.74,840907.22,859460.55,871585.05,861207.87,828663.03,2024-04-29
Agente,CNSC,160324.58,154287.45,149881.95,146436.77,145247.55,143013.06,143902.91,153235.96,158882.9,162377.74,168232.21,171447.59,170222.56,175067.14,178564.84,177700.01,173755.32,157598.48,170243.75,176200.45,176753.94,175571.96,169969.55,160633.61,2024-04-29
Agente,CQTC,22273.41,22087.65,21984.03,21921.55,21951.92,22167.94,22268.79,21718.27,26666.26,29804.35,30786.65,31203.62,30707.65,30561.28,31054.93,31092.59,30918.22,31172.27,34454.74,34617.77,34204.9,31027.09,27096.72,22085.05,2024-04-29
Agente,CSSC,781373.65,770559.29,761210.39,752866.63,767951.95,758503.99,728598.45,762817.84,777222.7,785582.92,795194.92,805267.8,806081.48,821738.76,835347.93,831914.25,817470.2,731446.03,764178.62,795539.22,811932.18,823745.57,818817.63,801406.02,2024-04-29
Agente,DLRC,47.59,47.59,47.59,47.59,47.59,47.59,47.59,1603.69,1603.69,1603.69,1603.69,1603.69,1603.69,1603.69,1603.69,1603.69,1603.69,40.75,40.75,40.75,40.75,40.75,40.75,40.75,2024-04-29
Agente,EBPC,4635.91,4635.91,4635.91,4635.91,5088.79,5207.86,5361.61,4074.3,4260.31,4430.42,4594.42,4719.49,4658.91,4729.77,4896.36,4943.8,4927.23,4465.45,4724.96,4787.54,4605.5,4326.42,3973.04,5284.66,2024-04-29
Agente,EBSC,57632.02,54659.26,54726.46,54651.32,56856.75,62377.25,79585.73,87538.78,94231.67,97758.47,98837.17,100752.06,98348.93,94747.97,93639.71,92371.62,91622.87,94533.73,100614.44,104549.19,97586.92,87284.31,74877.38,65465.21,2024-04-29
Agente,EDPC,23648.78,23489.69,23212.42,23232.87,23014.69,23746.51,23571.51,25043.72,26093.72,26273.26,26993.72,31250.54,27214.17,27075.54,27116.45,26377.81,26561.9,25080.76,26480.76,26833.03,27053.49,25864.85,24233.03,22796.67,2024-04-29
Agente,EDQC,31014.08,29152.93,28263.97,27975.29,28853.12,32102.38,36450.36,39098.86,42379.85,45171.58,47861.84,50253.82,49058.45,48437.38,48822.37,48670.51,50447.18,54917.57,58558.59,60626.12,57881.9,52866.3,39798.04,33268.01,2024-04-29
Agente,EEPC,43456.97,40892.88,39571.42,39217.3,40803.25,46019.63,49295.35,63199.35,69667.99,74235.42,78736.31,81724.01,78839.67,77938.85,79688.38,79696.38,78927.09,67590.31,72784.55,74270.45,70800.17,65441.64,56915.21,48289.2,2024-04-29
Agente,EGVC,8184.05,7907.25,7711.41,7597.61,7545.34,7851.72,8230.4,8960.21,9895.26,10290.19,10698.06,11251.84,11328.86,11890.97,12665.04,12925.79,12863.93,12456.1,12983.04,12818.44,12293.53,11569.39,10523.77,9429.96,2024-04-29
Agente,EMEC,181.21,105.99,109.16,98.0,99.23,112.61,115.78,275.21,270.06,300.42,261.4,333.74,307.64,325.17,394.83,344.48,231.26,89.0,154.93,194.85,64.93,302.48,117.77,61.7,2024-04-29
