Id,Values_code,Values_MarketType,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,GAPC,NO REGULADO,,,,,,,23.86,1192.58,1757.46,1905.24,2084.58,1983.46,1963.41,1990.23,1975.43,1883.19,1445.93,200.26,,,,,,,2024-04-29
Agente,TPLC,NO REGULADO,,,,,,,1265.13,1562.22,1629.63,1658.52,1658.61,1649.7,1644.39,1623.69,1539.63,1257.48,460.39,,,,,,,,2024-04-29
Agente,BIAC,REGULADO,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,2024-04-29
Agente,CASC,REGULADO,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,28790.0,28790.0,28790.0,28790.0,28790.0,28790.0,28790.0,2024-04-29
Agente,CDNC,REGULADO,54754.67,54308.97,54223.43,54255.13,55804.31,66565.24,71417.34,73048.31,78492.43,78654.08,78473.47,78505.4,70969.08,63856.15,64117.92,64555.76,73879.97,76751.79,80695.12,82841.77,80410.98,69049.66,64963.66,61149.71,2024-04-29
Agente,CEOC,REGULADO,39292.07,38380.38,37884.52,37885.5,39168.87,42121.95,44443.35,44874.79,45628.2,46289.01,47372.76,48544.45,48072.96,47224.87,47355.34,47939.94,48516.17,49611.25,54446.64,56983.58,54520.4,50639.57,45657.14,41522.35,2024-04-29
Agente,CHCC,REGULADO,20640.89,19008.6,18056.12,17719.29,18292.17,19647.76,22055.12,25020.24,27305.05,29669.6,32074.25,34593.35,35100.04,34084.69,33014.74,32399.55,32013.19,43985.97,48031.6,49883.79,47519.57,44090.23,36880.73,29072.65,2024-04-29
Agente,CMMC,REGULADO,273660.98,260498.03,248735.52,238302.61,230957.08,217245.72,210100.62,184673.62,198791.69,207806.27,218394.86,227885.89,230965.64,244940.98,253336.35,247268.45,231491.03,278821.0,288072.36,304099.94,314722.85,320549.81,320513.81,309298.18,2024-04-29
Agente,CNSC,REGULADO,92097.45,87782.31,84681.14,82347.89,81353.02,79744.43,80431.67,81697.63,83297.65,84663.54,86480.23,89132.71,92186.19,93416.89,93133.8,92565.37,89453.85,87095.3,97304.0,103407.0,104933.94,105068.63,102190.03,96182.23,2024-04-29
Agente,CQTC,REGULADO,18564.81,18379.05,18275.43,18212.95,18243.32,18459.34,18560.19,16878.71,21826.7,24964.79,25947.09,26364.06,25868.09,25721.72,26215.37,26253.03,26078.66,30465.44,33747.91,33910.94,33498.07,30320.26,26389.89,21378.22,2024-04-29
Agente,CSSC,REGULADO,310859.16,308612.29,306132.31,303415.08,301783.1,298815.07,291110.89,295376.17,292546.62,290735.65,289222.52,287521.21,289090.51,296006.33,300866.94,300983.55,299418.12,296183.97,299958.4,307423.0,314699.78,320364.76,324012.07,325217.34,2024-04-29
Agente,EBSC,REGULADO,5514.61,4814.41,5098.36,5238.02,5098.36,4935.14,10800.84,14653.38,18702.36,20742.07,21770.64,23155.69,22080.37,19972.06,18203.06,17071.19,16134.89,19876.8,16706.79,17422.7,15906.22,14119.42,11699.99,9625.68,2024-04-29
Agente,EDPC,REGULADO,13090.91,12931.82,12654.55,12675.0,12456.82,13188.64,13013.64,14190.91,15240.91,15420.45,16140.91,20397.73,16361.36,16222.73,16263.64,15525.0,15709.09,16450.0,17850.0,18202.27,18422.73,17234.09,15602.27,14165.91,2024-04-29
Agente,EDQC,REGULADO,12239.86,11125.55,10571.48,10387.17,10908.99,12347.39,14846.5,16490.46,18642.59,20375.69,22028.07,23665.54,23145.1,22592.51,22601.6,22514.45,22223.31,26678.59,28580.32,29527.9,28220.41,25659.3,21877.82,18136.35,2024-04-29
Agente,EEPC,REGULADO,20671.29,18698.2,17678.74,17400.62,18615.57,22606.95,24317.67,33649.42,38602.06,42116.49,45573.38,47860.08,45598.74,44955.92,46333.45,46352.45,45761.16,41995.11,46771.35,47929.25,45276.97,41167.44,34613.01,27976.0,2024-04-29
Agente,EGVC,REGULADO,7677.83,7401.03,7205.19,7091.39,7039.12,7345.5,7724.18,8277.35,9212.4,9607.33,10015.2,10568.98,10646.0,11208.11,11982.18,12242.93,12181.07,12256.62,12783.56,12618.96,12094.05,11369.91,10324.29,9230.48,2024-04-29
Agente,EMIC,REGULADO,21198.45,18400.04,21625.18,21229.14,23536.39,29970.99,33902.15,39658.31,43874.6,45067.18,53835.6,56833.86,54056.98,49161.67,51602.58,51045.18,47652.65,45710.53,51800.64,54992.07,51662.94,48768.96,39881.22,29299.94,2024-04-29
Agente,EMPC,REGULADO,1498.0,1476.0,1469.0,1459.0,1452.0,1467.0,1517.0,1589.0,1674.0,1748.0,1803.0,1839.0,1854.0,1847.0,1827.0,1814.0,1832.0,1929.0,1990.0,2013.0,1966.0,1854.0,1716.0,1602.0,2024-04-29
Agente,EMSC,REGULADO,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2024-04-29
Agente,ENDC,REGULADO,184985.65,148515.79,134525.82,138629.26,232751.11,459567.41,522521.16,481243.45,542208.94,575533.91,606636.38,627756.93,600025.09,583546.02,593322.93,595902.48,595171.93,734611.91,847113.62,874849.18,807486.25,674829.99,506821.38,363560.02,2024-04-29
Agente,EPMC,REGULADO,217523.65,202981.04,195750.94,196322.06,235600.1,275150.74,317269.17,315981.29,345115.38,369874.62,392938.56,413450.77,415751.09,404993.24,403171.97,400073.11,389260.41,448197.96,477017.12,489464.57,463238.89,411241.06,359066.47,286954.27,2024-04-29
Agente,EPSC,REGULADO,71914.0,66254.0,63080.0,60570.0,63628.0,76677.0,84528.0,77580.0,86435.0,94639.0,104352.0,111958.0,106449.0,106262.0,110431.0,112538.0,112388.0,140450.0,163580.0,175902.0,166402.0,149123.0,123199.0,100709.0,2024-04-29
Agente,EPTC,REGULADO,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5899.23,5903.59,5911.74,5918.97,5914.14,5913.28,5918.63,5920.35,5920.04,5935.5,5945.04,5957.03,5952.95,5943.24,5925.03,5907.96,2024-04-29
Agente,ESSC,REGULADO,73904.16,68963.5,66168.96,64137.36,65571.39,71173.05,71451.85,76891.23,88420.41,93681.04,99944.18,104430.28,98725.07,99763.13,106540.73,107786.72,105883.73,118089.55,128940.08,131488.76,126256.57,118212.7,106324.46,94705.29,2024-04-29
Agente,EXEC,REGULADO,11711.32,11598.66,11216.97,11539.46,12351.68,14436.89,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16666.67,16630.05,15407.3,2024-04-29
Agente,GNCC,REGULADO,80637.87,79096.06,77723.25,77360.18,77065.74,79811.32,92391.03,110417.19,124548.03,131624.68,137896.87,141356.75,136514.82,137851.46,139319.58,135756.31,131203.82,123931.35,116760.45,112014.0,106414.43,98278.35,90848.13,86974.67,2024-04-29
Agente,HLAC,REGULADO,57955.97,56797.04,56042.91,55587.48,55696.3,57894.93,58781.76,59517.44,61321.49,62837.77,64700.01,66076.34,64852.45,64940.53,66171.9,66484.67,66464.7,68256.0,72464.18,74286.68,72452.76,69388.7,65263.13,61561.89,2024-04-29
Agente,ITLC,REGULADO,,,,,,,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,,,,,,,,2024-04-29
Agente,NEUC,REGULADO,12014.0,12014.0,12014.0,12014.0,12014.0,12014.0,12440.48,13825.61,15447.26,16933.03,18397.42,19205.09,19315.8,18800.0,17769.64,16259.97,14391.74,12607.81,12014.0,12014.0,12014.0,12014.0,12014.0,12014.0,2024-04-29
Agente,QIEC,REGULADO,1893.55,1253.95,1080.15,891.88,961.61,1520.05,2490.17,2834.52,4497.39,5009.87,5446.36,6061.07,5672.08,5672.67,5767.76,5649.8,5591.93,5799.38,5472.97,5570.92,5140.57,4520.85,3302.92,2077.39,2024-04-29
Agente,RTQC,REGULADO,4923.45,4912.45,4907.45,4908.45,4895.45,4911.45,4965.45,4945.45,5012.45,5029.45,5064.45,5080.45,5031.45,5059.45,5071.45,5065.45,5056.45,5161.45,5171.45,5148.45,5087.45,5024.45,4993.45,4963.45,2024-04-29
Agente,TENC,REGULADO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,2024-04-29
Agente,TPLC,REGULADO,706.76,666.03,637.42,660.56,751.88,854.24,897.43,687.03,717.43,685.91,617.61,636.91,614.43,602.24,668.33,748.58,825.29,1121.3,1180.3,1124.8,1039.8,949.11,849.34,738.63,2024-04-29
Agente,GAPC,NO REGULADO,,,,,,,23.86,1192.58,1757.46,1905.24,2084.58,1983.46,1963.41,1990.23,1975.43,1883.19,1445.93,200.26,,,,,,,2024-04-30
Agente,TPLC,NO REGULADO,,,,,,,1265.13,1562.22,1629.63,1658.52,1658.61,1649.7,1644.39,1623.69,1539.63,1257.48,460.39,,,,,,,,2024-04-30
Agente,BIAC,REGULADO,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,34683.08,2024-04-30
Agente,CASC,REGULADO,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,28790.0,28790.0,28790.0,28790.0,28790.0,28790.0,28790.0,2024-04-30
Agente,CDNC,REGULADO,54754.67,54308.97,54223.43,54255.13,55804.31,66565.24,71417.34,73048.31,78492.43,78654.08,78473.47,78505.4,70969.08,63856.15,64117.92,64555.76,73879.97,76751.79,80695.12,82841.77,80410.98,69049.66,64963.66,61149.71,2024-04-30
Agente,CEOC,REGULADO,39292.07,38380.38,37884.52,37885.5,39168.87,42121.95,44443.35,44874.79,45628.2,46289.01,47372.76,48544.45,48072.96,47224.87,47355.34,47939.94,48516.17,49611.25,54446.64,56983.58,54520.4,50639.57,45657.14,41522.35,2024-04-30
Agente,CHCC,REGULADO,20640.89,19008.6,18056.12,17719.29,18292.17,19647.76,22055.12,25020.24,27305.05,29669.6,32074.25,34593.35,35100.04,34084.69,33014.74,32399.55,32013.19,43985.97,48031.6,49883.79,47519.57,44090.23,36880.73,29072.65,2024-04-30
