Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ADCC,8341.8,7950.6,7486.0,12420.4,13117.1,12364.7,11757.1,11370.1,10562.8,10082.6,9650.7,9193.5,8622.2,8352.2,8303.6,8262.3,7971.9,7810.2,7597.3,7549.1,7745.4,7625.4,7551.5,7229.9,2024-04-29
Agente,AESC,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,2024-04-29
Agente,AMRC,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,89134.1,2024-04-29
Agente,ASCC,1971.33,1921.53,1888.87,1902.48,1933.28,2106.91,2308.63,2959.14,3396.03,3584.73,3685.34,3886.64,3385.44,3176.97,3616.11,3829.46,3632.07,3565.69,3551.3,3317.62,2932.98,2607.69,2331.74,2123.52,2024-04-29
Agente,BCCC,,,,,,,484.2,1035.6,3595.8,7234.8,7100.4,7783.2,6457.2,7555.8,4589.4,3972.0,6049.8,2027.4,0.52,,,,,,2024-04-29
Agente,BIAC,72070.81,72048.75,72058.39,72086.74,72097.95,72390.14,72865.32,73244.68,73328.14,73530.5,74020.07,74102.12,74180.3,74650.99,75165.45,75306.98,75234.35,74608.38,74045.47,74070.37,73196.99,72540.26,72195.36,72174.67,2024-04-29
Agente,BIGC,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2024-04-29
Agente,BTGC,121821.33,121925.93,121775.13,121512.53,121013.73,120237.13,119500.73,118903.73,117981.93,117374.73,115934.33,115096.73,115130.53,114282.53,114537.33,114812.93,113519.13,112929.93,111758.33,110986.53,111334.93,110475.73,109834.53,110974.33,2024-04-29
Agente,CAFC,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,54500.0,2024-04-29
Agente,CASC,40587.78,40587.78,40587.78,40587.78,40587.78,40587.78,40587.78,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,41893.05,35127.87,35127.87,35127.87,35127.87,35127.87,35127.87,35127.87,2024-04-29
Agente,CBNC,9233.33,9278.14,9651.62,9770.88,9742.47,9463.04,9693.96,8369.06,6927.76,5694.14,4311.77,4000.0,4000.0,4000.0,4000.0,5243.1,8421.62,9950.94,9994.21,10118.68,10110.16,9631.82,9952.2,9969.1,2024-04-29
Agente,CBYC,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2024-04-29
