Id,Values_Name,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
RecursoComb,2S6Q,BIOGAS,,,,,,0.03071,0.55274,4.76998,0.3992,0.09212,0.21496,1.21808,1.47398,2.76372,3.51095,5.45579,4.63691,1.47398,3.6952,6.84788,3.4393,0.13307,0.2559,0.02047,2024-04-29
RecursoComb,2S6S,CARBON,,,,,,,,,,,,,,,,,,,,0.68413,,,,,2024-04-29
RecursoComb,2S8G,CARBON,,,,0.00035,,,0.00035,0.00475,,0.00043,0.47923,0.26018,0.05399,,,,,,,,,,,,2024-04-29
RecursoComb,2S8I,GAS,45.69113,43.91096,56.96557,58.74574,53.40522,47.4713,48.65809,48.0647,44.50435,23.14226,18.39513,30.26296,36.19687,37.38365,34.4167,26.10922,16.02157,30.85635,40.35061,39.16383,42.72417,45.69113,44.50435,42.13078,2024-04-29
RecursoComb,2S8S,BIOGAS,10.49395,10.50214,10.45096,10.51851,10.47757,10.54308,10.56355,10.51442,10.51851,10.47348,10.44686,8.848,10.39568,10.46324,10.37521,10.42025,10.33631,10.39978,10.42025,6.88883,10.453,10.48985,10.44481,10.50009,2024-04-29
RecursoComb,2U5P,CARBON,0.711,0.711,0.711,0.711,0.7092,0.711,0.7092,0.711,1.0998,0.7002,,,,,,,,,,,,,,,2024-04-29
RecursoComb,2U8Y,GAS,124.40075,124.40911,124.41058,124.41887,124.41746,124.41683,124.42155,125.85452,125.97104,125.96976,125.94955,125.90267,125.81001,125.59049,125.7322,125.87818,125.89948,125.88698,125.91689,125.92665,125.94821,125.96957,126.01122,126.00427,2024-04-29
RecursoComb,2U91,GAS,123.00757,123.0253,123.03723,123.03972,123.03041,123.05177,123.08206,123.75509,123.78372,123.79157,123.7526,123.68685,123.59744,123.42237,123.51198,123.65841,123.68449,123.74348,123.68691,123.71791,123.75177,123.76466,123.77314,123.78277,2024-04-29
RecursoComb,2U93,GAS,123.05368,123.0672,123.07396,123.1107,123.21159,123.25885,123.27926,123.96498,124.03793,124.02894,123.99323,123.89871,123.72607,123.56772,123.64463,123.87263,123.94878,123.40369,123.06574,123.07263,123.38608,123.82652,123.88455,123.85152,2024-04-29
RecursoComb,2UP2,BAGAZO,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,483.53772,2024-04-29
RecursoComb,2V25,CARBON,76.77432,85.06677,87.86548,88.95386,91.16518,91.18246,94.22303,94.30941,92.39178,93.70475,93.56654,94.58582,94.18848,89.80038,91.0097,77.15439,92.27085,93.16919,92.7373,92.75457,92.11536,92.58181,94.01572,94.34396,2024-04-29
RecursoComb,2V27,GAS,,,,,,,,,,,,,,,,,,0.00191,0.00477,0.00573,0.10118,0.07541,0.02196,0.04296,2024-04-29
