Id,Values_Name,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,CARBON,GEC3,1837.18,1836.35,1841.36,1836.35,1832.59,1826.32,1827.36,1828.41,1820.68,1813.15,1808.56,1808.77,1808.98,1804.59,1796.44,1796.02,1794.56,1797.28,1801.04,1806.68,1830.29,1836.76,1827.36,1824.65,2024-04-29
Recurso,CARBON,PPA1,378.04885,381.05357,383.89659,383.80616,389.23034,389.98756,381.68729,382.83958,382.55856,389.57318,388.39335,387.44729,381.89826,376.54331,381.43974,385.90761,376.50403,376.72675,375.87288,374.76499,376.36501,373.15593,374.25572,386.61894,2024-04-29
Recurso,CARBON,PPA2,813.33182,822.01768,821.62441,815.32826,816.05514,811.30071,815.11754,818.76125,832.7367,835.61172,829.64254,828.10949,820.30438,818.09658,819.45499,786.83597,810.08253,805.0864,807.75554,804.27334,802.12189,808.96595,807.6083,810.0337,2024-04-29
Recurso,CARBON,PPA3,755.38039,753.03241,749.38091,746.91433,752.3764,746.27119,752.89306,749.96481,746.95045,745.15225,746.09522,749.07734,748.45719,748.29647,749.96918,748.30634,748.00364,749.85958,750.47747,746.11872,745.52957,751.9151,750.07079,753.44984,2024-04-29
Recurso,CARBON,PPA4,1493.34353,1495.67238,1486.15423,1495.14195,1491.1422,1497.81425,1491.47459,1488.25796,1485.7266,1490.79176,1488.09864,1488.42599,1485.62925,1490.01328,1486.70499,1489.36241,1490.37487,1485.12257,1487.53202,1490.4013,1491.03932,1491.00232,1487.18231,1491.13383,2024-04-29
Recurso,CARBON,TGJ1,1387.26,1400.31,1398.41,1400.33,1400.36,1404.15,1396.52,1387.23,1368.42,1365.69,1364.16,1140.28,1071.39,1072.94,1070.6,1072.21,1098.33,1050.64,1050.64,951.78,937.53,890.97,888.68,913.69,2024-04-29
Recurso,CARBON,TGJ2,1187.38,1187.36,1171.92,1177.66,1184.82,1176.99,1175.02,1175.02,1175.07,1175.0,1174.88,1174.8,1174.78,1198.64,1208.61,1113.62,756.66,1143.73,1153.04,971.18,859.95,749.47,751.91,751.93,2024-04-29
Recurso,CARBON,TSJ1,1529.10199,1525.45985,1527.82925,1529.01362,1525.61255,1526.73956,1533.2788,1535.25219,1522.47363,1534.72586,1534.79456,1534.02568,1536.08846,1532.12552,1526.49422,1533.73179,1534.50494,1535.84117,1532.02787,1534.60176,1534.18524,1535.78213,1532.11438,1533.18792,2024-04-29
Recurso,CARBON,TSJ2,1521.81283,1514.97868,1505.32135,1516.51077,1516.64849,1519.60938,1522.46698,1520.74554,1501.62023,1551.73163,1547.25586,1545.67212,1550.61268,1560.64873,1561.21681,1551.90377,1547.41079,1552.04149,1546.37792,1556.06968,1560.94138,1543.76131,1550.32004,1553.41865,2024-04-29
Recurso,CARBON,ZPA2,440.19953,453.39504,452.69752,446.89058,446.51111,445.86273,438.65871,438.86153,438.34475,435.61698,431.63645,430.69517,429.8501,430.65261,430.08407,429.71338,430.25969,429.96212,432.24521,429.07479,424.76189,426.46122,435.4007,436.9968,2024-04-29
Recurso,CARBON,ZPA4,832.15996,830.30425,829.66225,826.03398,821.99713,828.38835,836.9132,836.21182,836.34641,838.5625,839.20928,840.70911,835.86713,834.08255,836.56674,837.36423,836.92849,839.72597,841.15317,843.67053,831.15771,832.11272,838.73764,831.32411,2024-04-29
Recurso,CARBON,ZPA5,708.5516,716.63226,712.96025,693.13799,707.28015,713.36665,713.79474,711.88745,717.07957,711.46269,706.31184,709.20457,701.8757,701.34448,709.23599,700.76544,700.68744,693.47896,692.48625,685.18302,663.50596,657.50535,650.66692,649.15457,2024-04-29
Recurso,GAS,TCBE,,,,,,,105.453,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,GAS,TEC1,1262.6,1035.0,966.6,328.3,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,GAS,TFL4,2174.84313,2173.30177,2172.83893,2168.6358,2168.30255,2174.1065,2177.92691,2174.41427,2161.05827,2152.12334,2148.52082,2151.68779,2148.17157,2147.61425,2144.30125,2145.64325,2151.2334,2155.94853,2160.07772,2166.19796,2168.11092,2167.85537,2167.62306,2168.43359,2024-04-29
Recurso,GAS,TGJ1,285.11,251.2,251.33,251.73,251.55,251.6,250.45,248.71,247.1,244.17,244.2,396.22,572.93,573.86,573.31,578.53,540.16,578.63,581.05,666.51,708.58,750.26,744.68,743.96,2024-04-29
Recurso,GAS,TGJ2,313.4,311.76,308.26,309.75,317.36,316.83,316.7,317.36,317.26,310.46,309.72,309.07,306.69,198.96,251.66,334.05,128.53,302.72,316.85,461.67,579.87,720.28,728.92,720.3,2024-04-29
Recurso,GAS,TVL1,645.078,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,GAS,TYP1,271.48,271.45,271.28,271.2,278.91,278.82,278.69,278.99,278.6,278.86,278.64,278.43,274.33,271.42,262.28,262.41,262.18,262.32,263.07,262.04,269.98,270.0,269.98,270.6,2024-04-29
Recurso,GAS,TYP2,372.84,371.82,371.72,371.76,372.08,371.49,371.38,371.52,370.86,350.7,352.3,353.65,360.36,363.09,363.99,363.81,356.99,355.78,355.8,365.85,370.15,371.98,371.96,372.41,2024-04-29
Recurso,GAS,TYP4,459.81,459.67,459.72,459.74,460.45,457.28,455.45,455.85,454.98,453.97,451.98,450.3,447.49,447.19,445.15,445.71,448.96,451.16,452.37,451.77,452.58,453.27,454.25,455.09,2024-04-29
Recurso,GAS NI,TBQ3,638.8069,452.1025,447.6287,450.5975,451.4325,448.2163,448.0101,446.4948,448.2472,445.9691,448.5874,447.9895,449.5667,442.9075,444.9589,444.3507,445.5258,442.5364,440.8561,441.7324,183.447,25.0286,,,2024-04-29
Recurso,GAS NI,TBST,3791.7691,3816.8455,3850.0341,3850.7213,3852.4394,3849.3361,3820.6776,3847.9513,3841.7654,3842.4528,3829.4462,3834.2258,3832.9971,3837.6103,3836.9231,3835.5484,3834.5904,3853.179,4659.6689,5121.5487,4545.3473,3749.198,3778.3355,3816.835,2024-04-29
Recurso,GAS NI,TCDT,4036.0,4043.0,4035.0,4034.0,4038.0,4041.0,4034.0,4083.0,4044.0,3988.0,4032.0,4034.0,4023.0,4070.0,4004.0,4069.0,3958.0,4036.0,3979.0,4008.0,4013.0,4006.0,4002.0,4009.0,2024-04-29
