Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Area,AREA ANTIOQUIA,90.53348,95.37348,97.37348,97.37348,97.37348,98.37348,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
Area,AREA CARIBE,90.53348,,,,,,,,,,,,,,112.37348,183.09248,183.09248,183.09248,,,,,,,2024-04-29
Area,AREA NORDESTE,90.53348,95.37347,97.37349,97.37347,97.37347,98.37347,101.37348,101.37347,102.37348,102.37348,102.37348,102.37347,102.37347,102.37347,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
Area,AREA ORIENTAL,90.53348,95.37348,97.37347,97.37348,97.37347,98.37348,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
Area,AREA SUROCCIDENTAL,90.53348,95.37348,97.37348,97.37348,97.37348,98.37348,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
Area,AREA ANTIOQUIA,90.37348,101.37348,102.37348,102.37348,102.37348,107.68748,107.68748,107.68748,107.68748,107.68748,110.02637,115.33565,115.20267,117.37348,144.97031,136.83847,192.37348,192.37348,222.37348,222.37348,222.37348,142.02857,113.68283,108.02417,2024-04-30
Area,AREA CARIBE,90.37348,101.37348,,,,,,107.68748,,,,,,117.37348,117.37348,117.37348,192.37348,,,,,,,,2024-04-30
Area,AREA NORDESTE,90.37347,101.37348,102.37347,102.37348,102.37347,107.68748,107.68748,107.68748,107.68748,107.68748,108.33685,112.37348,112.37348,117.37348,117.37348,117.37348,201.72848,201.66802,237.49266,251.1162,222.37348,117.37348,112.37348,108.31957,2024-04-30
Area,AREA ORIENTAL,90.37348,101.37348,102.37348,102.37348,102.37348,107.68748,107.68748,107.68748,107.68748,107.68748,107.68748,112.37348,112.37348,117.37348,117.37348,117.37348,192.37348,192.37348,222.37348,222.37348,222.37348,117.37348,112.37348,107.68748,2024-04-30
Area,AREA SUROCCIDENTAL,90.37348,101.37348,102.37348,102.37348,102.37348,107.68748,107.68748,107.68748,107.68748,107.68748,107.68748,112.37348,112.37348,117.37348,128.62075,175.47165,202.79953,202.65837,222.37348,252.2926,222.37348,124.65864,112.37348,107.68748,2024-04-30
