Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
SubArea,SUBAREA ANTIOQUIA,90.53348,95.37348,97.37348,97.37348,97.37348,98.37348,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
SubArea,SUBAREA ATLANTICO,90.53348,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
SubArea,SUBAREA BOGOTA,90.53348,95.37348,97.37347,97.37348,97.37347,98.37348,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
SubArea,SUBAREA BOYACA-CASANARE,90.53348,95.37347,97.37348,97.37347,97.37347,98.37347,101.37348,101.37347,102.37347,102.37348,102.37348,102.37347,102.37347,102.37347,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
SubArea,SUBAREA CAUCA-NARINO,,,,,97.3735,,,,102.37345,,,,,,,,,,,222.37349,192.37351,183.09246,,,2024-04-29
SubArea,SUBAREA CQR,,,,,,,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
SubArea,SUBAREA GCM,,,,,,,,,,,,,,,112.37348,183.09248,183.09248,183.09248,,,,,,,2024-04-29
SubArea,SUBAREA HUILA-TOLIMA,90.53348,95.37348,97.37348,97.37348,97.37348,98.37348,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
SubArea,SUBAREA SANTANDER,,,97.37351,97.37329,,98.37347,101.37355,,102.3735,,102.37351,,,,,183.09261,,,,222.37348,192.37356,183.0925,112.37352,102.37354,2024-04-29
SubArea,SUBAREA VALLE,90.53348,95.37348,97.37348,97.37348,97.37348,98.37348,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
