Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Area,AREA ANTIOQUIA,90.53348,95.37347,97.37347,97.37348,97.37348,,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,,,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
Area,AREA CARIBE,434.8297,458.62012,459.01339,457.2408,448.92226,448.83341,448.82624,446.26869,441.6333,446.23194,446.80817,446.07602,447.02577,448.4372,448.53023,448.58547,448.34019,448.10803,455.517,459.00821,453.70375,447.70817,448.30196,446.81246,2024-04-29
Area,AREA NORDESTE,237.55876,239.78932,239.71799,240.41786,243.4356,246.7732,247.6958,245.49424,243.40956,246.70006,247.86536,247.84199,247.65157,247.55519,247.59994,247.47369,247.64226,247.62928,247.65155,247.66579,247.56931,247.60133,247.59134,247.66327,2024-04-29
Area,AREA ORIENTAL,104.45427,345.63294,345.99383,353.05957,353.06586,342.89006,336.81518,266.99895,342.67844,342.70805,342.71739,342.59303,342.73146,342.73953,342.66899,342.74409,342.74902,342.81907,342.65659,342.89667,343.02557,343.10193,343.2715,343.28404,2024-04-29
Area,AREA SUROCCIDENTAL,690.38426,653.53627,770.78607,708.55321,97.37348,98.37348,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
Area,AREA ANTIOQUIA,90.37348,101.37348,102.37348,102.37348,890.33689,819.11519,107.68748,107.68748,968.78755,1325.90081,1328.16466,1322.39834,1328.43589,1330.7914,1326.96673,1312.7876,1331.02503,1330.54977,1302.28223,1316.88288,1272.85912,1326.22066,1148.07976,531.81723,2024-04-30
Area,AREA CARIBE,462.71834,459.00732,463.15868,448.02507,441.16786,442.01714,440.60997,437.06081,436.78971,436.92026,437.93701,445.17783,453.36351,460.29987,466.4298,466.78252,466.82382,467.93889,470.31153,471.09761,471.31775,471.25232,470.86769,470.79981,2024-04-30
Area,AREA NORDESTE,237.28592,239.28582,239.49874,240.88322,243.46646,246.72723,247.66679,247.67299,247.86613,247.99509,247.89791,248.09802,248.05192,248.04131,248.06161,248.05524,248.51792,248.69307,248.99423,248.78148,248.50231,248.11969,247.90823,247.04834,2024-04-30
Area,AREA ORIENTAL,102.58997,346.11751,345.669,340.72513,340.62108,340.70286,340.86364,342.65535,343.19822,340.60369,342.76834,342.97848,343.00001,342.96882,342.93962,342.89993,342.93046,338.97073,333.01462,343.00015,342.85508,342.11824,341.91808,341.69255,2024-04-30
Area,AREA SUROCCIDENTAL,341.30745,707.20576,541.97816,541.94731,543.68833,551.3123,495.31469,534.5605,579.84009,702.10134,626.34336,764.71764,763.81954,799.10727,801.5795,798.95415,782.53831,735.17931,778.59377,777.8081,776.78837,774.95724,551.73929,553.81979,2024-04-30
