Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
SubArea,SUBAREA ANTIOQUIA,90.53348,95.37347,97.37347,97.37348,97.37348,,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,,,112.37348,183.09248,183.09248,183.09248,192.37348,222.37348,192.37348,183.09248,112.37348,102.37348,2024-04-29
SubArea,SUBAREA ATLANTICO,463.4056,502.36575,503.34063,497.11528,492.8769,492.72098,493.57328,492.64617,492.65229,492.80069,492.82237,492.77288,492.7729,492.82253,492.81183,492.77855,492.76249,492.72044,502.4472,505.56571,497.74739,492.22488,492.26068,492.30003,2024-04-29
SubArea,SUBAREA BOGOTA,104.45427,345.63294,345.99383,353.05957,353.06586,342.89006,336.81518,266.99895,342.67844,342.70805,342.71739,342.59303,342.73146,342.73953,342.66899,342.74409,342.74902,342.81907,342.65659,342.89667,343.02557,343.10193,343.2715,343.28404,2024-04-29
SubArea,SUBAREA BOLIVAR,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,430.7358,2024-04-29
SubArea,SUBAREA BOYACA-CASANARE,249.06971,251.56179,252.23285,253.29541,257.59124,260.59588,261.88338,257.07616,252.49293,259.71617,262.32684,262.28503,261.97452,261.76592,261.83922,261.64757,261.95111,261.9987,262.00043,262.07477,261.87808,261.84571,261.85764,261.93756,2024-04-29
SubArea,SUBAREA CAUCA-NARINO,,95.3735,97.37387,,,98.37347,101.37347,101.37353,,102.37359,102.3735,102.37349,102.37347,102.37348,112.37348,183.09247,183.09247,183.09248,192.37348,,,,112.37347,102.37345,2024-04-29
SubArea,SUBAREA CERROMATOSO,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,237.10148,2024-04-29
SubArea,SUBAREA CORDOBA_SUCRE,90.53348,95.37347,97.37348,97.37348,97.37348,98.37347,101.37347,101.37348,102.37348,102.37348,102.37348,102.37347,102.37347,102.37348,112.37347,183.09248,183.09248,183.09248,192.37348,222.37347,192.37348,183.09248,112.37348,102.37347,2024-04-29
SubArea,SUBAREA CQR,90.53348,95.37348,97.37347,97.37348,97.37348,98.37348,101.37348,101.37348,102.37348,102.37348,102.37348,102.37348,102.37348,102.37348,112.37348,183.09248,183.09248,183.09248,192.37348,222.37347,192.37348,183.09248,112.37348,102.37348,2024-04-29
SubArea,SUBAREA GCM,460.15774,460.10853,460.10644,460.10388,460.10946,459.62416,456.94762,442.3867,413.50178,441.99287,446.12346,441.00856,447.63758,457.44816,458.19395,458.90634,459.53945,455.39158,450.67939,453.46473,460.12366,456.47098,460.1239,448.7552,2024-04-29
