Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ASCC,469.69,447.39,441.44,435.93,432.07,461.77,416.51,556.96,562.76,599.74,589.28,569.23,548.36,552.84,561.45,554.96,541.24,567.44,653.33,598.94,576.31,559.63,536.83,519.29,2024-04-29
Agente,BIAC,7849.08,7722.05,7701.58,7952.71,8145.17,8408.24,9252.56,10603.47,10777.81,9810.11,10935.08,10972.46,10873.24,11224.23,11629.05,12513.69,12110.54,11310.59,10261.52,10464.88,10206.94,9375.03,8753.47,8837.83,2024-04-29
Agente,CASC,337.23,392.7,457.06,277.22,286.26,286.21,431.32,740.81,999.85,1068.53,931.28,795.18,476.92,404.32,696.57,661.58,397.03,254.26,231.12,206.65,195.24,178.46,176.75,146.48,2024-04-29
Agente,CBNC,9346.34,9548.32,10087.26,10310.92,10328.11,10163.18,10200.6,8973.87,7350.55,6206.87,4643.84,4342.85,4585.83,4563.29,4935.64,6558.31,9654.2,11590.31,11703.06,11888.69,11776.5,11139.66,11570.59,11538.15,2024-04-29
Agente,CDNC,9102.49,9129.0,9046.16,9071.5,9078.21,9120.27,909.24,1432.08,1448.99,1574.07,1545.88,1561.77,1629.19,1817.3,1808.17,1827.89,1730.21,1648.41,9913.34,9861.73,9731.44,9687.88,9667.9,9630.72,2024-04-29
Agente,CEOC,2991.03,3091.15,3128.45,3073.74,2926.68,3185.77,3939.35,4363.99,6159.32,5483.35,4486.92,4826.96,4726.49,4745.96,4871.13,5013.38,4915.58,4315.99,4216.55,4161.38,4048.84,3954.18,3781.3,3741.2,2024-04-29
Agente,CETC,5845.82,5956.2,6170.55,6648.76,6664.44,6725.9,4111.85,3798.08,3228.74,1438.1,1337.36,1408.72,1240.16,1337.26,1523.88,2356.55,3725.11,5202.18,8377.13,7788.02,7871.28,7479.83,6904.57,6587.22,2024-04-29
Agente,CHVC,44945.01,50827.73,51855.94,52031.11,48656.28,49034.31,53244.07,53339.71,51224.68,45167.78,43485.78,39516.3,41593.9,35685.23,35234.78,49066.97,51636.48,52471.21,53155.27,53102.94,53016.35,52379.79,52807.76,51136.4,2024-04-29
Agente,CMMC,94755.46,93603.42,93343.64,94612.65,95283.82,97329.17,73882.48,82579.62,87021.89,89120.46,89974.99,90579.19,89261.06,91928.97,93616.93,92682.65,90518.29,87453.47,117742.12,116042.3,112776.49,108841.22,106896.3,105416.83,2024-04-29
Agente,CMXC,23215.18,23720.85,24453.69,26783.06,23590.02,23712.16,22726.45,25632.36,27173.55,27514.09,28962.56,29081.49,29239.9,29862.48,30457.53,30238.95,29425.93,28655.9,29331.48,29718.42,31111.24,31221.99,30837.12,30577.84,2024-04-29
Agente,CSSC,82427.54,81686.37,81493.55,81202.74,79675.22,81463.24,78599.15,96557.05,108967.19,113947.94,117090.26,113650.06,108912.33,113872.97,119113.55,123201.83,121935.31,117909.89,130864.15,128371.49,119851.54,108124.15,100083.92,95703.27,2024-04-29
Agente,DRUC,48118.55,42016.47,50933.64,51605.69,49159.0,44893.06,50600.93,55114.46,54785.59,55465.58,54263.1,52216.24,38724.54,55821.92,56659.28,54049.25,57992.94,48329.01,49696.77,56115.72,57821.8,55894.73,52583.36,48540.46,2024-04-29
Agente,EBSC,14948.3,15011.75,15044.42,15039.59,15014.96,15392.57,4166.45,5021.81,5574.72,5148.42,5160.19,5683.29,5194.16,5282.08,5374.05,5131.65,5011.38,4618.74,16224.9,16066.75,15735.35,15649.73,15478.37,15403.2,2024-04-29
Agente,EEPC,20244.26,20031.03,19768.19,20073.78,19837.72,21134.83,18207.27,21482.29,22558.76,22890.71,22931.61,22678.52,22018.59,23032.59,23236.46,23918.2,24430.35,22839.34,27561.68,26846.66,26387.84,25432.53,23738.92,22676.07,2024-04-29
Agente,EMEC,1349.05,1281.05,1178.23,1225.03,1258.64,1333.11,1512.12,1734.88,1991.62,2024.4,2115.49,2295.62,2290.23,2172.77,2353.81,2346.29,2207.61,2147.89,2166.34,2116.5,1971.38,1921.73,1846.38,1610.97,2024-04-29
