Id,Values_Activity,Values_Subactivity,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",ARTES PLÁSTICAS Y VISUALES,9005,81.32,66.8,65.19,64.66,62.41,60.49,64.74,81.65,88.95,90.87,98.96,114.82,119.71,130.98,118.88,77.55,77.01,77.93,80.21,80.55,80.01,79.15,68.73,52.85,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",ACTIVIDADES TEATRALES,9006,44.34,43.39,42.91,43.4,42.8,43.35,44.33,45.74,47.2,49.62,62.14,139.38,145.1,144.7,143.11,140.22,141.87,138.33,137.41,136.61,127.43,130.47,125.02,51.1,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",ACTIVIDADES DE ESPECTÁCULOS MUSICALES EN VIVO,9007,124.92,98.71,124.11,62.73,82.06,93.58,43.0,78.39,216.02,268.59,433.72,420.99,305.78,236.91,238.96,226.39,325.74,412.98,415.09,295.32,283.7,323.89,442.12,496.48,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",OTRAS ACTIVIDADES DE ESPECTÁCULOS EN VIVO,9008,60.63,59.5,54.72,50.64,51.52,51.2,55.64,115.39,147.95,149.87,152.63,158.71,162.61,158.72,178.31,184.71,208.95,204.97,170.83,105.0,93.35,89.29,77.53,67.41,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS,9101,114.34,112.65,110.55,110.38,109.46,110.73,205.05,308.1,387.05,419.29,425.04,444.57,452.47,462.12,462.79,455.48,453.65,362.52,296.65,160.79,148.97,168.02,162.2,141.39,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN","ACTIVIDADES Y FUNCIONAMIENTO DE MUSEOS, CONSERVACIÓN DE EDIFICIOS Y SITIOS HISTÓRICOS",9102,128.63,127.28,127.83,128.12,128.2,133.48,151.98,152.07,162.0,163.62,162.64,169.3,172.51,164.16,167.43,162.07,161.68,162.12,158.94,151.76,151.01,141.48,124.14,121.02,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN","ACTIVIDADES DE JARDINES BOTÁNICOS, ZOOLÓGICOS Y RESERVAS NATURALES",9103,82.4,84.76,84.34,84.52,79.24,76.11,77.72,75.2,73.56,77.64,66.9,76.24,69.51,85.8,109.48,115.14,105.78,91.77,86.18,89.25,86.96,87.51,86.53,85.16,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,9200,883.11,731.98,652.65,594.53,580.26,579.7,773.01,1000.87,1339.3,1605.55,1846.29,1911.95,1884.87,1923.69,1974.16,1926.04,1894.44,1808.91,1698.22,1656.94,1600.45,1522.95,1497.16,1406.23,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",GESTIÓN DE INSTALACIONES DEPORTIVAS,9311,13.75,13.93,13.23,13.23,14.56,85.68,99.63,110.16,114.44,112.11,107.27,117.05,120.97,119.41,124.63,123.5,116.72,117.5,136.9,128.38,119.7,92.47,39.14,16.7,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",ACTIVIDADES DE CLUBES DEPORTIVOS,9312,607.61,621.31,615.35,593.7,593.84,645.19,723.34,771.84,805.65,805.73,754.77,767.75,758.39,748.36,792.88,759.02,791.18,814.4,827.46,790.7,722.92,670.52,652.03,641.27,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",OTRAS ACTIVIDADES DEPORTIVAS,9319,571.55,584.25,587.12,585.66,596.58,620.41,583.3,570.43,589.13,593.54,568.24,577.28,548.49,542.92,610.67,598.34,581.09,594.08,664.71,633.26,603.01,524.47,566.94,575.11,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",ACTIVIDADES DE PARQUES DE ATRACCIONES Y PARQUES TEMÁTICOS,9321,381.53,387.79,418.07,408.6,381.1,362.22,380.49,588.03,582.9,649.0,689.38,634.72,575.32,649.75,597.55,715.9,454.64,450.76,484.43,486.26,478.87,479.98,433.86,419.72,2024-04-29
CIIU,"ACTIVIDADES ARTÍSTICAS, DE ENTRETENEMIENTO Y RECREACIÓN",OTRAS ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO N.C.P.,9329,2638.74,2606.91,2592.1,2595.62,2689.94,2997.32,3458.7,3932.6,4330.35,4616.69,4852.25,5065.09,5092.19,5153.8,5167.12,5111.23,4871.02,4746.44,5002.67,4828.2,4193.48,3412.23,2958.3,2786.74,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,"ACTIVIDADES DE HOSPITALES Y CLÍNICAS, CON INTERNACIÓN",8610,42619.42,41855.06,40838.03,40113.47,40062.35,42718.34,49612.77,56858.68,60191.83,62414.02,63798.47,64728.54,65132.44,65309.95,66275.07,66522.71,65197.28,61211.27,57029.51,54015.78,52034.08,50416.76,48383.86,47079.05,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,"ACTIVIDADES DE LA PRÁCTICA MÉDICA, SIN INTERNACIÓN",8621,2117.18,2090.53,2059.63,2016.13,2046.11,2207.8,2765.72,3457.25,3697.99,3837.29,4038.37,3948.02,3917.16,4029.51,4101.7,4189.38,4104.87,3594.72,3208.57,2873.32,2749.7,2593.98,2488.39,2389.04,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LA PRÁCTICA ODONTOLÓGICA,8622,78.02,75.48,75.77,75.74,74.62,93.97,115.73,152.67,164.89,172.3,169.29,174.5,166.32,159.42,169.18,174.4,175.72,157.28,136.11,126.04,117.24,113.52,110.13,108.29,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE APOYO DIAGNÓSTICO,8691,1189.37,1190.39,1155.96,1157.56,1184.86,1442.2,1819.51,2143.59,2405.62,2504.05,2453.69,2487.18,2477.33,2477.99,2507.12,2495.32,2509.46,2277.58,2011.82,1742.89,1646.9,1513.31,1409.17,1331.89,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE APOYO TERAPÉUTICO,8692,850.87,828.81,799.29,736.2,735.68,787.01,1026.21,1266.12,1318.94,1385.15,1440.42,1488.83,1439.46,1446.9,1519.3,1550.58,1516.83,1421.8,1262.42,1159.68,1055.67,999.17,953.46,910.17,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,OTRAS ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,8699,1426.46,1400.24,1362.22,1359.46,1418.51,1621.63,2019.19,2240.3,2361.83,2445.68,2464.22,2559.18,2498.28,2522.53,2596.3,2651.74,2568.76,2436.95,2286.9,2167.75,1857.54,1662.72,1593.1,1565.62,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,OTRAS ACTIVIDADES DE ATENCIÓN EN INSTITUCIONES CON ALOJAMIENTO,8790,4601.94,4624.9,4501.39,4489.58,4479.64,4841.37,5441.38,6124.34,6372.99,6485.1,6603.81,6715.75,6626.11,6616.1,6613.58,6538.38,6273.91,6063.58,5909.4,5617.63,5298.26,5048.37,4856.46,4795.34,2024-04-29
CIIU,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,OTRAS ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,8890,19.25,19.65,19.71,19.5,19.42,19.52,20.71,23.63,25.68,27.5,28.8,28.4,27.98,29.33,26.68,28.24,24.52,22.87,21.74,20.63,17.89,18.22,19.28,16.48,2024-04-29
CIIU,ACTIVIDADES DE ORGANIZACIONES Y ENTIDADES EXTRATERRITORIALES,ACTIVIDADES DE ORGANIZACIONES Y ENTIDADES EXTRATERRITORIALES,9900,3045.04,3060.58,3098.74,3188.32,3292.82,3364.24,1881.7,1984.83,2131.74,2175.45,2233.15,2258.21,2297.83,2324.53,2319.13,2265.88,2209.79,2172.55,3687.87,3641.47,3591.65,3526.3,3438.7,3310.75,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES N.C.P.",7730,169.74,157.85,168.52,158.46,163.69,142.28,145.57,203.96,228.48,234.06,237.06,224.98,221.96,248.66,258.4,261.09,222.22,183.26,194.09,183.87,156.91,152.43,170.12,183.32,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,"ARRENDAMIENTO DE PROPIEDAD INTELECTUAL Y PRODUCTOS SIMILARES, EXCEPTO OBRAS PROTEGIDAS POR DERECHOS DE AUTOR",7740,373.36,371.66,370.45,362.56,379.66,430.93,667.16,924.64,1044.91,1076.6,1138.08,1177.32,1199.94,1210.46,1210.13,1194.85,1161.02,943.17,716.24,595.65,536.85,499.62,466.36,421.67,2024-04-29
CIIU,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES DE LAS AGENCIAS DE VIAJE,7911,22.18,19.89,19.33,17.35,18.9,25.79,39.58,53.94,61.28,66.35,65.23,68.8,77.28,75.48,80.04,79.48,74.42,67.96,58.45,55.12,43.45,41.37,38.88,34.57,2024-04-29
