Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ASCC,1501.64,1474.14,1447.43,1466.55,1501.21,1645.14,1892.12,2402.18,2833.27,2984.99,3096.06,3317.41,2837.08,2624.13,3054.66,3274.5,3090.83,2998.25,2897.97,2718.68,2356.67,2048.06,1794.91,1604.23,2024-04-29
Agente,BIAC,15066.22,14980.52,14536.44,14635.89,15196.69,15858.33,20179.51,25827.36,30131.84,32142.97,34422.63,34952.59,34540.75,35179.71,37011.15,35869.6,34546.5,30181.42,27720.15,25951.11,24747.79,22642.31,20664.56,19292.5,2024-04-29
Agente,CASC,47899.72,48715.14,47991.38,46654.94,46121.02,46368.3,45101.85,49514.45,55072.79,56873.84,58218.8,65227.7,63610.21,67990.51,73085.0,74018.49,71674.64,67786.56,72760.07,74473.3,72867.58,69996.38,65034.1,60418.06,2024-04-29
Agente,CDNC,52834.68,50058.16,48563.72,48031.17,52007.46,72843.48,95186.08,91367.34,93477.53,95472.04,98933.5,104248.97,100036.21,96970.33,99198.08,100070.07,102742.58,105147.1,110591.14,115509.87,107021.74,94555.98,77180.96,62790.57,2024-04-29
Agente,CEOC,53657.54,51614.88,49557.5,49406.45,54226.33,67031.89,78128.47,75135.4,76290.34,76552.8,81040.77,86770.56,86478.13,83476.83,85164.27,84923.26,86263.37,92830.36,104105.03,106810.7,99259.88,86893.9,72112.1,61040.24,2024-04-29
Agente,CETC,13074.84,12350.9,11997.78,11884.43,12252.15,13808.77,15068.68,17127.14,19112.63,20667.13,22191.58,23941.25,22700.11,22902.49,24844.76,25517.15,25057.71,24121.78,23424.4,23912.17,23078.68,21749.34,18922.23,16003.03,2024-04-29
Agente,CHCC,84701.85,79110.48,76542.57,76072.25,81724.96,99378.4,110216.93,112948.01,117818.72,124057.97,131685.4,139468.88,137757.02,135050.27,135772.18,135245.92,135824.03,138558.15,153227.7,159396.7,152704.33,139502.66,116201.09,99043.29,2024-04-29
Agente,CMMC,973579.13,935497.97,903592.33,873408.36,847070.18,793824.47,745152.5,754361.76,784542.51,810796.68,846433.75,884643.7,904154.07,968793.96,1018008.93,1025375.67,992443.05,935091.61,963106.89,1049468.2,1102025.7,1150251.3,1155620.51,1108162.78,2024-04-29
Agente,CNSC,169658.04,162469.1,157434.49,154370.51,154586.18,157153.83,162332.72,176448.85,193235.56,204310.29,212829.37,216612.43,201860.01,209528.4,222255.57,223096.73,218701.26,208864.45,213069.4,214825.95,214462.13,208600.97,196303.65,182837.65,2024-04-29
Agente,CQTC,26440.22,25320.09,24706.56,24451.96,24782.59,27181.7,28335.78,31569.12,35644.77,38608.8,41949.37,45307.09,43172.16,43022.89,45844.28,46398.48,46781.46,44553.72,45674.5,45917.02,43781.07,40537.33,35918.55,31878.6,2024-04-29
Agente,CSSC,987624.63,945441.26,912511.15,886228.95,862185.94,781157.98,744823.49,774569.42,750062.71,771222.43,799227.37,821879.7,840992.07,891254.21,938295.53,940693.42,971769.54,939346.96,970207.87,1031019.93,1078279.21,1119824.59,1126554.94,1089263.83,2024-04-29
Agente,DLRC,476.43,468.84,455.48,469.68,498.64,506.64,572.97,747.76,854.68,867.46,924.99,862.69,839.12,821.98,930.08,1042.35,1013.89,1034.8,1008.41,932.12,853.21,731.34,647.05,579.63,2024-04-29
Agente,EBPC,8121.65,7695.85,7422.74,7227.68,7269.21,7789.68,8271.75,9065.42,10464.09,11406.62,12224.96,12715.2,12615.11,12607.22,13354.32,13613.04,13451.98,13158.22,14261.1,14568.61,13839.71,12710.41,10962.17,9307.44,2024-04-29
Agente,EBSC,65270.76,62579.26,61683.69,61321.31,66458.64,86514.27,110710.61,108479.47,114282.53,117858.98,121080.35,122472.41,116178.55,114077.04,117787.27,115831.26,114580.93,115246.73,124094.41,126283.2,119282.32,105012.83,88910.85,77661.15,2024-04-29
