Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,AAGG,80.12,71.27,73.15,71.27,39.68,97.95,,,,,,,,,,,,,107.44,136.09,133.39,123.63,119.04,133.72,2024-04-29
Agente,ASCC,1971.33,1921.53,1888.87,1902.48,1933.28,2106.91,2308.63,2959.14,3396.03,3584.73,3685.34,3886.64,3385.44,3176.97,3616.11,3829.46,3632.07,3565.69,3551.3,3317.62,2932.98,2607.69,2331.74,2123.52,2024-04-29
Agente,BCCG,15.11,15.11,15.11,15.11,15.74,1.74,,,,,,,,,,,,,,18.26,17.63,17.63,17.0,17.63,2024-04-29
Agente,BIAC,22915.3,22702.57,22238.02,22588.6,23341.86,24266.57,29432.07,36430.83,40909.65,41953.08,45357.71,45925.05,45413.99,46403.94,48640.2,48383.29,46657.04,41492.01,37981.67,36415.99,34954.73,32017.34,29418.03,28130.33,2024-04-29
Agente,CASC,48236.95,49107.84,48448.44,46932.16,46407.28,46654.51,45533.17,50255.26,56072.64,57942.37,59150.08,66022.88,64087.13,68394.83,73781.57,74680.07,72071.67,68040.82,72991.19,74679.95,73062.82,70174.84,65210.85,60564.54,2024-04-29
Agente,CBNC,9346.34,9548.32,10087.26,10310.92,10328.11,10163.18,10200.6,8973.87,7350.55,6206.87,4643.84,4342.85,4585.83,4563.29,4935.64,6558.31,9654.2,11590.31,11703.06,11888.69,11776.5,11139.66,11570.59,11538.15,2024-04-29
Agente,CDNC,61937.17,59187.16,57609.88,57102.67,61085.67,81963.75,96095.32,92799.42,94926.52,97046.11,100479.38,105810.74,101665.4,98787.63,101006.25,101897.96,104472.79,106795.51,120504.48,125371.6,116753.18,104243.86,86848.86,72421.29,2024-04-29
Agente,CEOC,56648.57,54706.03,52685.95,52480.19,57153.01,70217.66,82067.82,79499.39,82449.66,82036.15,85527.69,91597.52,91204.62,88222.79,90035.4,89936.64,91178.95,97146.35,108321.58,110972.08,103308.72,90848.08,75893.4,64781.44,2024-04-29
Agente,CETC,18920.66,18307.1,18168.33,18533.19,18916.59,20534.67,19180.53,20925.22,22341.37,22105.23,23528.94,25349.97,23940.27,24239.75,26368.64,27873.7,28782.82,29323.96,31801.53,31700.19,30949.96,29229.17,25826.8,22590.25,2024-04-29
Agente,CETG,5.64,5.83,5.74,5.68,5.32,5.46,5.3,5.0,4.41,4.15,4.05,3.91,4.1,3.11,2.96,2.84,2.61,2.85,3.69,3.05,2.86,2.26,2.35,2.19,2024-04-29
