Id,Values_code,Values_MarketType,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
MercadoComercializacion,ANTIOQUIA,NO REGULADO,309527.32,310462.73,311367.12,316795.02,330847.72,341941.44,349543.66,374249.6,381007.25,382584.57,382635.87,395194.92,394797.12,390898.13,398626.51,405534.95,400357.33,385543.26,407971.52,398753.61,387797.62,375951.83,368577.49,360373.49,2024-04-29
MercadoComercializacion,ANTIOQUIA,REGULADO,623791.24,592200.3,575425.86,578498.93,630578.66,739126.11,833217.92,893788.7,956386.95,1001369.69,1054003.62,1109949.58,1124401.23,1108823.04,1113890.13,1116026.04,1087999.59,1049738.88,1086477.84,1109386.18,1050377.36,961211.99,837176.65,737076.01,2024-04-29
MercadoComercializacion,ARAUCA,NO REGULADO,84148.86,84774.24,84808.05,84825.61,84240.83,84215.69,83609.53,84404.74,84048.24,83603.85,83628.5,84081.59,85914.26,85029.51,82489.16,86645.34,84926.96,84916.49,85295.66,83773.78,83967.41,84242.48,83980.61,83521.49,2024-04-29
MercadoComercializacion,ARAUCA,REGULADO,36094.14,34575.76,33464.38,32566.88,32012.73,31494.4,30834.97,32971.82,34276.33,34577.71,34992.53,36063.2,34297.03,36339.55,39302.92,39263.93,38599.33,37233.38,39682.68,40145.3,39859.95,38671.9,36257.2,33908.45,2024-04-29
MercadoComercializacion,BAJO PUTUMAYO,NO REGULADO,176.77,161.95,157.95,151.85,152.38,151.8,186.41,217.26,247.45,269.38,287.3,286.66,289.02,304.79,324.66,325.68,314.5,292.8,269.63,226.1,206.1,214.38,167.94,167.22,2024-04-29
MercadoComercializacion,BAJO PUTUMAYO,REGULADO,8205.12,7757.82,7482.7,7288.06,7329.31,7862.84,8361.88,9176.55,10579.95,11526.36,12349.92,12850.04,12750.86,12739.98,13490.53,13756.18,13595.12,13299.01,14389.01,14695.16,13955.95,12820.11,11058.87,9397.03,2024-04-29
MercadoComercializacion,BOGOTA - CUNDINAMARCA,NO REGULADO,474256.69,476499.44,463115.91,460806.64,454451.52,462289.62,507393.37,544231.8,560612.59,560112.39,564938.74,574965.26,578178.24,581004.7,581345.29,580731.98,578349.88,569619.88,564046.61,566060.06,558980.66,550989.65,544248.54,561159.45,2024-04-29
MercadoComercializacion,BOGOTA - CUNDINAMARCA,REGULADO,877547.88,827773.03,808159.81,829319.07,967268.21,1218918.09,1279879.02,1389047.29,1467695.03,1522944.31,1582042.87,1626464.12,1621936.73,1600966.53,1600869.46,1580798.33,1549401.61,1507545.47,1629414.06,1653536.7,1570887.04,1399825.95,1202332.08,1031326.2,2024-04-29
MercadoComercializacion,BOYACA,NO REGULADO,322950.52,322407.33,324938.78,303185.95,303174.25,317766.92,301751.67,302054.16,300588.01,313063.76,306990.76,305688.29,301960.66,297742.18,291355.19,297316.67,310109.62,308200.82,340438.41,353411.23,343100.97,341895.13,341424.79,322415.43,2024-04-29
MercadoComercializacion,BOYACA,REGULADO,69399.09,66620.6,65712.2,65320.75,70927.59,91384.0,116710.32,115981.53,123339.81,127164.2,129983.75,131627.28,124516.11,122765.26,126960.84,124840.54,123521.57,123436.49,131561.69,133476.83,126202.16,111290.52,94047.29,82334.88,2024-04-29
MercadoComercializacion,CALDAS,NO REGULADO,70796.55,68087.12,70408.89,70104.37,65505.86,71060.81,65531.04,61325.28,73185.21,78584.23,84680.54,85154.1,83913.03,83321.58,86179.26,86250.4,84165.48,84490.72,80013.77,79687.69,79183.12,78403.64,79068.96,78821.89,2024-04-29
MercadoComercializacion,CALDAS,REGULADO,89037.18,83249.35,80652.32,80154.85,85830.49,103717.11,115638.64,119339.41,124681.82,131197.48,139142.55,147103.42,145355.76,142796.32,143724.2,143236.08,143673.22,145934.73,160368.29,166342.99,159292.03,145469.42,121456.33,103893.67,2024-04-29
MercadoComercializacion,CALI - YUMBO - PUERTO TEJADA,NO REGULADO,155204.65,163368.62,166846.72,167734.16,170792.43,175018.57,165173.52,189094.88,197446.99,201438.34,199448.77,204640.39,204746.35,208319.15,212641.77,217144.04,215033.33,203999.63,212106.15,208544.59,200440.17,193734.22,186676.34,180573.76,2024-04-29
MercadoComercializacion,CALI - YUMBO - PUERTO TEJADA,REGULADO,221346.84,208243.32,202232.62,199110.59,204604.31,226543.67,252476.55,280789.22,323507.24,344751.14,375579.15,395895.86,399097.51,400636.66,411427.58,414118.91,408302.76,382663.44,373413.35,378071.18,366797.82,338342.23,303910.32,267346.3,2024-04-29
MercadoComercializacion,CAQUETA,NO REGULADO,615.13,612.76,604.61,589.35,548.16,552.72,643.67,677.69,715.12,793.22,1131.53,1229.69,782.31,636.5,626.41,583.03,635.93,1297.19,1343.83,1265.98,1004.9,848.76,751.95,693.4,2024-04-29
MercadoComercializacion,CAQUETA,REGULADO,28194.19,27004.79,26311.14,26001.76,26313.07,28744.83,29891.93,33397.87,37833.63,40958.04,44399.27,47878.59,45745.41,45657.62,48587.62,49195.86,49564.48,47316.32,48466.78,48690.68,46397.5,42941.43,38086.44,33847.64,2024-04-29
MercadoComercializacion,CARIBE MAR,NO REGULADO,346868.72,364966.22,379137.87,388158.88,382596.58,393951.18,391129.16,407679.42,415618.9,424742.01,423760.57,422723.82,400897.73,429801.45,441183.86,397475.13,410590.28,398568.39,435881.51,447732.51,429956.09,447462.46,437343.78,430443.6,2024-04-29
MercadoComercializacion,CARIBE MAR,REGULADO,997766.14,958877.8,926328.47,895789.68,869407.82,817457.4,772889.98,787343.87,822456.78,851644.6,889084.33,928418.96,947400.92,1012282.13,1063277.13,1072100.4,1040676.4,981513.85,1005904.57,1089448.1,1138515.05,1182200.67,1183818.74,1133854.96,2024-04-29
MercadoComercializacion,CARIBE SOL,NO REGULADO,190154.64,185102.39,187278.09,187753.21,188342.24,190969.03,192311.9,219899.66,234481.01,242440.45,243168.09,237124.51,226430.34,236292.66,242798.94,247781.28,248478.2,240417.06,252162.25,251093.64,242000.34,222169.16,206375.56,206070.35,2024-04-29
MercadoComercializacion,CARIBE SOL,REGULADO,1013993.65,970861.34,937090.87,910353.96,886339.36,806124.56,774876.41,812755.53,794969.65,820387.33,850565.83,874118.42,891104.47,942564.42,991227.97,993636.5,1024939.01,988887.0,1016262.93,1074111.28,1117529.49,1155490.63,1159138.67,1119351.89,2024-04-29
MercadoComercializacion,CARTAGO,NO REGULADO,6899.55,7792.51,7449.63,7311.8,7458.01,7733.79,7564.36,8480.15,7433.7,7059.35,7106.77,6620.09,5899.21,6906.01,6930.72,8478.62,9832.04,9020.6,8787.72,9252.53,9381.35,8791.02,7878.09,7412.0,2024-04-29
MercadoComercializacion,CARTAGO,REGULADO,12444.44,11731.52,11346.03,11229.96,11470.46,12598.54,13076.39,14270.13,16000.55,17388.3,19025.71,20285.12,19509.67,19764.66,21257.33,21673.13,21421.26,20522.28,20911.54,21035.3,20234.48,19011.25,17072.43,14892.36,2024-04-29
MercadoComercializacion,CASANARE,NO REGULADO,4788.96,4535.62,4374.07,4518.15,4863.88,4900.59,5275.2,7417.87,9934.61,9574.66,8809.33,10092.42,10471.6,10340.82,11356.59,11403.57,9569.1,8647.13,8458.48,8246.03,9269.98,9816.29,9263.3,9223.03,2024-04-29
MercadoComercializacion,CASANARE,REGULADO,49789.01,50520.94,49709.95,48306.37,47759.79,48052.04,46937.63,51675.27,57561.19,59382.75,60789.87,67831.33,66165.99,70653.7,76059.03,77066.91,74632.12,70602.62,75572.07,77280.92,75562.86,72546.89,67291.7,62436.06,2024-04-29
MercadoComercializacion,CAUCA,NO REGULADO,28182.56,28761.57,29828.31,30464.71,31383.49,32804.87,31603.69,34096.02,35216.89,32896.2,32007.69,31831.2,29894.78,29725.3,31108.41,33690.97,36284.08,38090.03,40906.68,40115.17,40206.74,39533.35,38124.2,37628.25,2024-04-29
MercadoComercializacion,CAUCA,REGULADO,55745.19,53659.81,51559.14,51409.07,56261.33,69268.54,81090.68,78603.92,80395.39,81100.24,85734.86,91516.22,90937.48,88160.49,89908.06,89789.58,90917.93,97077.75,108318.53,110860.43,103028.23,90068.33,74681.01,63445.08,2024-04-29
MercadoComercializacion,CHOCO,NO REGULADO,1052.93,1081.53,1031.82,1022.92,1089.4,1106.88,1100.9,1047.67,1031.74,1119.59,1495.39,2200.8,2508.93,2370.79,2517.31,2581.2,2472.29,2155.92,2323.17,2372.56,2384.62,2380.63,2477.85,2548.36,2024-04-29
MercadoComercializacion,CHOCO,REGULADO,24292.42,23399.39,22591.76,22512.09,22441.89,23762.5,25058.5,27062.51,30022.88,32222.45,28111.95,35302.72,35418.94,35840.25,35067.81,35674.44,36083.34,34706.46,35483.35,35296.71,36685.71,35267.44,31720.0,28439.63,2024-04-29
MercadoComercializacion,GUAVIARE,REGULADO,8184.05,7907.25,7711.41,7597.61,7545.34,7851.72,8230.4,8960.21,9895.26,10290.19,10698.06,11251.84,11328.86,11890.97,12665.04,12925.79,12863.93,12456.1,12983.04,12818.44,12293.53,11569.39,10523.77,9429.96,2024-04-29
MercadoComercializacion,HUILA,NO REGULADO,37060.39,34882.37,32439.1,32714.42,32482.31,31493.54,32816.67,32519.14,26383.1,28200.39,27786.86,25398.95,24974.24,28566.0,36913.83,34110.91,36474.37,42084.51,45840.49,45734.15,44656.72,43623.0,42016.08,40922.32,2024-04-29
MercadoComercializacion,HUILA,REGULADO,92279.5,87885.99,82605.45,79406.8,78972.64,86487.13,91890.31,100096.19,108107.94,113032.25,121429.73,130602.05,125924.28,128796.17,136092.96,136785.7,136201.84,131930.24,140639.41,143106.73,136637.3,126241.52,111982.32,101148.82,2024-04-29
MercadoComercializacion,META,NO REGULADO,193058.32,203255.96,212772.09,215767.47,217825.21,218318.94,207656.53,204053.67,197127.45,186113.62,196699.12,192401.2,184455.29,186674.06,169006.79,164475.41,168916.29,186348.65,206042.31,196331.82,197770.4,203286.84,202222.63,199558.93,2024-04-29
MercadoComercializacion,META,REGULADO,91408.57,90576.19,89526.67,86163.63,86584.87,91316.25,98989.29,107880.3,121415.69,134048.31,143070.59,145280.66,156269.87,161196.59,166201.14,165489.17,164514.65,159210.44,162033.98,161053.63,158949.68,149564.21,135634.37,122869.74,2024-04-29
MercadoComercializacion,NARIÑO,NO REGULADO,10532.41,10426.51,10167.68,10157.8,10156.71,10328.57,2375.52,3484.7,3968.46,4290.08,4368.88,4501.48,4491.52,4691.65,4630.72,4708.79,4487.38,4204.11,12496.78,12482.04,12194.31,11770.28,11430.46,11364.68,2024-04-29
MercadoComercializacion,NARIÑO,REGULADO,56818.36,53931.5,52352.71,51832.88,55834.15,76921.94,99912.52,97188.41,100566.45,103285.15,106833.55,112409.45,107467.59,104280.24,107303.21,108207.58,110809.32,112790.73,118042.61,122661.59,113490.58,100239.3,82210.7,67300.1,2024-04-29
MercadoComercializacion,NORTE DE SANTANDER,NO REGULADO,26562.07,25691.71,25826.32,25006.73,25414.21,26317.09,29072.26,36535.5,41300.78,42248.25,44345.01,43702.94,40534.39,42709.22,45461.52,46683.06,46498.01,42987.67,47485.32,46519.94,44033.54,42273.76,40915.93,39831.2,2024-04-29
MercadoComercializacion,NORTE DE SANTANDER,REGULADO,175432.17,168073.45,162936.7,159875.28,160234.87,163767.74,170816.31,187141.87,205550.46,217843.9,227309.96,231230.22,215134.85,223380.99,236874.49,238148.02,233582.32,222709.03,225568.0,226335.18,224621.95,217441.02,204121.17,190155.21,2024-04-29
MercadoComercializacion,PEREIRA,NO REGULADO,20580.91,20567.84,20248.6,20523.05,20825.53,22269.61,19835.63,22742.31,24021.38,24586.56,25471.0,26092.44,26289.94,26489.87,26602.24,27039.4,27558.41,26004.16,30136.98,28949.67,27627.86,25986.04,24620.59,23487.15,2024-04-29
MercadoComercializacion,PEREIRA,REGULADO,41335.41,38780.56,37407.81,37176.35,39552.88,45122.12,52336.94,57739.87,64267.51,69302.08,73499.28,77774.13,77131.11,75949.66,77212.76,78258.86,78005.35,75385.19,76247.16,78034.96,73658.28,67152.6,57542.48,48596.68,2024-04-29
MercadoComercializacion,POPAYAN - PURACE,NO REGULADO,86.39,82.24,83.27,82.25,83.07,159.14,214.32,252.64,248.57,271.52,281.9,292.66,257.14,188.53,299.68,313.2,325.12,287.26,334.18,333.55,294.97,98.09,104.23,89.52,2024-04-29
MercadoComercializacion,POPAYAN - PURACE,REGULADO,1154.37,408.07,441.51,331.14,344.41,479.56,491.41,599.31,456.91,684.2,255.64,994.59,743.86,899.11,1565.68,1077.11,10.55,130.06,801.58,1277.29,,2399.83,595.66,60.41,2024-04-29
MercadoComercializacion,PUTUMAYO,NO REGULADO,3618.43,3644.03,3624.99,3690.76,3740.51,3825.78,3643.67,3627.84,3531.44,3432.5,3398.92,3567.24,3571.93,3662.15,3903.69,4196.4,4911.01,4774.96,4465.7,4234.14,4233.03,4606.3,4513.14,4108.61,2024-04-29
MercadoComercializacion,PUTUMAYO,REGULADO,7423.25,6943.41,6747.7,6657.12,6734.23,7512.49,7688.46,8319.26,9305.46,10296.06,11563.6,12300.36,11592.24,11667.52,12235.65,12337.58,12299.05,12039.26,13401.84,14041.81,13382.17,12131.75,10241.93,8620.78,2024-04-29
MercadoComercializacion,QUINDIO,NO REGULADO,4243.76,4472.92,4491.94,4666.78,4898.97,5027.14,5864.83,7004.25,7363.72,7462.41,7997.5,8293.95,7990.5,8221.08,8089.64,8132.4,8173.77,7749.61,7447.62,7139.09,7306.93,6946.02,6150.26,6060.23,2024-04-29
MercadoComercializacion,QUINDIO,REGULADO,38913.05,36429.88,35315.21,35108.71,36933.82,43326.09,46559.97,51359.82,56058.73,59482.0,62936.57,66334.56,65471.8,64866.6,65155.1,64844.79,65591.78,65566.47,71499.01,74337.03,70582.3,64345.41,54653.73,46031.3,2024-04-29
MercadoComercializacion,RUITOQUE,NO REGULADO,70.11,74.78,76.7,73.97,70.23,70.34,75.84,87.27,114.67,119.08,116.67,112.59,108.96,103.41,107.03,108.89,114.6,122.42,118.07,114.37,109.99,93.36,79.81,75.6,2024-04-29
MercadoComercializacion,RUITOQUE,REGULADO,1291.53,1483.96,1247.01,1238.99,1334.69,1314.88,1476.4,1529.93,1747.75,1773.9,1869.21,1919.0,1838.28,1624.85,1661.74,1731.54,1805.4,1726.01,2018.3,2146.65,2118.82,2025.66,1853.46,1649.47,2024-04-29
MercadoComercializacion,SANTANDER,NO REGULADO,122136.05,124190.41,122700.72,122839.1,123590.77,129125.22,135142.71,145777.89,149706.64,152599.62,154744.51,160605.07,159991.25,161484.14,163859.21,163267.59,162720.16,155000.55,153239.95,143091.3,136893.86,138481.64,135796.44,132174.58,2024-04-29
MercadoComercializacion,SANTANDER,REGULADO,244135.53,232500.98,222854.9,215190.47,215657.35,225567.71,231302.49,261227.74,289181.15,302901.6,317559.17,328875.81,312630.4,320550.64,338072.36,344130.36,341987.5,327343.06,344676.0,343748.04,333451.81,313727.4,286326.14,261091.85,2024-04-29
