Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,CASD,53885.01,54348.31,53384.55,52136.13,52072.32,52314.29,51571.91,58409.19,66700.18,68150.63,68855.85,77071.83,75940.1,80091.42,86428.34,87433.93,83052.35,78265.42,82938.68,84314.04,83633.39,81105.87,75473.22,70739.01,2024-04-29
Agente,CDND,66495.94,63530.42,61712.07,61183.09,65299.72,86198.9,101023.49,99504.48,103334.26,106364.9,109992.51,115416.89,110634.79,107654.49,110573.03,111515.34,113696.51,115505.15,128843.65,133227.46,123908.16,110299.99,92318.31,77655.13,2024-04-29
Agente,CEOD,82862.29,81361.22,80335.03,80806.91,86726.9,100842.94,111301.2,111388.68,114242.42,112634.14,116362.65,121750.53,119323.16,116346.13,119522.55,121952.95,125437.42,133446.78,147286.51,148834.81,141209.86,127623.43,111211.47,99775.73,2024-04-29
Agente,CETD,20590.47,19979.46,19799.68,20181.0,20654.79,22387.87,21441.77,23296.62,24800.6,24828.86,26444.91,28425.27,27115.94,27186.17,29438.59,30998.25,31816.8,32499.84,34728.61,34469.69,33479.53,31393.49,27862.86,24542.23,2024-04-29
Agente,CHCD,157807.02,149393.26,149111.04,148303.08,149751.66,172671.81,178952.96,178781.94,196241.67,208490.74,222822.32,231308.19,229052.63,225742.9,229229.15,227596.84,224995.39,227558.6,237259.72,242542.54,235104.26,220456.41,197692.85,180370.5,2024-04-29
Agente,CMMD,1169005.57,1134786.75,1100555.15,1072839.75,1053622.84,1006207.82,946837.26,973439.19,1016691.34,1054690.04,1094080.78,1135340.09,1151947.76,1221879.51,1280597.69,1288388.63,1254743.93,1195882.54,1247553.38,1321560.67,1357215.1,1390620.61,1388518.95,1339021.53,2024-04-29
Agente,CNSD,199032.9,190893.75,185934.7,182101.23,183317.76,187427.86,197088.65,220884.05,243887.39,257080.43,268697.81,271874.66,253122.35,263244.56,279287.17,281300.4,275897.63,261952.36,269075.72,268563.09,264436.51,255328.08,241157.02,226636.39,2024-04-29
Agente,CQTD,28443.58,27262.3,26567.67,26244.58,26579.79,28944.36,30157.95,33677.57,38085.65,41239.76,44977.46,48450.61,45924.49,45672.08,48598.02,49159.38,49502.66,47994.25,49163.42,49248.23,46732.2,43121.73,38289.59,34097.57,2024-04-29
Agente,CSSD,1144778.78,1101796.32,1068627.9,1042799.75,1021839.64,946231.52,917864.42,982314.07,981529.98,1013807.94,1047703.09,1064670.27,1071027.01,1127734.3,1185834.54,1190101.85,1218731.94,1178068.37,1215939.45,1267081.84,1297545.27,1318549.78,1312687.21,1270766.14,2024-04-29
Agente,EBPD,8275.48,7817.88,7541.84,7342.95,7403.3,7918.02,8442.58,9284.11,10697.38,11651.37,12483.82,12961.0,12871.12,12869.7,13642.38,13906.66,13716.29,13418.67,14468.17,14709.65,13961.82,12835.51,11068.18,9441.46,2024-04-29
Agente,EBSD,197507.75,192775.16,193433.47,183317.87,188491.86,210882.09,224260.44,232667.87,238275.3,253233.07,248020.13,246524.9,240207.49,236825.45,229786.79,226076.19,235048.88,233584.63,272929.4,286132.12,269786.71,253650.82,237537.42,214129.5,2024-04-29
Agente,EDPD,25023.57,24166.01,23318.07,23228.3,23284.76,24569.57,25835.86,27781.83,30681.43,32933.34,29247.22,37000.81,37437.35,37698.91,37114.69,37779.45,38019.7,36392.79,37315.28,37135.09,38517.93,37073.36,33714.61,30590.12,2024-04-29
