Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ASCC,463.71,441.63,435.73,430.25,427.53,456.2,411.35,550.46,556.0,592.39,582.12,561.6,541.24,545.4,554.42,548.05,533.71,560.21,644.84,590.45,568.16,551.09,529.24,512.62,2024-04-29
Agente,BIAC,7749.4,7622.7,7601.98,7849.06,8059.8,8306.88,9138.11,10479.6,10648.28,9689.85,10802.02,10825.33,10732.06,11073.22,11483.41,12357.9,11942.19,11166.47,10128.21,10316.49,10062.6,9231.91,8629.77,8724.33,2024-04-29
Agente,CASC,332.94,387.66,451.14,273.62,283.25,282.75,425.98,732.16,987.83,1055.43,919.95,784.51,470.71,398.88,687.85,653.34,391.51,251.02,228.11,203.71,192.48,175.73,174.25,144.6,2024-04-29
Agente,CBNC,9227.69,9425.49,9956.8,10176.54,10219.9,10040.65,10074.43,8869.04,7262.23,6130.78,4587.35,4284.64,4526.28,4501.9,4873.82,6476.66,9520.01,11442.65,11551.02,11720.08,11610.0,10969.61,11407.09,11390.02,2024-04-29
Agente,CDNC,8986.95,9011.58,8929.22,8953.23,8983.05,9010.28,897.97,1415.34,1431.59,1554.77,1527.06,1540.83,1608.03,1792.83,1785.52,1805.13,1706.15,1627.38,9784.51,9721.86,9593.83,9539.98,9531.26,9507.02,2024-04-29
Agente,CEOC,2953.04,3051.37,3087.99,3033.69,2896.01,3147.33,3890.62,4313.01,6085.29,5416.12,4432.32,4762.25,4665.11,4682.12,4810.13,4950.97,4847.25,4260.99,4161.77,4102.37,3991.57,3893.85,3727.87,3693.17,2024-04-29
Agente,CETC,5771.6,5879.58,6090.74,6562.12,6594.61,6644.79,4060.98,3753.72,3189.93,1420.46,1321.07,1389.84,1224.04,1319.27,1504.8,2327.2,3673.33,5135.91,8268.28,7677.55,7759.98,7365.64,6807.0,6502.64,2024-04-29
Agente,CHVC,44374.39,50173.87,51185.31,51353.02,48146.52,48443.17,52585.54,52716.68,50609.1,44614.12,42956.72,38986.49,41053.8,35205.15,34793.44,48456.16,50918.73,51802.77,52464.58,52349.89,52266.73,51580.2,52061.53,50479.83,2024-04-29
Agente,CMMC,93552.45,92399.21,92136.36,93379.56,94285.37,96155.66,72968.63,81614.89,85976.04,88027.98,88880.17,89364.72,88102.04,90692.35,92444.27,91528.8,89260.03,86339.4,116212.23,114396.71,111181.99,107179.61,105385.63,104063.32,2024-04-29
Agente,CMXC,22920.43,23415.72,24137.45,26434.01,23342.86,23426.3,22445.37,25332.96,26846.99,27176.82,28610.21,28691.6,28860.24,29460.76,30076.04,29862.5,29016.91,28290.87,28950.37,29296.99,30671.37,30745.37,30401.38,30185.23,2024-04-29
Agente,CSSC,81380.94,80635.43,80439.57,80144.28,78840.29,80481.01,77626.89,95429.08,107657.68,112551.11,115665.66,112126.2,107498.05,112341.04,117621.56,121668.06,120240.25,116407.69,129163.69,126551.02,118156.91,106473.51,98669.54,94474.32,2024-04-29
Agente,DRUC,47507.65,41475.98,50274.95,50933.14,48643.96,44351.85,49975.1,54470.68,54127.21,54785.68,53602.92,51516.18,38221.73,55070.98,55949.61,53376.4,57186.84,47713.35,49051.04,55319.94,57004.28,55041.48,51840.34,47917.23,2024-04-29
