Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ASCC,1482.57,1455.18,1428.66,1447.44,1485.49,1625.28,1868.65,2374.15,2799.22,2948.39,3058.4,3272.94,2800.3,2588.79,3016.37,3233.75,3047.88,2960.03,2860.23,2680.06,2323.37,2016.76,1769.53,1583.63,2024-04-29
Agente,BIAC,14874.8,14787.72,14348.39,14445.15,15037.44,15667.24,19929.96,25525.8,29769.54,31749.02,34003.58,34483.55,34092.04,34706.18,36547.43,35422.96,34065.99,29796.78,27359.91,25583.1,24398.13,22296.7,20372.4,19044.66,2024-04-29
Agente,CASC,47291.59,48088.48,47370.74,46046.92,45637.81,45809.31,44544.04,48936.08,54410.96,56176.68,57510.49,64353.19,62784.28,67075.87,72169.59,73097.04,70678.37,66923.04,71814.68,73417.2,71837.33,68927.87,64115.14,59642.33,2024-04-29
Agente,CDNC,52163.9,49414.23,47935.68,47405.21,51462.58,71965.33,94008.83,90300.1,92354.18,94301.75,97729.85,102851.3,98737.32,95665.84,97955.6,98824.31,101314.47,103807.65,109154.19,113871.83,105508.6,93112.56,76090.36,61984.38,2024-04-29
Agente,CEOC,52976.31,50950.92,48916.61,48762.57,53658.2,66223.8,77162.19,74257.76,75373.54,75614.42,80054.81,85607.23,85355.29,82353.86,84097.57,83866.06,85064.32,91647.82,102752.36,105296.03,97856.49,85567.45,71093.13,60256.52,2024-04-29
Agente,CETC,12908.89,12192.1,11842.67,11729.57,12123.84,13642.36,14882.33,16927.14,18883.0,20413.8,21921.58,23620.27,22405.34,22594.39,24533.55,25199.5,24709.42,23814.47,23120.05,23573.11,22752.39,21417.4,18654.84,15797.6,2024-04-29
Agente,CHCC,83626.48,78092.82,75552.7,75080.85,80868.73,98180.36,108853.78,111628.69,116402.86,122537.27,130083.28,137599.02,135968.36,133233.51,134071.6,133562.26,133936.09,136793.09,151236.76,157136.31,150545.3,137373.12,114559.12,97771.63,2024-04-29
Agente,CMMC,961218.68,923463.99,891906.82,862025.85,838195.47,784254.65,735936.58,745550.26,775114.44,800858.0,836135.81,872783.28,892414.38,955761.26,1005258.1,1012610.9,978648.2,923179.69,950592.96,1034585.78,1086444.6,1132692.43,1139291.13,1093934.67,2024-04-29
Agente,CNSC,167504.14,160379.22,155398.57,152358.78,152966.65,155259.34,160325.06,174387.83,190913.43,201805.9,210240.06,213708.33,199239.06,206709.74,219471.79,220319.46,215661.37,206203.81,210300.97,211779.56,211429.99,205416.67,193529.84,180490.19,2024-04-29
Agente,CQTC,26104.54,24994.38,24387.05,24133.29,24522.94,26854.01,27985.33,31200.37,35216.42,38135.54,41439.0,44699.66,42611.61,42444.12,45270.07,45820.87,46131.2,43986.16,45081.04,45265.87,43162.07,39918.52,35411.01,31469.3,2024-04-29
Agente,CSSC,975085.85,933279.37,900710.29,874679.33,853152.84,771740.83,735611.63,765521.85,741048.99,761768.85,789503.76,810860.75,830072.5,879264.62,926543.13,928982.82,958262.03,927380.8,957601.65,1016399.1,1063033.85,1102730.18,1110636.28,1075278.35,2024-04-29
Agente,DLRC,470.37,462.77,449.55,463.55,493.41,500.53,565.91,738.99,844.42,856.83,913.72,851.14,828.22,810.92,918.43,1029.34,999.82,1021.6,995.3,918.89,841.14,720.16,637.89,572.16,2024-04-29
Agente,EBPC,8018.54,7596.85,7326.75,7133.49,7193.05,7695.77,8169.45,8959.53,10338.34,11266.8,12076.23,12544.73,12451.31,12437.62,13187.05,13443.57,13265.0,12990.6,14075.8,14362.01,13644.04,12516.38,10807.27,9187.94,2024-04-29
Agente,EBSC,64442.09,61774.26,60885.98,60522.15,65762.35,85471.31,109341.36,107212.35,112909.16,116414.27,119607.25,120830.42,114670.07,112542.42,116311.95,114389.29,112988.27,113778.62,122482.01,124492.39,117595.83,103409.78,87654.5,76664.03,2024-04-29
