Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,AAGG,80.12,71.27,73.15,71.27,39.68,97.95,,,,,,,,,,,,,107.44,136.09,133.39,123.63,119.04,133.72,2024-04-29
Agente,ASCC,1946.28,1896.81,1864.39,1877.69,1913.02,2081.48,2280.0,2924.61,3355.22,3540.78,3640.52,3834.54,3341.54,3134.19,3570.79,3781.8,3581.59,3520.24,3505.07,3270.51,2891.53,2567.85,2298.77,2096.25,2024-04-29
Agente,BCCG,15.11,15.11,15.11,15.11,15.74,1.74,,,,,,,,,,,,,,18.26,17.63,17.63,17.0,17.63,2024-04-29
Agente,BIAC,22624.2,22410.42,21950.37,22294.21,23097.24,23974.12,29068.07,36005.4,40417.82,41438.87,44805.6,45308.88,44824.1,45779.4,48030.84,47780.86,46008.18,40963.25,37488.12,35899.59,34460.73,31528.61,29002.17,27768.99,2024-04-29
Agente,CASC,47624.53,48476.14,47821.88,46320.54,45921.06,46092.06,44970.02,49668.24,55398.79,57232.11,58430.44,65137.7,63254.99,67474.75,72857.44,73750.38,71069.88,67174.06,72042.79,73620.91,72029.81,69103.6,64289.39,59786.93,2024-04-29
Agente,CBNC,9227.69,9425.49,9956.8,10176.54,10219.9,10040.65,10074.43,8869.04,7262.23,6130.78,4587.35,4284.64,4526.28,4501.9,4873.82,6476.66,9520.01,11442.65,11551.02,11720.08,11610.0,10969.61,11407.09,11390.02,2024-04-29
Agente,CDNC,61150.85,58425.81,56864.9,56358.44,60445.63,80975.61,94906.8,91715.44,93785.77,95856.52,99256.91,104392.13,100345.35,97458.67,99741.12,100629.44,103020.62,105435.03,118938.7,123593.69,115102.43,102652.54,85621.62,71491.4,2024-04-29
Agente,CEOC,55929.35,54002.29,52004.6,51796.26,56554.21,69371.13,81052.81,78570.77,81458.83,81030.54,84487.13,90369.48,90020.4,87035.98,88907.7,88817.03,89911.57,95908.81,106914.13,109398.4,101848.06,89461.3,74821.0,63949.69,2024-04-29
Agente,CETC,18680.49,18071.68,17933.41,18291.69,18718.45,20287.15,18943.31,20680.86,22072.93,21834.26,23242.65,25010.11,23629.38,23913.66,26038.35,27526.7,28382.75,28950.38,31388.33,31250.66,30512.37,28783.04,25461.84,22300.24,2024-04-29
Agente,CETG,5.64,5.83,5.74,5.68,5.32,5.46,5.3,5.0,4.41,4.15,4.05,3.91,4.1,3.11,2.96,2.84,2.61,2.85,3.69,3.05,2.86,2.26,2.35,2.19,2024-04-29
Agente,CHCC,83626.48,78092.82,75552.7,75080.85,80868.73,98180.36,108853.78,111628.69,116402.86,122537.27,130083.28,137599.02,135968.36,133233.51,134071.6,133562.26,133936.09,136793.09,151236.76,157136.31,150545.3,137373.12,114559.12,97771.63,2024-04-29
Agente,CHVC,44374.39,50173.87,51185.31,51353.02,48146.52,48443.17,52585.54,52716.68,50609.1,44614.12,42956.72,38986.49,41053.8,35205.15,34793.44,48456.16,50918.73,51802.77,52464.58,52349.89,52266.73,51580.2,52061.53,50479.83,2024-04-29
Agente,CHVG,258.77,232.66,235.98,228.56,244.91,267.61,40.78,40.86,40.8,42.3,302.32,324.68,319.2,320.88,315.11,306.56,296.17,273.3,280.79,276.17,263.21,258.6,265.84,235.48,2024-04-29
Agente,CMMC,1054771.13,1015863.2,984043.18,955405.41,932480.84,880410.31,808905.21,827165.15,861090.48,888885.98,925015.98,962148.0,980516.42,1046453.61,1097702.37,1104139.7,1067908.23,1009519.09,1066805.19,1148982.49,1197626.59,1239872.04,1244676.76,1197997.99,2024-04-29
Agente,CMXC,22920.43,23415.72,24137.45,26434.01,23342.86,23426.3,22445.37,25332.96,26846.99,27176.82,28610.21,28691.6,28860.24,29460.76,30076.04,29862.5,29016.91,28290.87,28950.37,29296.99,30671.37,30745.37,30401.38,30185.23,2024-04-29
Agente,CNCC,5693.7,5695.14,4883.83,1600.46,1961.09,1927.06,103.12,2762.36,1818.72,,,2793.84,465.85,1982.09,,1482.52,,1972.76,5644.73,,,,,859.69,2024-04-29
Agente,CNSC,167504.14,160379.22,155398.57,152358.78,152966.65,155259.34,160325.06,174387.83,190913.43,201805.9,210240.06,213708.33,199239.06,206709.74,219471.79,220319.46,215661.37,206203.81,210300.97,211779.56,211429.99,205416.67,193529.84,180490.19,2024-04-29
Agente,CQTC,26104.54,24994.38,24387.05,24133.29,24522.94,26854.01,27985.33,31200.37,35216.42,38135.54,41439.0,44699.66,42611.61,42444.12,45270.07,45820.87,46131.2,43986.16,45081.04,45265.87,43162.07,39918.52,35411.01,31469.3,2024-04-29
Agente,CSSC,1056466.79,1013914.8,981149.86,954823.61,931993.13,852221.84,813238.52,860950.93,848706.67,874319.96,905169.42,922986.95,937570.55,991605.66,1044164.69,1050650.88,1078502.28,1043788.49,1086765.34,1142950.12,1181190.76,1209203.69,1209305.82,1169752.67,2024-04-29
Agente,DLRC,470.37,462.77,449.55,463.55,493.41,500.53,565.91,738.99,844.42,856.83,913.72,851.14,828.22,810.92,918.43,1029.34,999.82,1021.6,995.3,918.89,841.14,720.16,637.89,572.16,2024-04-29
Agente,DRUC,47507.65,41475.98,50274.95,50933.14,48643.96,44351.85,49975.1,54470.68,54127.21,54785.68,53602.92,51516.18,38221.73,55070.98,55949.61,53376.4,57186.84,47713.35,49051.04,55319.94,57004.28,55041.48,51840.34,47917.23,2024-04-29
Agente,EBPC,8018.54,7596.85,7326.75,7133.49,7193.05,7695.77,8169.45,8959.53,10338.34,11266.8,12076.23,12544.73,12451.31,12437.62,13187.05,13443.57,13265.0,12990.6,14075.8,14362.01,13644.04,12516.38,10807.27,9187.94,2024-04-29
Agente,EBSC,79200.62,76592.81,75735.83,75365.77,80619.99,100678.34,113456.28,112175.49,118416.89,121499.57,124704.67,126437.48,119796.77,117753.47,121618.67,119457.06,117930.01,118338.53,138496.08,140331.27,133108.68,118820.52,102914.16,91869.45,2024-04-29
Agente,EBSG,9.83,9.78,9.79,9.79,9.83,4.45,,,,,,,,,,,,,5.15,9.4,9.36,9.48,9.43,9.41,2024-04-29
Agente,EDPC,23984.01,23098.39,22299.6,22218.71,22206.77,23476.03,24748.58,26746.4,29662.09,31827.47,27769.93,34829.42,34959.05,35358.11,34628.58,35230.33,35581.78,34264.34,35022.3,34796.17,36167.03,34729.07,31271.78,28074.48,2024-04-29
Agente,EDQC,36439.22,34071.91,33033.67,32810.81,34627.74,40770.01,43334.29,47705.23,52125.13,55382.86,58684.47,61791.79,61124.3,60341.75,60613.21,60130.32,60804.88,60965.71,66856.72,69645.14,66158.35,60344.22,51236.77,43029.07,2024-04-29
Agente,EEPC,71414.65,68024.57,66110.38,66066.75,68556.45,76241.23,80568.16,90116.66,98793.83,105001.99,110407.0,115302.56,113296.24,113261.03,115960.49,117951.85,117805.65,113000.5,119081.62,120417.65,115439.62,107235.22,94539.33,82987.33,2024-04-29
Agente,EEPG,,,,,,,,23.57,,9.13,11.73,,,,,,,,,,,,,,2024-04-29
Agente,EGRG,7.56,7.56,7.56,8.19,7.56,8.19,3.78,,,,,,,,,,,,6.3,7.56,7.56,6.93,7.56,7.56,2024-04-29
Agente,EGVC,8080.15,7805.53,7611.68,7498.6,7466.29,7757.06,8128.61,8855.55,9776.35,10164.05,10567.9,11100.99,11181.76,11731.01,12506.41,12764.88,12685.12,12297.42,12814.35,12636.66,12119.72,11392.78,10375.06,9308.88,2024-04-29
Agente,EMEC,2641.79,1831.66,1761.37,1697.2,1746.99,1950.04,2157.5,2600.08,2801.94,3133.49,2838.29,3726.15,3464.86,3520.25,4390.21,3885.93,2626.98,2670.77,3338.96,3679.38,2255.66,4543.41,2653.36,1870.93,2024-04-29
Agente,EMEG,0.7,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Agente,EMIC,277712.87,264131.1,257889.71,255190.67,262411.38,283923.87,292498.12,325808.54,367198.37,387532.25,416565.78,435191.27,437440.87,437886.88,448764.59,451615.18,444922.88,418611.08,430728.92,434054.62,424519.81,395570.23,361204.77,327273.47,2024-04-29
Agente,EMPC,1574.78,1515.86,1437.23,1381.41,1366.36,1393.97,1351.79,1555.71,1808.79,1921.84,1975.03,2075.98,2073.04,2117.85,2168.87,2179.26,2169.8,2199.58,2307.05,2333.41,2211.99,2061.25,1903.85,1760.87,2024-04-29
Agente,EMSC,102908.88,102926.21,102324.45,99067.35,100072.07,104872.25,103329.97,113094.99,128036.88,140970.64,150009.89,151755.5,161471.0,166775.79,171759.73,171127.33,170214.29,164337.68,176118.74,174904.29,173023.13,163841.85,150524.78,137699.07,2024-04-29
Agente,EMUG,936.47,906.5,891.78,887.14,921.88,938.02,838.36,623.8,464.05,717.28,543.52,299.47,437.31,264.85,615.49,652.77,803.19,1003.22,1239.0,1267.56,1226.62,1173.95,1112.03,1046.04,2024-04-29
Agente,ENBC,4279.93,4066.78,3923.18,3790.59,3829.89,4133.81,4819.36,5644.89,6653.23,6919.27,7528.76,7927.87,8038.77,8005.87,8145.79,8171.97,8054.29,7448.97,7210.24,7081.4,6711.72,6064.39,5443.57,4895.96,2024-04-29
Agente,ENDC,1293229.51,1247701.03,1216619.12,1235997.37,1374854.31,1625214.37,1698606.34,1822326.87,1900788.53,1956099.89,2017224.83,2057090.15,2049137.18,2029510.6,2035032.68,2023656.06,2000408.03,1968004.8,2089390.25,2109424.1,2017639.09,1831384.88,1626958.38,1482160.54,2024-04-29
Agente,ENDG,20818.55,27395.96,27311.68,27209.82,27297.03,26441.05,21890.52,19308.65,19221.88,19380.56,19278.83,19213.21,18401.51,18396.73,18448.68,14385.17,11077.67,11006.4,11704.85,12038.37,12023.32,11996.22,12161.6,12091.7,2024-04-29
Agente,ENGG,,,,,,,,,,,,,0.06,0.52,0.44,,,,,,,,,,2024-04-29
Agente,ENIC,35422.09,33924.75,32827.09,31941.09,31461.08,30895.5,30219.84,32305.29,33582.41,33876.19,34306.09,35313.06,33584.82,35563.83,38482.84,38437.34,37717.41,36439.63,38857.69,39276.22,39006.91,37806.53,35484.33,33224.6,2024-04-29
Agente,EPMC,1044042.55,1025197.58,1014016.89,1018822.26,1088741.45,1215550.27,1297477.64,1394739.03,1459013.21,1508570.56,1550270.87,1616743.78,1629790.9,1624241.22,1637210.22,1645314.81,1607481.58,1561913.62,1637000.48,1659209.42,1581398.79,1475161.61,1353121.9,1239223.01,2024-04-29
Agente,EPMG,5502.05,5555.89,4575.48,4544.19,4846.07,4226.56,3867.15,3982.01,4030.75,4019.71,4008.05,3874.59,3699.49,3744.54,3746.45,3675.95,3768.39,3716.69,3984.75,3925.92,3848.03,3885.93,3900.2,4071.11,2024-04-29
Agente,EPSC,369968.69,360651.68,351250.52,348303.29,356108.88,378260.1,396232.44,431093.64,452746.78,464976.07,481675.09,500208.39,490990.73,499070.87,512111.94,527519.5,522059.38,523588.89,557826.76,571691.29,552349.9,522147.62,468055.76,425643.97,2024-04-29
Agente,EPSG,2260.41,2223.78,2209.36,2344.38,2228.14,2133.95,1764.76,1851.87,1808.92,1837.36,1872.41,1857.47,1875.75,2072.86,1974.06,1864.59,1870.02,1858.56,2191.53,2341.04,2231.76,2162.66,2226.67,2256.93,2024-04-29
Agente,EPTC,7170.98,6699.85,6506.46,6416.73,6510.61,7265.84,7430.96,8055.6,9018.05,9989.28,11237.37,11947.91,11253.17,11319.69,11890.44,11988.13,11935.27,11696.38,13046.53,13658.97,13008.94,11765.09,9919.37,8338.6,2024-04-29
Agente,ERRG,33.05,33.46,33.77,33.36,33.46,30.68,,,,,,,2.49,14.94,11.42,,,,26.04,27.97,30.54,30.46,31.29,31.39,2024-04-29
Agente,ESOC,504.64,482.36,465.56,451.4,449.17,448.41,454.97,496.19,546.28,560.1,595.34,628.36,653.88,670.43,655.84,626.66,611.98,605.07,633.66,670.86,657.55,603.02,518.98,461.72,2024-04-29
Agente,ESSC,229664.02,218486.69,209366.24,202017.6,202781.6,211234.09,213610.62,239355.32,263837.78,276075.96,289298.55,299311.31,285100.48,291947.74,307857.35,313601.69,311459.92,299874.83,318665.58,318898.12,311047.72,293215.22,268447.08,244974.9,2024-04-29
Agente,ESVC,447.91,432.58,410.93,397.15,388.99,381.36,420.79,472.33,517.63,528.97,541.6,517.6,469.27,493.53,536.64,540.42,506.77,500.9,547.24,552.65,541.62,495.04,440.41,405.23,2024-04-29
Agente,ETTC,35542.84,34445.38,34204.11,34419.31,35994.87,39439.68,51061.97,64870.01,74410.1,78847.06,80730.11,82762.82,81630.49,80967.01,83668.74,83665.06,80419.95,71624.86,65332.09,62120.81,56916.05,51566.6,46462.84,44660.43,2024-04-29
Agente,EVSC,1071.72,1013.72,974.35,965.42,1013.84,1255.07,1738.63,1389.3,1473.64,1536.85,1542.03,1626.64,1543.85,1538.55,1603.03,1583.51,1670.21,1823.13,2287.99,2424.09,2215.36,1962.55,1526.45,1213.17,2024-04-29
Agente,EXEC,11562.55,11449.48,11071.8,11389.02,12222.24,14262.7,17989.66,21107.84,22871.34,23599.87,24108.08,24210.31,24105.18,24747.5,25513.63,26659.78,26248.36,24810.76,23788.16,23245.21,21773.1,19029.91,16395.02,15209.38,2024-04-29
Agente,FERC,4306.86,4261.74,4177.72,4151.36,4506.54,4903.98,6740.09,7674.36,8213.3,8379.32,8553.49,8848.8,8779.76,8642.97,8824.18,8971.66,8311.53,7339.52,7236.53,7074.21,7016.83,6902.17,6385.59,6321.75,2024-04-29
Agente,FERG,,,,,,,,0.74,,0.35,0.42,,,,,,,,,,,,,,2024-04-29
Agente,FREC,7838.3,7938.48,7906.94,7927.35,7726.99,7767.8,7970.02,8168.53,8381.88,7702.87,7133.32,7773.37,7879.11,7749.25,8398.58,8146.27,8320.66,7925.49,8025.68,8021.97,8140.7,7906.94,7816.04,7430.15,2024-04-29
Agente,GAPC,6945.37,6522.48,6387.9,6814.79,7221.56,7507.8,7357.31,7262.32,7229.65,7052.87,6904.69,6588.67,6955.04,6941.0,7036.3,7571.56,8106.11,8208.75,8037.04,8746.55,9266.9,9030.36,8781.2,9084.92,2024-04-29
Agente,GECC,389906.19,397831.24,410401.11,401003.87,405482.47,419029.58,418958.65,402234.34,384994.72,372729.17,382212.79,379641.77,372620.81,376667.09,369674.55,363262.51,371703.33,395728.41,411991.73,394393.38,391759.48,403622.88,403818.75,398577.54,2024-04-29
Agente,GECG,5409.04,5351.38,5327.84,5366.55,5346.88,5459.18,5569.5,5379.63,4963.24,4788.32,4539.81,3384.42,2677.57,2597.78,2669.51,2320.05,2559.64,2542.48,2218.01,2075.46,1767.52,1768.93,1754.2,1741.92,2024-04-29
Agente,GNCC,121776.8,118495.39,115465.7,115029.36,116786.27,125522.51,155242.92,188431.8,213133.46,223930.53,236306.54,242834.77,236278.22,239671.02,247303.51,249094.6,245727.31,229309.31,216360.95,204929.33,189765.86,170077.5,152166.84,142837.13,2024-04-29
Agente,GNCG,15.75,15.8,16.32,15.82,15.74,16.48,13.38,11.88,11.06,10.7,10.77,10.39,11.7,13.2,13.5,13.45,13.28,12.05,13.93,14.97,15.32,15.57,16.11,16.14,2024-04-29
Agente,GNSG,47.95,47.82,47.86,47.86,47.81,,,,,,,,,,,,,,24.1,20.75,20.79,20.72,34.75,48.18,2024-04-29
Agente,GNYC,88.82,88.61,88.77,89.01,89.19,90.18,95.98,785.17,3294.12,4271.34,4468.61,4719.81,4953.22,4946.09,4831.2,4818.81,5019.02,4616.58,3865.77,2291.28,332.13,95.31,91.81,91.54,2024-04-29
Agente,GNYG,88.55,88.55,87.33,87.31,89.49,43.4,,,,,,,,,,,,,47.1,90.18,87.37,86.34,88.94,89.81,2024-04-29
Agente,GPEG,,,,,,,,,,,1.44,,,,,,,,,,,,,,2024-04-29
Agente,GPYG,,,,,,,,0.78,,0.37,0.32,,,,,,,,,,,,,,2024-04-29
Agente,GSAC,7.1,7.1,7.1,8.11,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,2024-04-29
Agente,GSAG,29.84,30.87,29.84,30.87,30.87,56.59,51.44,45.27,44.24,43.21,43.21,37.04,34.98,36.01,53.5,53.5,6.17,,,,,,,,2024-04-29
Agente,HDTG,,,,,,,,,,,,,1.68,12.57,7.07,,,,,,,,,,2024-04-29
Agente,HIMC,1285.25,1248.95,1220.13,1207.78,1192.43,1189.07,1196.93,1210.4,1216.39,1193.56,1216.39,1455.92,1580.56,1500.84,1623.97,1661.03,1675.25,1604.14,1731.76,1866.13,1867.25,1775.93,1632.58,1507.95,2024-04-29
Agente,HIMG,68.9,67.36,67.44,68.02,67.63,65.91,65.44,64.05,62.32,60.42,60.14,57.63,58.23,58.59,59.04,59.75,59.13,60.56,59.72,59.54,60.81,61.34,63.14,68.08,2024-04-29
Agente,HLAC,104140.81,98622.09,92116.28,89008.93,88759.69,94885.82,99560.24,110375.86,119169.47,124797.13,133342.11,142115.86,136084.58,138848.69,146541.1,146488.35,145006.68,142052.5,152637.84,154779.86,148316.65,137697.25,123229.48,112564.97,2024-04-29
Agente,IACG,,,,,,,,,,6.76,,,,,,,,,,,,,,,2024-04-29
Agente,ISGC,390753.18,391629.87,394142.37,391360.21,391794.22,389357.99,393928.01,402493.72,412831.62,426128.75,425019.59,431510.59,431010.02,420083.53,416360.25,423202.43,435225.63,428883.4,425060.5,435350.46,436149.57,439736.61,436934.55,425942.94,2024-04-29
Agente,ISGG,724.3,728.74,805.96,738.25,754.49,831.13,589.41,598.27,600.82,992.45,1122.31,1055.95,1054.05,1095.19,1091.72,1037.58,999.45,1113.83,1306.01,1212.53,1135.83,1180.85,1122.99,1127.26,2024-04-29
Agente,ITLC,10133.05,10833.81,11389.03,12181.98,12830.76,12684.38,12835.13,14875.4,16915.41,16926.86,17083.38,17380.29,16346.95,16290.75,17361.1,18234.9,18462.66,16430.99,16095.62,16154.67,16427.1,16012.58,15676.18,14754.82,2024-04-29
Agente,LESC,5084.85,5084.09,5085.6,5106.29,5097.72,5109.32,5115.85,5138.14,5137.76,5134.35,4556.34,4467.89,4474.95,4450.39,4447.73,4461.46,4451.37,4430.84,4424.78,4439.03,4430.46,4431.21,4429.33,4423.41,2024-04-29
Agente,NEUC,17148.99,16619.36,16207.79,16014.73,16019.61,16918.82,20441.33,25781.49,29667.18,31591.15,32689.27,33446.24,34322.88,34539.04,34767.78,35838.3,36586.97,35793.2,33814.84,32522.7,29899.53,26264.63,23026.15,20370.63,2024-04-29
Agente,NRCG,,,,,,,,1.88,0.23,,2.35,3.52,3.52,3.52,3.76,3.76,3.76,3.99,3.52,,,,,,2024-04-29
Agente,NTCG,640.7,634.31,631.05,578.0,582.66,577.66,568.62,569.51,591.34,582.3,607.07,597.5,586.26,574.06,575.87,578.32,566.38,546.64,553.32,580.16,560.1,556.96,558.26,556.86,2024-04-29
Agente,PCYG,2.89,3.04,3.11,2.98,3.11,2.97,2.96,2.81,2.79,2.62,2.62,2.62,2.76,2.62,2.76,2.78,3.11,2.98,2.87,2.99,2.82,2.89,3.03,2.76,2024-04-29
Agente,PDSG,202.39,183.62,190.15,192.78,197.33,305.8,,,,,,,,,,,,,174.3,127.78,127.65,127.2,128.0,125.39,2024-04-29
Agente,PECG,,,,,,,,,,,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,18.54,2024-04-29
Agente,PEEC,478.07,484.55,465.97,532.81,549.07,612.91,657.83,829.94,993.4,1034.07,1101.69,1165.24,1186.44,1179.77,1173.93,1130.43,1066.52,987.26,794.31,696.93,707.38,661.65,536.6,484.28,2024-04-29
Agente,PRIG,415.83,343.05,502.82,358.48,349.9,342.39,330.49,308.17,282.76,312.0,375.28,380.83,300.9,355.81,382.43,354.57,364.55,359.67,282.21,279.31,270.94,256.31,258.6,263.06,2024-04-29
Agente,PSGG,11.23,12.47,12.47,12.47,11.23,,,,,,,,,,,,,,14.97,11.23,11.23,12.47,11.23,12.47,2024-04-29
Agente,QIEC,15904.01,15002.25,14611.49,14501.9,14565.24,16061.91,20347.19,26518.71,32527.24,37915.78,44298.94,46522.98,46113.23,46627.24,49471.92,50569.62,49912.01,46161.45,43383.15,39639.66,33713.25,28342.88,25042.09,21934.97,2024-04-29
Agente,RENG,,,,,,,,25.95,,11.42,13.39,,,,,,,,,,,,,,2024-04-29
Agente,RPEC,308.95,316.58,313.79,299.82,309.13,332.41,369.65,463.7,625.71,826.83,798.9,822.8,711.37,771.28,929.88,941.05,808.52,2986.41,4218.9,3922.49,3839.62,3797.1,4720.46,5381.87,2024-04-29
Agente,RPEG,31.94,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Agente,RTAC,261.49,257.06,257.67,257.92,257.33,258.36,260.98,388.51,511.44,720.61,1364.77,1382.57,1392.49,1399.89,1379.86,1376.81,1373.83,1359.21,1342.17,1280.65,652.42,319.02,258.14,270.18,2024-04-29
Agente,RTQC,17563.14,17237.45,17074.74,16850.62,17089.11,18089.41,21959.63,26162.14,29264.8,29964.59,30523.37,31644.07,31504.97,31640.12,33377.86,34484.34,34534.91,32542.34,30572.3,28176.36,26774.29,24862.05,23403.7,22174.37,2024-04-29
Agente,SCEC,466.93,454.88,436.96,432.22,395.02,469.11,580.59,903.37,1092.05,802.56,574.7,732.12,526.95,480.16,758.1,852.89,1129.24,911.9,852.03,729.76,682.41,637.06,561.84,535.47,2024-04-29
Agente,SDCG,95.42,95.42,95.62,96.08,96.64,50.27,,,,,,,,,,,,,37.87,96.0,95.15,94.89,94.39,94.6,2024-04-29
Agente,SFEG,,,,,,,,0.6,,0.29,0.4,,,,,,,,,,,,,,2024-04-29
