Id,Name,Value,Date
Embalse,AGREGADO BOGOTA,846460.0,2024-04-29
Embalse,CHUZA,880560.0,2024-04-29
Embalse,MIRAFLORES,1178669.0,2024-04-29
Embalse,PORCE III,92.0,2024-04-29
Embalse,TOPOCORO,64090.0,2024-04-29
Embalse,AGREGADO BOGOTA,424480.0,2024-04-30
Embalse,CHUZA,883010.0,2024-04-30
Embalse,MIRAFLORES,1171498.0,2024-04-30
Embalse,PORCE III,88.0,2024-04-30
Embalse,TOPOCORO,64320.0,2024-04-30
Embalse,AGREGADO BOGOTA,103170.0,2024-05-01
Embalse,CHUZA,882860.0,2024-05-01
Embalse,MIRAFLORES,847325.0,2024-05-01
Embalse,PORCE III,152.0,2024-05-01
Embalse,TOPOCORO,64140.0,2024-05-01
Embalse,AGREGADO BOGOTA,100240.0,2024-05-02
Embalse,CHUZA,881500.0,2024-05-02
Embalse,MIRAFLORES,498887.0,2024-05-02
Embalse,RIOGRANDE2,820.0,2024-05-02
Embalse,TOPOCORO,63910.0,2024-05-02
Embalse,AGREGADO BOGOTA,102320.0,2024-05-03
Embalse,CHUZA,879840.0,2024-05-03
Embalse,MIRAFLORES,497491.0,2024-05-03
Embalse,TOPOCORO,64220.0,2024-05-03
Embalse,AGREGADO BOGOTA,102720.0,2024-05-04
Embalse,CHUZA,863060.0,2024-05-04
Embalse,MIRAFLORES,501206.0,2024-05-04
Embalse,PORCE III,45.0,2024-05-04
Embalse,TOPOCORO,64160.0,2024-05-04
Embalse,AGREGADO BOGOTA,103200.0,2024-05-05
Embalse,CHUZA,849240.0,2024-05-05
Embalse,MIRAFLORES,501898.0,2024-05-05
Embalse,TOPOCORO,64290.0,2024-05-05
