Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,CHBG,,,,,,,,,,,,,,,,,76309.21,,,,,,,,2024-04-29
Recurso,PRC3,90416.65,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,PRDO,,,,,,,,,,,,,,,,,0.53,,,,,,,,2024-04-29
Recurso,TCBE,,,,,,,2834.4,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,TFL4,,22478.06,22578.93,23110.12,23102.33,22328.36,,,24007.6,25554.76,26863.09,25982.52,27044.33,27420.03,27883.29,27146.65,26519.47,25458.84,24674.07,23617.11,23218.99,23273.89,23338.68,23267.51,2024-04-29
Recurso,TRN1,,,,,,,,,,,,,,,1453.16,844.51,,3521.23,7267.79,5078.96,,2763.05,,,2024-04-29
Recurso,TSJ2,,,,,,,,,8624.5,,,,,,,,,,,,,,,,2024-04-29
Recurso,TYP2,,,,,,,,,,,,,,1377.55,1386.79,1408.16,,,,,,,,,2024-04-29
Recurso,ZPA5,,,,,,,,,,,,,,,,,,,,,4155.36,4642.32,5197.27,5320.0,2024-04-29
Recurso,CHBG,,,,,,,,,,,,,,,,131259.63,169450.41,86362.02,156918.3,62104.04,,,,,2024-04-30
Recurso,GTPE,,,,,28592.0,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,TBST,21479.37,,,,,,,,,,,,,,421939.72,,,,,,,,,,2024-04-30
Recurso,TDR1,1053.64,,137.3,,,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,TFL4,23451.95,23683.53,23688.69,23776.0,23627.45,23251.73,23631.9,24646.12,25137.18,26117.49,27328.7,27503.38,27325.65,28118.58,28181.78,27401.07,26968.51,26430.29,25505.27,25045.6,24864.55,24499.84,24409.64,24484.17,2024-04-30
Recurso,TGJ2,,,,,,,,,,,,,,10072.47,21938.12,26641.51,19912.92,,,,,,,,2024-04-30
Recurso,TSR1,,,,,,33465.05,190000.0,190000.0,282622.64,143817.85,,,,,,,,,,,,,23495.62,,2024-04-30
Recurso,TVL1,,,,,,,,,25095.17,28971.06,,,,,,,,,,,,,2314.07,,2024-04-30
Recurso,TYP2,,,,,,,,,,,,1726.77,,,,,,,,,,,,,2024-04-30
Recurso,ZPA3,,,,,,,,,,,,,,,,,,,,8000.0,11170.01,13317.64,23893.66,,2024-04-30
Recurso,ZPA5,4869.91,5039.6,4645.26,4049.58,,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,CHBG,70188.68,447729.56,184706.75,162789.06,,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,GEC3,20539.32,35166.18,,,,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,GTPE,176280.0,487000.01,487000.01,,,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,JAGS,,,,,,,,,,,,,,,64048.31,18491.5,,,,,,,,,2024-05-01
Recurso,PPA1,2790.19,3863.47,,,,1085.2,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,PPA2,6011.27,7518.71,,,,50617.97,,61263.37,61760.36,61921.14,51335.46,,,,,,,,,,,,,,2024-05-01
Recurso,PPA3,4156.54,7406.27,,,1659.57,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,PPA4,13657.31,6018.46,,,,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,SNCR,,,,,,,,,,148913.09,,,,,,,,,,,,,,,2024-05-01
Recurso,TCDT,,6218.4,,,,,,,,,,,,,,,,16827.05,46839.26,51676.94,,,,,2024-05-01
Recurso,TGJ1,52342.23,,,,,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,TGJ2,41218.74,,,,,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,TRN1,2307.35,,,,,,,,,,3225.5,10094.2,,,3215.15,,,,,,,,,,2024-05-01
Recurso,TVL1,,,,,,,,,53151.24,65494.84,11752.36,,,,,,,,,,,,,,2024-05-01
Recurso,ZPA2,,,,,,,,,,,,,,,,9197.24,,,,,,,,,2024-05-01
Recurso,QUI1,,,,,,,,,,,,,,,,,,,117179.1,,,,,,2024-05-02
