Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,CHBG,,,,,,,,,,,,,,,,,7350963.18,,,,,,,,2024-04-29
Recurso,PRC3,1039544.72,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,PRDO,,,,,,,,,,,,,,,,,49.47,,,,,,,,2024-04-29
Recurso,TCBE,,,,,,,2100290.4,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,TFL4,,9292154.18,9288694.74,9507219.79,9702978.6,9355582.84,,,9963154.0,10605225.4,11148182.35,10782745.8,11223396.95,11379312.45,11292732.45,9074609.31,8864954.95,8510406.49,8019072.75,6967047.45,7546171.75,7780019.22,9452165.4,9656016.65,2024-04-29
Recurso,TRN1,,,,,,,,,,,,,,,1242451.8,662333.15,,2761633.79,5632537.25,3783825.2,,2167007.62,,,2024-04-29
Recurso,TSJ2,,,,,,,,,1207257.51,,,,,,,,,,,,,,,,2024-04-29
Recurso,TYP2,,,,,,,,,,,,,,35282.18,49386.74,149731.44,,,,,,,,,2024-04-29
Recurso,ZPA5,,,,,,,,,,,,,,,,,,,,,706411.2,832279.77,1299317.5,1383200.0,2024-04-29
Recurso,CHBG,,,,,,,,,,,,,,,,4644216.33,18704259.79,9532804.66,22028490.56,8718283.71,,,,,2024-04-30
Recurso,GTPE,,,,,582759.55,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,TBST,10077606.85,,,,,,,,,,,,,,156635104.64,,,,,,,,,,2024-04-30
Recurso,TDR1,2320264.12,,300706.4,,,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,TFL4,9881317.09,9718372.9,9696801.58,9732541.32,9671733.41,9488548.8,9643688.29,10057570.44,10257961.84,10658006.02,11024213.41,10957161.25,10886354.81,11202252.78,9113797.74,8861321.38,7912379.09,7754468.97,5802455.58,4092282.26,7295091.41,7923083.15,9724636.08,9876749.18,2024-04-30
Recurso,TGJ2,,,,,,,,,,,,,,4037159.4,7147686.54,8680103.97,5890465.98,,,,,,,,2024-04-30
Recurso,TSR1,,,,,,28919266.74,164191019.6,164191019.6,244232102.22,124282102.25,,,,,,,,,,,,,20076473.02,,2024-04-30
Recurso,TVL1,,,,,,,,,26878916.14,31030301.54,,,,,,,,,,,,,2456138.3,,2024-04-30
Recurso,TYP2,,,,,,,,,,,,56390.97,,,,,,,,,,,,,2024-04-30
Recurso,ZPA3,,,,,,,,,,,,,,,,,,,,139146.09,1646384.2,2362459.59,6030598.77,,2024-04-30
Recurso,ZPA5,1297066.88,1286827.04,1181489.79,1029982.69,,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,CHBG,593630.22,16205407.89,6685393.35,6706035.87,,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,GEC3,2965679.92,4102253.24,,,,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,GTPE,1490735.57,13507919.28,13507919.28,,,,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,JAGS,,,,,,,,,,,,,,,3555170.2,1026419.43,,,,,,,,,2024-05-01
Recurso,PPA1,653488.63,797699.79,,,,218637.81,,,,,,,,,,,,,,,,,,,2024-05-01
Recurso,PPA2,1229270.84,1328987.37,,,,8694009.16,,11040516.96,11130081.52,10272717.13,8516552.81,,,,,,,,,,,,,,2024-05-01
