Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2QBW,19950.25,19942.32,19936.24,19921.12,19667.37,18732.02,17902.3,17243.62,16765.79,16385.74,15976.8,15565.66,15058.27,14647.24,14289.24,13967.08,13645.9,13389.61,13131.65,13079.88,12853.35,12569.9,12371.5,12204.19,2024-04-29
Recurso,2QEK,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,2024-04-29
Recurso,2QRL,653.61,652.86,652.86,652.77,652.35,652.35,652.05,651.96,651.99,651.93,650.82,650.88,648.6,638.79,612.63,612.78,612.54,612.0,611.85,607.68,587.04,604.02,632.04,654.57,2024-04-29
Recurso,2QV2,,,,,,,1507.53,6930.0,17852.4,13248.0,3171.6,7920.0,18788.4,18766.8,18759.6,18766.8,14554.8,17254.8,18388.8,18381.6,18381.6,17017.2,14878.8,15710.4,2024-04-29
Recurso,2R22,18201.71,18199.67,18200.07,18200.52,18202.3,18205.44,18207.39,18205.71,18208.49,18206.98,18205.32,18207.51,18208.24,18209.3,18213.87,18216.45,18214.6,18210.54,18210.34,18215.13,18212.72,18213.66,18210.82,18208.18,2024-04-29
Recurso,2S6Q,,,,,,1.8,32.4,279.6,23.4,5.4,12.6,71.4,86.4,162.0,205.8,319.8,271.8,86.4,216.6,401.4,201.6,7.8,15.0,1.2,2024-04-29
Recurso,2S6S,,,,,,,,,,,,,,,,,,,,79.2,,,,,2024-04-29
Recurso,2S6U,6836.78,6858.72,6800.31,6861.53,6888.92,6825.06,6205.65,4481.73,4204.53,4248.59,4332.74,4295.28,4191.0,3931.29,3893.67,3820.74,3793.02,3797.48,3761.18,4131.77,6403.98,6587.13,6620.3,5698.94,2024-04-29
Recurso,2S78,297.86,329.67,317.59,306.83,297.4,299.18,293.63,296.6,294.29,295.94,216.28,293.96,289.21,283.73,279.44,271.39,273.9,274.1,277.27,293.7,311.19,290.6,271.33,235.29,2024-04-29
Recurso,2S8G,,,,0.04,,,0.04,0.55,,0.05,55.48,30.12,6.25,,,,,,,,,,,,2024-04-29
Recurso,2S8I,6160.0,5920.0,7680.0,7920.0,7200.0,6400.0,6560.0,6480.0,6000.0,3120.0,2480.0,4080.0,4880.0,5040.0,4640.0,3520.0,2160.0,4160.0,5440.0,5280.0,5760.0,6160.0,6000.0,5680.0,2024-04-29
Recurso,2S8N,,,,9512.0,9887.2,9813.7,9714.69,9622.12,9562.15,9586.32,9520.59,9464.12,9493.71,9513.86,9512.82,9614.84,9602.45,9617.08,9555.68,9500.64,9532.32,9577.87,9618.0,9753.54,2024-04-29
Recurso,2S8S,615.12,615.6,612.6,616.56,614.16,618.0,619.2,616.32,616.56,613.92,612.36,518.64,609.36,613.32,608.16,610.8,605.88,609.6,610.8,403.8,612.72,614.88,612.24,615.48,2024-04-29
Recurso,2S8U,1690.92,1688.72,1684.76,1681.68,1679.92,1675.96,1683.88,1679.04,1677.28,1672.44,1670.68,1666.28,1670.68,1668.92,1672.88,1672.0,1675.08,1674.2,1666.28,1666.28,1669.36,1669.8,1672.88,1674.2,2024-04-29
Recurso,2S9L,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,2S9Q,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,2SDR,14905.0,14480.0,14264.0,14071.0,12941.0,10906.0,9502.0,8448.0,8087.0,7142.0,6582.0,6502.0,6699.0,6582.0,6319.0,6031.0,5841.0,5669.0,5499.0,5790.0,5377.0,5294.0,5549.0,6530.0,2024-04-29
Recurso,2SI1,19402.0,19444.0,19426.0,19457.0,19504.0,18917.0,18376.0,17483.0,17052.0,16189.0,15913.0,15082.0,14599.0,14722.0,14420.0,13642.0,13135.0,14105.0,16583.0,17801.0,17281.0,16553.0,16442.0,16488.0,2024-04-29
