Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2QBW,14000,16000,18000,19900,19900,19900,19900,18000,19900,19900,19900,19900,19900,19900,19900,19900,18000,18000,16000,16000,16000,12000,16000,18000,2024-04-29
Recurso,2QEK,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,2024-04-29
Recurso,2QRL,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,2024-04-29
Recurso,2QV2,0,0,0,0,0,6000,18000,14000,14000,10000,0,12000,10000,10000,10000,10000,10000,12000,18000,18000,18000,18000,18000,18000,2024-04-29
Recurso,2R22,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,2024-04-29
Recurso,2S6Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-29
Recurso,2S6S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-29
Recurso,2S6U,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,2024-04-29
Recurso,2S78,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,2024-04-29
Recurso,2S8I,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,2024-04-29
Recurso,2S8N,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2024-04-29
Recurso,2S8S,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,2024-04-29
Recurso,2S8U,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,2024-04-29
Recurso,2S9L,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,2024-04-29
Recurso,2SDR,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,14200,2024-04-29
Recurso,2SI1,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,2024-04-29
Recurso,2SS2,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,2024-04-29
Recurso,2SW1,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,2024-04-29
Recurso,2SXQ,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,2024-04-29
Recurso,2T1L,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,2024-04-29
Recurso,2T4P,11520,11520,11520,11520,11520,11520,11520,12000,12000,12000,12000,12000,11520,11520,11520,11520,11520,11520,11520,11520,11520,11520,12000,12000,2024-04-29
Recurso,2T7D,2560,2830,2740,2780,2810,2870,2950,2020,2460,2700,2700,2680,2670,2660,2660,2650,2640,2630,2620,2420,2810,2820,3030,3120,2024-04-29
Recurso,2TUT,14000,14000,14000,14000,12000,14000,14000,14000,14000,14000,14000,14000,14000,12000,10000,6000,10000,12000,12000,12000,12000,14000,14000,16000,2024-04-29
Recurso,2TUV,12000,12000,12000,12000,12000,14000,14000,12000,12000,14000,14000,14000,12000,12000,10000,6000,8000,12000,12000,12000,12000,12000,14000,16000,2024-04-29
Recurso,2TYI,0,0,0,0,0,0,0,0,0,0,2000,2000,1000,1000,0,0,0,0,0,0,0,0,0,0,2024-04-29
Recurso,2U1G,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,2024-04-29
