Id,Values_Name,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
RecursoComb,2S6Q,BIOGAS,,,,,,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,2024-04-29
RecursoComb,2S6S,CARBON,,,,,,,,,,,,,,,,,,,,0.0,,,,,2024-04-29
RecursoComb,2S8G,CARBON,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,2024-04-29
RecursoComb,2S8I,GAS,5e-05,5e-05,6e-05,6e-05,6e-05,5e-05,5e-05,5e-05,5e-05,2e-05,2e-05,3e-05,4e-05,4e-05,4e-05,3e-05,2e-05,3e-05,4e-05,4e-05,5e-05,5e-05,5e-05,4e-05,2024-04-29
RecursoComb,2S8S,BIOGAS,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2024-04-29
RecursoComb,2U5P,CARBON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2024-04-29
RecursoComb,2U8Y,GAS,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,2024-04-29
RecursoComb,2U91,GAS,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,2024-04-29
RecursoComb,2U93,GAS,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,2024-04-29
RecursoComb,2UP2,BAGAZO,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,2024-04-29
RecursoComb,2V25,CARBON,8e-05,9e-05,9e-05,9e-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,9e-05,0.0001,8e-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2024-04-29
RecursoComb,2V27,GAS,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29
RecursoComb,2WFN,GAS,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,2024-04-29
RecursoComb,2XXR,GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29
RecursoComb,2YB9,GAS,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,1e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2024-04-29
RecursoComb,2YWY,GAS,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29
RecursoComb,3ADA,BIOGAS,0.0,0.0,1e-05,1e-05,0.0,0.0,1e-05,1e-05,0.0,0.0,0.0,,,,,,,,,,,,,,2024-04-29
RecursoComb,3AL6,BIOGAS,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,2024-04-29
RecursoComb,3AXV,BAGAZO,0.00019,0.00012,,,,,,,0.00013,0.00041,8e-05,,7e-05,0.00022,0.00029,0.00025,0.00027,0.00035,0.00024,0.00017,0.00044,0.00028,0.00043,0.00029,2024-04-29
RecursoComb,3C4V,GAS,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2024-04-29
RecursoComb,3IJF,GAS,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,2024-04-29
RecursoComb,3JNR,GAS,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29
RecursoComb,CGM1,BAGAZO,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,0.01402,2024-04-29
