Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2S6Q,,,,,,0.0,3e-05,0.00027,2e-05,1e-05,1e-05,7e-05,8e-05,0.00016,0.0002,0.00031,0.00027,8e-05,0.00021,0.00039,0.0002,1e-05,1e-05,0.0,2024-04-29
Recurso,2S6S,,,,,,,,,,,,,,,,,,,,0.06393,,,,,2024-04-29
Recurso,2S8G,,,,3e-05,,,3e-05,0.00044,,4e-05,0.04478,0.02431,0.00505,,,,,,,,,,,,2024-04-29
Recurso,2S8I,2.67998,2.57557,3.34127,3.44569,3.13244,2.78439,2.854,2.8192,2.61037,1.35739,1.07895,1.77505,2.1231,2.19271,2.01869,1.53142,0.93973,1.80986,2.36674,2.29713,2.50596,2.67998,2.61037,2.47115,2024-04-29
Recurso,2S8S,0.0006,0.0006,0.0006,0.0006,0.0006,0.00061,0.00061,0.0006,0.0006,0.0006,0.0006,0.00051,0.0006,0.0006,0.0006,0.0006,0.00059,0.0006,0.0006,0.0004,0.0006,0.0006,0.0006,0.0006,2024-04-29
Recurso,2U5P,0.06644,0.06644,0.06644,0.06644,0.06627,0.06644,0.06627,0.06644,0.10278,0.06543,,,,,,,,,,,,,,,2024-04-29
Recurso,2U8Y,7.29664,7.29713,7.29721,7.2977,7.29762,7.29758,7.29785,7.3819,7.38874,7.38866,7.38748,7.38473,7.37929,7.36642,7.37473,7.38329,7.38454,7.38381,7.38556,7.38614,7.3874,7.38865,7.3911,7.39069,2024-04-29
Recurso,2U91,7.21492,7.21596,7.21666,7.2168,7.21626,7.21751,7.21929,7.25876,7.26044,7.2609,7.25862,7.25476,7.24952,7.23925,7.2445,7.25309,7.25462,7.25808,7.25477,7.25658,7.25857,7.25933,7.25982,7.26039,2024-04-29
Recurso,2U93,7.21762,7.21842,7.21881,7.22097,7.22689,7.22966,7.23085,7.27108,7.27535,7.27483,7.27273,7.26719,7.25706,7.24777,7.25229,7.26566,7.27012,7.23815,7.21833,7.21873,7.23712,7.26295,7.26636,7.26442,2024-04-29
Recurso,2UP2,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,0.9703,2024-04-29
Recurso,2V25,7.17449,7.94942,8.21095,8.31266,8.51931,8.52092,8.80506,8.81313,8.63393,8.75663,8.74371,8.83896,8.80183,8.39177,8.50478,7.21001,8.62263,8.70658,8.66622,8.66783,8.6081,8.65169,8.78569,8.81636,2024-04-29
Recurso,2V27,,,,,,,,,,,,,,,,,,0.00011,0.00028,0.00034,0.00593,0.00442,0.00129,0.00252,2024-04-29
Recurso,2WFN,2.93085,2.92187,2.91926,2.92973,2.91851,2.92749,2.92636,2.9129,2.91402,2.91215,2.91477,2.90392,2.92973,2.92973,2.91851,2.9316,2.92262,2.94544,2.91065,2.92374,2.91589,2.92487,2.92038,2.92412,2024-04-29
Recurso,2XXR,0.02767,0.02761,0.02778,0.02773,0.02789,0.02793,0.03017,0.03393,0.03391,0.03391,0.03383,0.03343,0.02926,0.02336,0.02733,0.02616,0.02682,0.0254,0.02421,0.024,0.02396,0.02522,0.02677,0.02695,2024-04-29
Recurso,2YB9,1.48832,1.48562,1.48294,1.48052,1.46997,1.48352,1.42008,0.92482,0.88332,0.84593,0.82977,0.85879,0.96657,0.9443,0.91247,0.95306,0.94473,0.95864,1.03894,1.47739,1.47386,1.46703,1.45258,1.4837,2024-04-29
Recurso,2YWY,,,,,,,,,,,,,,,,0.00582,0.0137,0.02369,0.0136,0.00391,0.00439,0.00692,0.01589,0.02073,2024-04-29
Recurso,3ADA,4e-05,0.00015,0.00029,0.00028,0.00017,0.00027,0.00039,0.00032,0.00018,7e-05,1e-05,,,,,,,,,,,,,,2024-04-29
Recurso,3AL6,,,,,,,,,,3e-05,3e-05,,,,,0.0,,,,,,,,,2024-04-29
Recurso,3AXV,0.01222,0.00767,,,,,,,0.00805,0.02569,0.00522,,0.00426,0.01398,0.01834,0.01564,0.01691,0.02197,0.01552,0.01072,0.02797,0.0179,0.02702,0.01846,2024-04-29
Recurso,3C4V,1.16945,1.17989,1.19033,1.20077,1.20599,1.19555,1.22687,1.24254,1.21121,1.20599,1.19555,1.1329,1.08069,1.08069,1.08591,1.08591,1.09636,1.12246,1.18511,1.18511,1.16423,1.15378,1.159,1.16945,2024-04-29
Recurso,3IJF,9e-05,6e-05,4e-05,,3e-05,1e-05,6e-05,5e-05,9e-05,0.0002,0.0001,3e-05,0.00011,0.0,2e-05,,,,,,,,,0.0,2024-04-29
Recurso,3JNR,,,,,,,,,,,,,,,0.00097,0.00048,0.00339,0.00436,0.01258,0.01403,0.00919,0.00968,0.01258,0.01307,2024-04-29
Recurso,CGM1,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,16.51769,2024-04-29
Recurso,CIP1,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,8.94925,2024-04-29
Recurso,CIS1,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,0.30995,2024-04-29
Recurso,GEC3,171.68286,171.6053,172.07348,171.6053,171.25393,170.66801,170.76519,170.86331,170.14095,169.43728,169.00835,169.02797,169.0476,168.63736,167.87575,167.8365,167.70006,167.95424,168.30561,168.83267,171.039,171.64361,170.76519,170.51195,2024-04-29
Recurso,IRG1,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,1.38397,2024-04-29
Recurso,PNC1,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,21.2353,2024-04-29
Recurso,PPA1,35.32833,35.60912,35.8748,35.86635,36.37323,36.444,35.66834,35.77602,35.74976,36.40527,36.29502,36.20661,35.68806,35.18764,35.64521,36.06273,35.18397,35.20478,35.12499,35.02146,35.17098,34.8711,34.97387,36.1292,2024-04-29
Recurso,PPA2,76.00515,76.81683,76.78008,76.19171,76.25964,75.81534,76.17202,76.51252,77.81852,78.08718,77.52937,77.38611,76.65673,76.45041,76.57735,73.52913,75.7015,75.23462,75.48405,75.15864,74.95759,75.59716,75.47029,75.69694,2024-04-29
Recurso,PPA3,70.58964,70.37022,70.02899,69.79849,70.30892,69.73839,70.3572,70.08356,69.80187,69.63383,69.72195,70.00062,69.94267,69.92765,70.08396,69.92857,69.90029,70.07372,70.13146,69.72414,69.66909,70.26581,70.09346,70.40923,2024-04-29
Recurso,PPA4,139.55165,139.76927,138.87981,139.71971,139.34593,139.96943,139.377,139.0764,138.83985,139.31319,139.06152,139.09211,138.83075,139.24044,138.93128,139.17961,139.27423,138.78341,139.00857,139.2767,139.33632,139.33286,138.97589,139.34515,2024-04-29
Recurso,PPN1,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,7.66354,2024-04-29
Recurso,RPL1,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,0.67381,2024-04-29
Recurso,TBQ3,37.46875,26.51774,26.25533,26.42947,26.47844,26.2898,26.2777,26.18883,26.29161,26.15799,26.31157,26.2765,26.36901,25.97842,26.09874,26.06307,26.13199,25.95665,25.85809,25.90949,10.75995,1.46803,,,2024-04-29
Recurso,TBST,222.40344,223.87428,225.82094,225.86124,225.96202,225.78,224.09905,225.69877,225.33594,225.37626,224.61337,224.89371,224.82164,225.09223,225.05192,224.97129,224.9151,226.0054,273.30947,300.4007,266.60402,219.90647,221.61551,223.87367,2024-04-29
Recurso,TCBE,,,,,,,6.18527,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,TCDT,236.72863,237.13921,236.66998,236.61132,236.84594,237.0219,236.61132,239.48538,237.19786,233.91322,236.49401,236.61132,235.96612,238.72287,234.85169,238.66422,232.1536,236.72863,233.38534,235.08631,235.37958,234.969,234.73438,235.14496,2024-04-29
Recurso,TEC1,74.05688,60.70717,56.69522,19.2562,,,,,,,,,,,,,,,,,,,,,2024-04-29
