Id,Values_Name,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
RecursoComb,2S6S,CARBON,,,,,,,,,,,,,,,,,,,,0.06362,,,,,2024-04-29
RecursoComb,2S8G,CARBON,,,,3e-05,,,3e-05,0.00044,,4e-05,0.04456,0.02419,0.00502,,,,,,,,,,,,2024-04-29
RecursoComb,2S8I,GAS,2.67736,2.57304,3.338,3.44232,3.12938,2.78167,2.85121,2.81644,2.60781,1.35606,1.0779,1.77331,2.12102,2.19056,2.01671,1.52992,0.93881,1.80808,2.36442,2.29488,2.5035,2.67736,2.60781,2.46873,2024-04-29
RecursoComb,2U5P,CARBON,0.06611,0.06611,0.06611,0.06611,0.06595,0.06611,0.06595,0.06611,0.10227,0.06511,,,,,,,,,,,,,,,2024-04-29
RecursoComb,2U8Y,GAS,7.28949,7.28998,7.29007,7.29055,7.29047,7.29043,7.29071,7.37468,7.38151,7.38143,7.38025,7.3775,7.37207,7.35921,7.36751,7.37606,7.37731,7.37658,7.37833,7.3789,7.38017,7.38142,7.38386,7.38345,2024-04-29
RecursoComb,2U91,GAS,7.20786,7.20889,7.20959,7.20974,7.20919,7.21045,7.21222,7.25166,7.25334,7.2538,7.25151,7.24766,7.24242,7.23216,7.23741,7.24599,7.24752,7.25098,7.24766,7.24948,7.25146,7.25222,7.25272,7.25328,2024-04-29
RecursoComb,2U93,GAS,7.21056,7.21135,7.21175,7.2139,7.21981,7.22258,7.22378,7.26396,7.26823,7.2677,7.26561,7.26007,7.24996,7.24068,7.24519,7.25855,7.26301,7.23107,7.21126,7.21167,7.23004,7.25584,7.25924,7.25731,2024-04-29
RecursoComb,2V25,CARBON,7.13913,7.91023,8.17048,8.27168,8.47731,8.47892,8.76166,8.76969,8.59137,8.71346,8.70061,8.79539,8.75844,8.3504,8.46285,7.17447,8.58013,8.66366,8.6235,8.62511,8.56567,8.60904,8.74238,8.7729,2024-04-29
RecursoComb,2V27,GAS,,,,,,,,,,,,,,,,,,0.00011,0.00028,0.00034,0.00593,0.00442,0.00129,0.00252,2024-04-29
RecursoComb,2WFN,GAS,2.92798,2.91901,2.9164,2.92686,2.91565,2.92462,2.9235,2.91004,2.91117,2.9093,2.91191,2.90108,2.92686,2.92686,2.91565,2.92873,2.91976,2.94256,2.9078,2.92088,2.91303,2.922,2.91752,2.92126,2024-04-29
RecursoComb,2XXR,GAS,0.02765,0.02759,0.02775,0.0277,0.02786,0.0279,0.03014,0.0339,0.03388,0.03388,0.0338,0.0334,0.02923,0.02334,0.0273,0.02613,0.02679,0.02538,0.02419,0.02397,0.02394,0.02519,0.02674,0.02692,2024-04-29
RecursoComb,2YB9,GAS,1.48687,1.48416,1.48149,1.47907,1.46853,1.48207,1.41869,0.92392,0.88245,0.84511,0.82896,0.85794,0.96562,0.94338,0.91158,0.95213,0.9438,0.9577,1.03792,1.47594,1.47242,1.4656,1.45115,1.48225,2024-04-29
RecursoComb,2YWY,GAS,,,,,,,,,,,,,,,,0.00582,0.01368,0.02367,0.01359,0.00391,0.00438,0.00691,0.01587,0.02071,2024-04-29
RecursoComb,3C4V,GAS,1.1683,1.17873,1.18916,1.19959,1.20481,1.19438,1.22567,1.24132,1.21003,1.20481,1.19438,1.13179,1.07964,1.07964,1.08485,1.08485,1.09528,1.12136,1.18395,1.18395,1.16309,1.15265,1.15787,1.1683,2024-04-29
RecursoComb,3IJF,GAS,9e-05,6e-05,4e-05,,3e-05,1e-05,6e-05,5e-05,9e-05,0.0002,0.0001,3e-05,0.00011,0.0,2e-05,,,,,,,,,0.0,2024-04-29
RecursoComb,3JNR,GAS,,,,,,,,,,,,,,,0.00097,0.00048,0.00338,0.00435,0.01257,0.01402,0.00919,0.00967,0.01257,0.01305,2024-04-29
RecursoComb,CGM1,CARBON,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,15.55171,2024-04-29
RecursoComb,CIP1,CARBON,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,7.44761,2024-04-29
RecursoComb,GEC3,CARBON,170.83658,170.7594,171.22527,170.7594,170.40976,169.82672,169.92343,170.02107,169.30227,168.60206,168.17525,168.19477,168.2143,167.80608,167.04823,167.00917,166.87341,167.12634,167.47597,168.00043,170.19589,170.79752,169.92343,169.67143,2024-04-29
RecursoComb,PNC1,CARBON,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,20.64817,2024-04-29
RecursoComb,PPA1,CARBON,35.15419,35.43359,35.69796,35.68955,36.19394,36.26435,35.49252,35.59967,35.57354,36.22582,36.11611,36.02814,35.51214,35.01419,35.4695,35.88496,35.01054,35.03125,34.95185,34.84883,34.99761,34.6992,34.80147,35.95111,2024-04-29
RecursoComb,PPA2,CARBON,75.63049,76.43818,76.40161,75.81614,75.88373,75.44162,75.79654,76.13537,77.43492,77.70226,77.1472,77.00464,76.27886,76.07356,76.19987,73.16668,75.32834,74.86376,75.11196,74.78816,74.5881,75.22451,75.09827,75.3238,2024-04-29
RecursoComb,PPA3,CARBON,70.24167,70.02334,69.68379,69.45443,69.96234,69.39462,70.01038,69.73809,69.45779,69.29058,69.37826,69.65556,69.5979,69.58295,69.7385,69.58387,69.55572,69.7283,69.78576,69.38045,69.32566,69.91944,69.74794,70.06216,2024-04-29
RecursoComb,PPA4,CARBON,138.86375,139.0803,138.19522,139.03098,138.65905,139.27947,138.68996,138.39085,138.15546,138.62646,138.37603,138.40647,138.14641,138.55407,138.24644,138.49355,138.58769,138.09929,138.32334,138.59015,138.64948,138.64604,138.29082,138.65827,2024-04-29
RecursoComb,PPN1,GAS,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,7.65604,2024-04-29
RecursoComb,TBQ3,GAS NI,37.43207,26.49178,26.22963,26.40359,26.45252,26.26406,26.25198,26.16319,26.26587,26.13238,26.28581,26.25077,26.34319,25.95298,26.07319,26.03755,26.10641,25.93124,25.83278,25.88413,10.74942,1.4666,,,2024-04-29
RecursoComb,TBST,GAS NI,222.18571,223.65511,225.59986,225.64012,225.7408,225.55895,223.87966,225.47781,225.11534,225.15561,224.39347,224.67354,224.60154,224.87186,224.83159,224.75104,224.6949,225.78414,273.0419,300.1066,266.34302,219.69118,221.39854,223.65449,2024-04-29
RecursoComb,TCBE,GAS,,,,,,,6.17921,,,,,,,,,,,,,,,,,,2024-04-29
RecursoComb,TCDT,GAS NI,236.49687,236.90705,236.43827,236.37968,236.61406,236.78985,236.37968,239.25092,236.96565,233.68422,236.26248,236.37968,235.73511,238.48916,234.62177,238.43057,231.92632,236.49687,233.15685,234.85616,235.14914,234.73897,234.50458,234.91476,2024-04-29
RecursoComb,TEC1,GAS,73.98438,60.64774,56.63971,19.23734,,,,,,,,,,,,,,,,,,,,,2024-04-29
