Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2QEK,34902.76,,,,,,,41.32,,,,,,,,,,,,,,,,,2024-04-29
Recurso,3IRX,,,,,,,4512.17,14479.57,19813.77,36590.91,45273.03,83785.53,89766.33,56781.82,17749.27,22123.7,16320.02,1356.01,,,,,,,2024-04-29
Recurso,CHBG,619.76,,,,,,,,,,,,,,,,,603.05,3140.55,2517.43,4436.11,4163.41,,,2024-04-29
Recurso,CHVR,,,,,,,133.73,10036.61,20360.71,5430.7,,,,,,,,,,,,,,,2024-04-29
Recurso,CLL1,,,1095.1,2630.65,7829.18,,1060.03,650.88,2561.97,6627.3,454.06,702.11,,,,22080.48,22122.91,,,,,,,,2024-04-29
Recurso,DVS1,78403.19,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,EPFV,,,,,,354.8,2362.89,13806.49,39611.18,14084.49,10750.95,14903.35,9573.91,1995.42,,,,,,,,,,,2024-04-29
Recurso,ESMR,1031.62,962.07,952.94,954.59,962.08,950.88,86.6,,,1072.05,1070.54,1072.84,1928.1,1947.55,1948.74,1939.78,1937.76,1941.46,110.14,49.97,51.95,1914.96,1924.17,1377.21,2024-04-29
Recurso,GEC3,24381.02,54611.92,69260.79,89526.83,159574.8,159147.63,159093.44,159123.96,158930.42,158971.75,158663.13,158685.75,158790.56,158721.24,158584.13,158842.24,158795.46,158640.98,159077.46,158709.68,159078.48,160306.28,159878.39,160114.56,2024-04-29
Recurso,GTRG,,,,,,,,,,,950.0,690.0,,,,,,,,,,,,,2024-04-29
Recurso,GVIO,,,,,,,1514.38,60285.13,,,,,,,,,,,,,,,,,2024-04-29
