Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2QBW,14000.0,16000.0,18000.0,19900.0,19900.0,19900.0,19900.0,18000.0,19900.0,19900.0,19900.0,19900.0,19900.0,19900.0,19900.0,19900.0,18000.0,18000.0,16000.0,16000.0,16000.0,12000.0,16000.0,18000.0,2024-04-29
Recurso,2QEK,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,2024-04-29
Recurso,2QRL,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,2024-04-29
Recurso,2QV2,,,,,,6000.0,18000.0,14000.0,14000.0,10000.0,,12000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2024-04-29
Recurso,2R22,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2024-04-29
Recurso,2S6U,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,2024-04-29
Recurso,2S78,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,2024-04-29
Recurso,2S8I,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,2024-04-29
Recurso,2S8N,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2024-04-29
Recurso,2S8S,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,2024-04-29
Recurso,2S8U,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,2024-04-29
Recurso,2S9L,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,2024-04-29
Recurso,2SDR,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,2024-04-29
Recurso,2SI1,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,2024-04-29
Recurso,2SS2,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,2024-04-29
Recurso,2SW1,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,2024-04-29
Recurso,2SXQ,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,2024-04-29
Recurso,2T1L,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,2024-04-29
Recurso,2T4P,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,12000.0,12000.0,12000.0,12000.0,12000.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,11520.0,12000.0,12000.0,2024-04-29
Recurso,2T7D,2560.0,2830.0,2740.0,2780.0,2810.0,2870.0,2950.0,2020.0,2460.0,2700.0,2700.0,2680.0,2670.0,2660.0,2660.0,2650.0,2640.0,2630.0,2620.0,2420.0,2810.0,2820.0,3030.0,3120.0,2024-04-29
Recurso,2TUT,14000.0,14000.0,14000.0,14000.0,12000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,12000.0,10000.0,6000.0,10000.0,12000.0,12000.0,12000.0,12000.0,14000.0,14000.0,16000.0,2024-04-29
Recurso,2TUV,12000.0,12000.0,12000.0,12000.0,12000.0,14000.0,14000.0,12000.0,12000.0,14000.0,14000.0,14000.0,12000.0,12000.0,10000.0,6000.0,8000.0,12000.0,12000.0,12000.0,12000.0,12000.0,14000.0,16000.0,2024-04-29
Recurso,2TYI,,,,,,,,,,,2000.0,2000.0,1000.0,1000.0,,,,,,,,,,,2024-04-29
Recurso,2U1G,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,2024-04-29
