Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2QEK,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,2024-04-29
Recurso,ALBG,55155.0,64231.0,134594.0,138356.0,100971.0,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,CHBG,,,,,,,,,,,,,,45705.58,55949.84,,,,,,,,237824.58,267712.53,2024-04-29
Recurso,CHVR,,,,,,,133.73,10000.0,20000.0,5430.7,,,,,,,,,,,,,,,2024-04-29
Recurso,CLL1,35166.01,32698.36,31095.1,30630.65,31829.18,32080.22,36060.03,35650.88,32561.97,36627.3,38454.06,38702.11,37369.95,38697.01,52456.58,60080.48,60122.91,60204.01,60233.71,60802.22,61150.56,61182.46,61247.55,61204.56,2024-04-29
Recurso,CLMG,,,,,,,,,,,,,,,,,,,34693.14,82617.85,17888.46,,,,2024-04-29
Recurso,CUC1,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,2024-04-29
Recurso,DVS1,78403.19,78383.11,78350.33,78359.15,78371.54,78333.1,78366.22,78371.53,78325.83,78362.57,78341.57,78357.92,78056.71,77656.33,77662.53,77655.22,77652.5,77679.79,77709.03,77671.61,77666.82,77641.8,77663.55,77741.8,2024-04-29
Recurso,ESMR,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,2024-04-29
Recurso,GEC3,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,2024-04-29
Recurso,GTPE,,,8832.0,50664.0,66240.0,140972.0,267238.0,371392.0,208788.0,89330.0,,,,,,,,,,,,,,,2024-04-29
Recurso,GVIO,,,,,,,1514.38,60000.0,60670.99,60000.0,60000.0,120000.0,120000.0,60000.0,60000.0,60000.0,60000.0,61833.99,120000.0,120000.0,120000.0,29469.31,,,2024-04-29
Recurso,HMIN,,,,,,,,,,,,,,,8388.88,7253.03,6270.55,5531.97,5552.87,5199.69,4419.11,3704.41,7237.32,6834.68,2024-04-29
Recurso,HMLG,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,,,,,,,,,,,,,,,,,2024-04-29
Recurso,LTSJ,,,,,,5500.01,20973.33,46383.33,190226.63,302866.61,53303.27,,,,,,,,,,,,,,2024-04-29
Recurso,MOY1,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,62876.75,61548.64,60399.01,59381.18,60022.7,63154.5,79544.51,80322.91,80302.65,80423.04,2024-04-29
Recurso,PLYS,,,,,,,,,,,,,,,,,,,,,,,,66890.0,2024-04-29
Recurso,PPA1,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,2024-04-29
Recurso,PPA2,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,64000.0,2024-04-29
Recurso,PPA3,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,62000.0,2024-04-29
Recurso,PPA4,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,164000.0,2024-04-29
Recurso,PRC2,,,,,,,,,,,79396.0,230528.0,229428.0,47256.0,,,,,,,,,,74328.0,2024-04-29
Recurso,PRDO,,,,,,,,,,,,,,,,,,,4698.21,45583.64,13503.14,,,,2024-04-29
Recurso,QUI1,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,,,,70000.0,70000.0,70000.0,2024-04-29
Recurso,SLVJ,,45000.0,9.95,,45000.0,45000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,45000.0,45000.0,173.33,2024-04-29
