Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,CHBG,,1.0,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,CHVR,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,2024-04-29
Recurso,CLMG,,,,,,1.0,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,GVIO,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,2024-04-29
Recurso,HMLG,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,2024-04-29
Recurso,LTSJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,PLYS,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,2024-04-29
Recurso,QUI1,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,2024-04-29
Recurso,SNCR,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,SOG1,,,,,,,,,,,,,,,,,,,,1.0,,,,,2024-04-29
Recurso,CHVR,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2024-04-30
Recurso,CLMG,,,,,,,,,,,,,,,,,,,,1.0,,,,,2024-04-30
Recurso,GVIO,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,HMLG,,1.0,,,,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,PPA4,,,,,,,,,,,,,,,,,,,1.0,,,,,,2024-04-30
Recurso,PRC2,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,2024-04-30
Recurso,PRC3,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,2024-04-30
Recurso,QUI1,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,2024-04-30
Recurso,SNCR,1.0,,,,,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,SOG1,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,2024-04-30
