Id,Code,Value,Date
Recurso,2ZP9,470.92743,2024-04-29
Recurso,3ACC,435.92576,2024-04-29
Recurso,3B4L,320.84062,2024-04-29
Recurso,3EBN,521.93103,2024-04-29
Recurso,3EDL,503.62049,2024-04-29
Recurso,3EFY,510.62049,2024-04-29
Recurso,3EV1,303.53103,2024-04-29
Recurso,3EV3,308.26897,2024-04-29
Recurso,3IRX,401.86028,2024-04-29
Recurso,3J2B,250.31241,2024-04-29
Recurso,3J4D,512.31714,2024-04-29
Recurso,3J4T,490.72345,2024-04-29
Recurso,3J4V,392.57529,2024-04-29
Recurso,3K6T,299.4,2024-04-29
Recurso,EPFV,571.54771,2024-04-29
Recurso,TR2G,465.3331,2024-04-29
Recurso,TR3G,472.17925,2024-04-29
Recurso,2ZP9,584.23299,2024-04-30
Recurso,3ACC,456.69285,2024-04-30
Recurso,3B4L,356.14517,2024-04-30
Recurso,3EBN,483.76552,2024-04-30
Recurso,3EDL,695.11336,2024-04-30
Recurso,3EFY,702.11421,2024-04-30
Recurso,3EV1,541.33793,2024-04-30
Recurso,3EV3,536.06207,2024-04-30
Recurso,3IRX,504.29166,2024-04-30
Recurso,3J2B,218.96869,2024-04-30
Recurso,3J4D,610.62193,2024-04-30
Recurso,3J4T,534.87448,2024-04-30
Recurso,3J4V,544.12499,2024-04-30
Recurso,3K6T,277.6931,2024-04-30
Recurso,EPFV,531.76318,2024-04-30
Recurso,TR2G,576.5286,2024-04-30
Recurso,TR3G,545.44263,2024-04-30
Recurso,2ZP9,438.14017,2024-05-01
Recurso,3ACC,470.86961,2024-05-01
Recurso,3B4L,420.24724,2024-05-01
Recurso,3EBN,587.99306,2024-05-01
Recurso,3EDL,497.17526,2024-05-01
Recurso,3EFY,504.17526,2024-05-01
Recurso,3EV1,175.95139,2024-05-01
Recurso,3EV3,176.16667,2024-05-01
Recurso,3IRX,303.99048,2024-05-01
Recurso,3J2B,243.75759,2024-05-01
Recurso,3J4D,523.792,2024-05-01
Recurso,3J4T,327.00417,2024-05-01
Recurso,3J4V,494.70553,2024-05-01
Recurso,3K6T,425.13681,2024-05-01
Recurso,EPFV,554.45377,2024-05-01
Recurso,TR2G,452.9277,2024-05-01
Recurso,TR3G,455.49488,2024-05-01
Recurso,2ZP9,360.36172,2024-05-02
Recurso,3ACC,438.28278,2024-05-02
Recurso,3B4L,328.89255,2024-05-02
Recurso,3EBN,430.23448,2024-05-02
Recurso,3EDL,417.11449,2024-05-02
Recurso,3EFY,424.11449,2024-05-02
Recurso,3EV1,451.54483,2024-05-02
Recurso,3EV3,447.11724,2024-05-02
Recurso,3IRX,271.70607,2024-05-02
Recurso,3J2B,159.79274,2024-05-02
Recurso,3J4D,477.0799,2024-05-02
Recurso,3J4T,448.30483,2024-05-02
Recurso,3J4V,386.50117,2024-05-02
Recurso,3K6T,309.39724,2024-05-02
Recurso,EPFV,420.72321,2024-05-02
Recurso,TR2G,361.60262,2024-05-02
Recurso,TR3G,344.02693,2024-05-02
Recurso,2ZP9,321.99828,2024-05-03
Recurso,3ACC,362.95187,2024-05-03
Recurso,3B4L,312.27614,2024-05-03
Recurso,3EBN,325.22222,2024-05-03
Recurso,3EDL,441.14887,2024-05-03
Recurso,3EFY,448.14887,2024-05-03
Recurso,3EV1,397.63889,2024-05-03
Recurso,3EV3,384.56944,2024-05-03
Recurso,3IRX,484.53952,2024-05-03
Recurso,3J2B,183.18866,2024-05-03
Recurso,3J4D,460.18047,2024-05-03
Recurso,3J4R,427.39196,2024-05-03
Recurso,3J4T,327.10556,2024-05-03
Recurso,3J4V,452.61526,2024-05-03
Recurso,3K6T,400.40903,2024-05-03
Recurso,EPFV,369.12013,2024-05-03
Recurso,TR2G,338.82167,2024-05-03
Recurso,TR3G,354.95718,2024-05-03
Recurso,2ZP9,233.38849,2024-05-04
Recurso,3ACC,373.54213,2024-05-04
Recurso,3B4L,56.10138,2024-05-04
Recurso,3EBN,257.62069,2024-05-04
Recurso,3EDL,210.43445,2024-05-04
Recurso,3EFY,217.43445,2024-05-04
Recurso,3EV1,175.91034,2024-05-04
Recurso,3EV3,177.25517,2024-05-04
Recurso,3IRX,168.93372,2024-05-04
Recurso,3J2B,110.51175,2024-05-04
Recurso,3J4D,381.55001,2024-05-04
Recurso,3J4R,341.65724,2024-05-04
Recurso,3J4T,338.16414,2024-05-04
Recurso,3J4V,314.66123,2024-05-04
Recurso,3K6T,227.63379,2024-05-04
Recurso,EPFV,307.49979,2024-05-04
Recurso,TR2G,248.81251,2024-05-04
Recurso,TR3G,250.20194,2024-05-04
Recurso,2ZP9,299.35151,2024-05-05
Recurso,3ACC,423.58634,2024-05-05
Recurso,3B4L,293.74103,2024-05-05
Recurso,3EBN,432.15714,2024-05-05
Recurso,3EDL,248.33013,2024-05-05
Recurso,3EFY,255.33013,2024-05-05
Recurso,3EV1,554.86429,2024-05-05
Recurso,3EV3,539.22143,2024-05-05
Recurso,3IRX,456.06455,2024-05-05
Recurso,3J2B,266.36297,2024-05-05
Recurso,3J4D,622.61519,2024-05-05
Recurso,3J4R,450.14604,2024-05-05
Recurso,3J4T,424.8223,2024-05-05
Recurso,3J4V,398.94259,2024-05-05
Recurso,3K6T,539.59007,2024-05-05
Recurso,EPFV,496.08033,2024-05-05
Recurso,TR2G,274.80376,2024-05-05
Recurso,TR3G,269.24086,2024-05-05
