Id,Code,Value,Date
Recurso,2ZP9,512.41423,2024-04-29
Recurso,3ACC,429.80929,2024-04-29
Recurso,3B4L,322.58531,2024-04-29
Recurso,3EBN,603.9,2024-04-29
Recurso,3EDL,458.62309,2024-04-29
Recurso,3EFY,520.43324,2024-04-29
Recurso,3EV1,297.47586,2024-04-29
Recurso,3IRX,407.15234,2024-04-29
Recurso,3J2B,250.91405,2024-04-29
Recurso,3J4D,649.82025,2024-04-29
Recurso,3J4T,567.43172,2024-04-29
Recurso,3J4V,471.23579,2024-04-29
Recurso,3K6T,295.3,2024-04-29
Recurso,EPFV,633.85366,2024-04-29
Recurso,TR2G,497.4955,2024-04-29
Recurso,TR3G,528.93878,2024-04-29
Recurso,2ZP9,711.63798,2024-04-30
Recurso,3ACC,445.15172,2024-04-30
Recurso,3B4L,358.86759,2024-04-30
Recurso,3EBN,627.09655,2024-04-30
Recurso,3EDL,569.86918,2024-04-30
Recurso,3EFY,706.53529,2024-04-30
Recurso,3EV1,517.28966,2024-04-30
Recurso,3IRX,513.23393,2024-04-30
Recurso,3J2B,217.39851,2024-04-30
Recurso,3J4D,783.48653,2024-04-30
Recurso,3J4T,628.89379,2024-04-30
Recurso,3J4V,671.38689,2024-04-30
Recurso,3K6T,271.78138,2024-04-30
Recurso,EPFV,646.06968,2024-04-30
Recurso,TR2G,703.69071,2024-04-30
Recurso,TR3G,700.47186,2024-04-30
Recurso,2ZP9,463.90031,2024-05-01
Recurso,3ACC,459.04839,2024-05-01
Recurso,3B4L,422.72897,2024-05-01
Recurso,3EBN,733.72569,2024-05-01
Recurso,3EDL,453.2859,2024-05-01
Recurso,3EFY,524.46317,2024-05-01
Recurso,3EV1,172.90972,2024-05-01
Recurso,3IRX,309.02545,2024-05-01
Recurso,3J2B,240.53362,2024-05-01
Recurso,3J4D,636.7808,2024-05-01
Recurso,3J4T,437.92153,2024-05-01
Recurso,3J4V,575.75584,2024-05-01
Recurso,3K6T,406.68403,2024-05-01
Recurso,EPFV,711.0929,2024-05-01
Recurso,TR2G,474.26138,2024-05-01
Recurso,TR3G,482.80496,2024-05-01
Recurso,2ZP9,432.87445,2024-05-02
Recurso,3ACC,427.36457,2024-05-02
Recurso,3B4L,330.83014,2024-05-02
Recurso,3EBN,497.47586,2024-05-02
Recurso,3EDL,363.2365,2024-05-02
Recurso,3EFY,458.29438,2024-05-02
Recurso,3EV1,433.45517,2024-05-02
Recurso,3IRX,274.22366,2024-05-02
Recurso,3J2B,157.97045,2024-05-02
Recurso,3J4D,588.43952,2024-05-02
Recurso,3J4T,523.72069,2024-05-02
Recurso,3J4V,463.6741,2024-05-02
Recurso,3K6T,298.85655,2024-05-02
Recurso,EPFV,453.88318,2024-05-02
Recurso,TR2G,420.78173,2024-05-02
Recurso,TR3G,407.37118,2024-05-02
Recurso,2ZP9,389.15884,2024-05-03
Recurso,3ACC,357.43222,2024-05-03
Recurso,3B4L,314.28517,2024-05-03
Recurso,3EBN,374.34722,2024-05-03
Recurso,3EDL,378.95046,2024-05-03
Recurso,3EFY,401.28168,2024-05-03
Recurso,3EV1,374.34722,2024-05-03
Recurso,3IRX,494.51241,2024-05-03
Recurso,3J2B,181.89078,2024-05-03
Recurso,3J4D,488.48502,2024-05-03
Recurso,3J4R,435.16786,2024-05-03
Recurso,3J4T,359.46944,2024-05-03
Recurso,3J4V,511.79166,2024-05-03
Recurso,3K6T,379.72847,2024-05-03
Recurso,EPFV,393.83119,2024-05-03
Recurso,TR2G,401.0558,2024-05-03
Recurso,TR3G,397.90227,2024-05-03
Recurso,2ZP9,219.83015,2024-05-04
Recurso,3ACC,369.27786,2024-05-04
Recurso,3B4L,89.91626,2024-05-04
Recurso,3EBN,251.55172,2024-05-04
Recurso,3EDL,227.37171,2024-05-04
Recurso,3EFY,204.76398,2024-05-04
Recurso,3EV1,174.17931,2024-05-04
Recurso,3IRX,171.62731,2024-05-04
Recurso,3J2B,110.35974,2024-05-04
Recurso,3J4D,375.24054,2024-05-04
Recurso,3J4R,361.24828,2024-05-04
Recurso,3J4T,351.04276,2024-05-04
Recurso,3J4V,328.4445,2024-05-04
Recurso,3K6T,222.64276,2024-05-04
Recurso,EPFV,300.31311,2024-05-04
Recurso,TR2G,238.16095,2024-05-04
Recurso,TR3G,245.36124,2024-05-04
Recurso,2ZP9,290.3376,2024-05-05
Recurso,3ACC,414.9367,2024-05-05
Recurso,3B4L,295.89752,2024-05-05
Recurso,3EBN,526.28214,2024-05-05
Recurso,3EDL,260.01387,2024-05-05
Recurso,3EV1,533.44286,2024-05-05
Recurso,3IRX,462.35876,2024-05-05
Recurso,3J2B,257.00267,2024-05-05
Recurso,3J4D,676.9921,2024-05-05
Recurso,3J4R,503.47266,2024-05-05
Recurso,3J4T,498.9,2024-05-05
Recurso,3J4V,485.30286,2024-05-05
Recurso,3K6T,506.70851,2024-05-05
Recurso,EPFV,623.97289,2024-05-05
Recurso,TR2G,258.52748,2024-05-05
Recurso,TR3G,259.82037,2024-05-05
