Id,Values_Code,Values_Name,Values_Activity,Values_OperStartdate,Values_State,Date
Sistema,CPSG,EL CAMPANO SOLAR S.A.S. E.S.P.,GENERACIÓN,2024-04-30,OPERACION,2024-05-06
Sistema,SHAG,OPERADORA SHANGRI-LA S.A.S E.S.P,GENERACIÓN,2024-04-30,OPERACION,2024-05-06
Sistema,CSMG,SOLAR VILLAVIEJA S.A.S. E.S.P.,GENERACIÓN,2024-04-29,OPERACION,2024-05-06
Sistema,FYRG,FOTOVOLTAICO EL YARUMO SAS ESP,GENERACIÓN,2024-04-29,OPERACION,2024-05-06
Sistema,GWOC,GREENWOOD ENERGY S.A.S. E.S.P,COMERCIALIZACIÓN,2024-04-24,OPERACION,2024-05-06
Sistema,TAMG,TAMARINO COLOMBIA S.A.S. E.S.P.,GENERACIÓN,2024-04-24,OPERACION,2024-05-06
Sistema,DRUG,DRUMMOND POWER S.A.S. E.S.P.,GENERACIÓN,2024-04-09,OPERACION,2024-05-06
Sistema,ELIG,ENERGIA LIMPIA Y EFICIENTE S.A.S ESP,GENERACIÓN,2024-04-08,OPERACION,2024-05-06
Sistema,GBUG,GENERADORA BUENAVISTA S.A.S E.S.P,GENERACIÓN,2024-03-19,OPERACION,2024-05-06
Sistema,DUCC,DUCK ENERGY S.A.S. ESP,COMERCIALIZACIÓN,2024-03-18,OPERACION,2024-05-06
Sistema,ESSC,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,COMERCIALIZACIÓN,2024-02-13,OPERACION,2024-05-06
Sistema,ENZT,ENLAZA GRUPO ENERGIA BOGOTA SAS ESP,TRANSPORTE,2024-01-18,OPERACION,2024-05-06
Sistema,GSAC,GENERSA S.A.S. E.S.P.,COMERCIALIZACIÓN,2024-01-12,OPERACION,2024-05-06
Sistema,TCIG,TERMOCANDELARIA S.A.S. - E.S.P.,GENERACIÓN,2024-01-12,OPERACION,2024-05-06
Sistema,COXG,COX ENERGY COMERCIALIZADORA SAS ESP,GENERACIÓN,2023-12-21,OPERACION,2024-05-06
Sistema,XAFG,ABO WIND RENOVABLES PROYECTO DIECISIETE S.A.S. E.S.P,GENERACIÓN,2023-12-18,OPERACION,2024-05-06
Sistema,CSSG,AIR- E S.A.S. E.S.P.,GENERACIÓN,2023-12-13,OPERACION,2024-05-06
Sistema,XFRG,ABO WIND RENOVABLES PROYECTO DIECISEIS S.A.S. ESP,GENERACIÓN,2023-12-13,OPERACION,2024-05-06
Sistema,XFRC,ABO WIND RENOVABLES PROYECTO DIECISEIS S.A.S. ESP,COMERCIALIZACIÓN,2023-12-13,OPERACION,2024-05-06
Sistema,XAFC,ABO WIND RENOVABLES PROYECTO DIECISIETE S.A.S. E.S.P,COMERCIALIZACIÓN,2023-12-13,OPERACION,2024-05-06
Sistema,CEOG,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,GENERACIÓN,2023-10-25,OPERACION,2024-05-06
Sistema,BIAC,BIA ENERGY S.A.S. E.S.P,COMERCIALIZACIÓN,2023-10-19,OPERACION,2024-05-06
Sistema,EGRG,4E GROUP S.A.S E.S.P.,GENERACIÓN,2023-10-19,OPERACION,2024-05-06
