Id,Values_Code,Values_Name,Values_HydroRegion,Values_Status,Date
Sistema,AGREGADO,AGREGADO BOGOTA,CENTRO,ACTIVO,2024-05-06
Sistema,ALTOANCH,ALTOANCHICAYA,VALLE,ACTIVO,2024-05-06
Sistema,BETANIA,BETANIA,CENTRO,ACTIVO,2024-05-06
Sistema,CALIMA1,CALIMA1,VALLE,ACTIVO,2024-05-06
Sistema,CHUZA,CHUZA,ORIENTE,ACTIVO,2024-05-06
Sistema,ELQUIMBO,EL QUIMBO,CENTRO,ACTIVO,2024-05-06
Sistema,ESMERALD,ESMERALDA,ORIENTE,ACTIVO,2024-05-06
Sistema,FLORIDA2,FLORIDA II,RIOS ESTIMADOS,ACTIVO,2024-05-06
Sistema,GUAVIO,GUAVIO,ORIENTE,ACTIVO,2024-05-06
Sistema,GUAVIO,GUAVIO,ORIENTE,ACTIVO,2024-05-06
Sistema,ITUANGO,ITUANGO,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,ITUANGO,ITUANGO,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,MIEL1,AMANI,CALDAS,ACTIVO,2024-05-06
Sistema,MIRAFLOR,MIRAFLORES,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,MUNA,MUNA,CENTRO,ACTIVO,2024-05-06
Sistema,PENOL,PENOL,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,PLAYAS,PLAYAS,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,PORCE2,PORCE II,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,PORCE3,PORCE III,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,PRADO,PRADO,CENTRO,ACTIVO,2024-05-06
Sistema,PRADO,PRADO,CENTRO,ACTIVO,2024-05-06
Sistema,PUNCHINA,PUNCHINA,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,RIOGRAN2,RIOGRANDE2,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,SALVAJIN,SALVAJINA,VALLE,ACTIVO,2024-05-06
Sistema,SALVAJIN,SALVAJINA,VALLE,ACTIVO,2024-05-06
Sistema,SANLOREN,SAN LORENZO,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,SOGAMOSO,TOPOCORO,CENTRO,ACTIVO,2024-05-06
Sistema,TRONERAS,TRONERAS,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,URRA1,URRA1,CARIBE,ACTIVO,2024-05-06
