Id,Values_code1,Values_code2,Values_Value,Date
Agente,AAGG,3C3Z,LA SIERPE 1,2024-05-06
Agente,AAGG,3HBN,TIERRA LINDA 1,2024-05-06
Agente,AAGG,3HBP,LA TOLUA 1,2024-05-06
Agente,AAGG,3J1J,PARQUE SOLAR HONDA I 1,2024-05-06
Agente,ABAG,2UX3,AURES BAJO 1,2024-05-06
Agente,ABAG,2UX3,AURES BAJO 2,2024-05-06
Agente,ADCG,AFR1,AGUA FRESCA 1,2024-05-06
Agente,BCCG,3J2H,PETALO DE CORDOBA II 1,2024-05-06
Agente,BDJG,2S8S,DOÑA JUANA,2024-05-06
Agente,CALG,BYN1,BAYONA 1,2024-05-06
Agente,CALG,UNN1,UNION 1,2024-05-06
Agente,CCGG,PTC1,PATICO - LA CABRERA 1,2024-05-06
Agente,CDNG,RBB1,RIO BOBO 1,2024-05-06
Agente,CDNG,RMYO,RIOMAYO 1,2024-05-06
Agente,CDNG,RMYO,RIOMAYO 2,2024-05-06
Agente,CDNG,RMYO,RIOMAYO 3,2024-05-06
Agente,CDNG,SPY1,RIO SAPUYES 1,2024-05-06
Agente,CETG,RFR1,RIO FRIO I 1,2024-05-06
Agente,CETG,RFR2,RIO FRIO II 1,2024-05-06
Agente,CETG,RFR2,RIO FRIO II 2,2024-05-06
Agente,CETG,RMR1,RUMOR 1,2024-05-06
Agente,CHVG,CHVR,CHIVOR 1,2024-05-06
Agente,CHVG,CHVR,CHIVOR 2,2024-05-06
Agente,CHVG,CHVR,CHIVOR 3,2024-05-06
Agente,CHVG,CHVR,CHIVOR 4,2024-05-06
Agente,CHVG,CHVR,CHIVOR 5,2024-05-06
Agente,CHVG,CHVR,CHIVOR 6,2024-05-06
Agente,CHVG,CHVR,CHIVOR 7,2024-05-06
Agente,CHVG,CHVR,CHIVOR 8,2024-05-06
Agente,CHZG,3E9I,ZEUS 1,2024-05-06
Agente,CHZG,3E9I,ZEUS 2,2024-05-06
Agente,CIEG,PMR1,REMEDIOS 1,2024-05-06
Agente,CMXG,SUV1,SUEVA 2 1,2024-05-06
Agente,DEPG,2V27,AUTOG COCA-COLA FEMSA,2024-05-06
Agente,DEPG,3C3X,AUTOG INGENIO MARIA LUISA,2024-05-06
Agente,DEPG,3GJU,AUTOG INGENIO CARMELITA 1,2024-05-06
Agente,DEPG,3HYG,URUACO 1,2024-05-06
Agente,DEPG,3IJF,AUTOG COSTAYACO 1,2024-05-06
Agente,DEPG,PLU1,URRAO 1,2024-05-06
Agente,DRUG,3KL4,POWER PLANT DRUMMOND 1,2024-05-06
Agente,EBSG,3DSO,HELIOS I 1,2024-05-06
Agente,EEPG,3B4L,GRANJA SOLAR BELMONTE 1,2024-05-06
Agente,EEPG,BLM1,BELMONTE 1,2024-05-06
Agente,EEPG,IRG1,INGENIO RISARALDA 1,2024-05-06
Agente,EEPG,LBR1,NUEVO LIBARE 1,2024-05-06
Agente,EGRG,3A44,PLANTA SOLAR BAYUNCA I 1,2024-05-06
Agente,EMEG,3AXV,AGPE INGENIO DE OCCIDENTE,2024-05-06
Agente,EMEG,CCN1,COCONUCO 1,2024-05-06
Agente,EMEG,PIC1,INGENIO PICHICHI 1,2024-05-06
Agente,EMSG,2S6Q,AUTOG YAGUARITO,2024-05-06
Agente,EMUG,URA1,URRA 1,2024-05-06
Agente,EMUG,URA1,URRA 2,2024-05-06
Agente,EMUG,URA1,URRA 3,2024-05-06
Agente,EMUG,URA1,URRA 4,2024-05-06
