Id,Values_Code,Values_Name,Values_HydroRegion,Values_Status,Date
Sistema,ALICBOGO,BOGOTA N.R.,CENTRO,ACTIVO,2024-05-06
Sistema,ALTOANCH,ALTOANCHICAYA,VALLE,ACTIVO,2024-05-06
Sistema,AMOYAMOY,AMOYA,CENTRO,ACTIVO,2024-05-06
Sistema,BAJOANCH,DIGUA,VALLE,ACTIVO,2024-05-06
Sistema,BETAMAG1,BETANIA CP,CENTRO,ACTIVO,2024-05-06
Sistema,BOCATENC,CONCEPCION,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,CAL1CALM,CALIMA,VALLE,ACTIVO,2024-05-06
Sistema,CAMECAMP,CAMPOALEGRE,CALDAS,ACTIVO,2024-05-06
Sistema,CAMECHIN,CHINCHINA,CALDAS,ACTIVO,2024-05-06
Sistema,CLLRPORC,CARLOS LLERAS,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,CUCUCUCU,CUCUANA,CENTRO,ACTIVO,2024-05-06
Sistema,DESVBATA,DESV. BATATAS,ORIENTE,ACTIVO,2024-05-06
Sistema,DESVCHIV,DESV. CHIVOR,ORIENTE,ACTIVO,2024-05-06
Sistema,DESVGUAR,DESV. GUARINO,CALDAS,ACTIVO,2024-05-06
Sistema,DESVIEPM,"DESV. EEPPM (NEC,PAJ,DOL)",ANTIOQUIA,ACTIVO,2024-05-06
Sistema,DESVMANS,DESV. MANSO,CALDAS,ACTIVO,2024-05-06
Sistema,DESVRBLA,BLANCO,ORIENTE,ACTIVO,2024-05-06
Sistema,DESVSMAR,DESV. SAN MARCOS,CENTRO,ACTIVO,2024-05-06
Sistema,EMBACHUZ,CHUZA,ORIENTE,ACTIVO,2024-05-06
Sistema,EMBAPRAD,PRADO,CENTRO,ACTIVO,2024-05-06
Sistema,ESCMNEGR,ESCUELA DE MINAS,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,ESMEBATA,BATA,ORIENTE,ACTIVO,2024-05-06
Sistema,ESMECAMP,SAN EUGENIO,CALDAS,ACTIVO,2024-05-06
Sistema,ESTRELLA,ESTRELLA,CALDAS,ACTIVO,2024-05-06
Sistema,FLR2CAUC,FLORIDA II,VALLE,ACTIVO,2024-05-06
Sistema,GUAVGUAV,GUAVIO,ORIENTE,ACTIVO,2024-05-06
Sistema,ITUACAUC,ITUANGO,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,MIRFTENC,TENCHE,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,OTRSRIOS,OTROS RIOS (ESTIMADOS),RIOS ESTIMADOS,ACTIVO,2024-05-06
Sistema,PENONARE,NARE CP,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,PLAYGUAT,GUATAPE,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,PP-2POR1,PORCE2 CP,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,PP-3PORC,PORCE III,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,PTEHMIEL,MIEL I,CALDAS,ACTIVO,2024-05-06
Sistema,PUNCGUAT,SAN CARLOS,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,QUBRRGRD,QUEBRADONA,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,QUIMMAGD,EL QUIMBO,CENTRO,ACTIVO,2024-05-06
Sistema,RGR2RGRD,GRANDE,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,SALVCAUC,CAUCA SALVAJINA,VALLE,ACTIVO,2024-05-06
Sistema,SANFRANC,SAN FRANCISCO,CALDAS,ACTIVO,2024-05-06
Sistema,SLORNARE,A. SAN LORENZO,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,SMIGCALD,SAN MIGUEL,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,SOGASOGA,SOGAMOSO,CENTRO,ACTIVO,2024-05-06
Sistema,TRONGUAD,GUADALUPE,ANTIOQUIA,ACTIVO,2024-05-06
Sistema,URR1SINU,SINU URRA,CARIBE,ACTIVO,2024-05-06
