Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ASCC,5.98,5.76,5.71,5.68,4.54,5.57,5.16,6.5,6.76,7.35,7.16,7.63,7.12,7.44,7.03,6.91,7.53,7.23,8.49,8.49,8.15,8.54,7.59,6.67,2024-04-29
Agente,BIAC,99.68,99.35,99.6,103.65,85.37,101.36,114.45,123.87,129.53,120.26,133.06,147.13,141.18,151.01,145.64,155.79,168.35,144.12,133.31,148.39,144.34,143.12,123.7,113.5,2024-04-29
Agente,CASC,4.29,5.04,5.92,3.6,3.01,3.46,5.34,8.65,12.02,13.1,11.33,10.67,6.21,5.44,8.72,8.24,5.52,3.24,3.01,2.94,2.76,2.73,2.5,1.88,2024-04-29
Agente,CBNC,118.65,122.83,130.46,134.38,108.21,122.53,126.17,104.83,88.32,76.09,56.49,58.21,59.55,61.39,61.82,81.65,134.19,147.66,152.04,168.61,166.5,170.05,163.5,148.13,2024-04-29
Agente,CDNC,115.54,117.42,116.94,118.27,95.16,109.99,11.27,16.74,17.4,19.3,18.82,20.94,21.16,24.47,22.65,22.76,24.06,21.03,128.83,139.87,137.61,147.9,136.64,123.7,2024-04-29
Agente,CEOC,37.99,39.78,40.46,40.05,30.67,38.44,48.73,50.98,74.03,67.23,54.6,64.71,61.38,63.84,61.0,62.41,68.33,55.0,54.78,59.01,57.27,60.33,53.43,48.03,2024-04-29
Agente,CETC,74.22,76.62,79.81,86.64,69.83,81.11,50.87,44.36,38.81,17.64,16.29,18.88,16.12,17.99,19.08,29.35,51.78,66.27,108.85,110.47,111.3,114.19,97.57,84.58,2024-04-29
Agente,CHVC,570.62,653.86,670.63,678.09,509.76,591.14,658.53,623.03,615.58,553.66,529.06,529.81,540.1,480.08,441.34,610.81,717.75,668.44,690.69,753.05,749.62,799.59,746.23,656.57,2024-04-29
Agente,CMMC,1203.01,1204.21,1207.28,1233.09,998.45,1173.51,913.85,964.73,1045.85,1092.48,1094.82,1214.47,1159.02,1236.62,1172.66,1153.85,1258.26,1114.07,1529.89,1645.59,1594.5,1661.61,1510.67,1353.51,2024-04-29
Agente,CMXC,294.75,305.13,316.24,349.05,247.16,285.86,281.08,299.4,326.56,337.27,352.35,389.89,379.66,401.72,381.49,376.45,409.02,365.03,381.11,421.43,439.87,476.62,435.74,392.61,2024-04-29
Agente,CSSC,1046.6,1050.94,1053.98,1058.46,834.93,982.23,972.26,1127.97,1309.51,1396.83,1424.6,1523.86,1414.28,1531.93,1491.99,1533.77,1695.06,1502.2,1700.46,1820.47,1694.63,1650.64,1414.38,1228.95,2024-04-29
Agente,DRUC,610.9,540.49,658.69,672.55,515.04,541.21,625.83,643.78,658.38,679.9,660.18,700.06,502.81,750.94,709.67,672.85,806.1,615.66,645.73,795.78,817.52,853.25,743.02,623.23,2024-04-29
Agente,EBSC,189.77,193.2,194.57,195.97,157.32,185.54,51.53,58.67,66.99,63.12,62.77,76.23,67.46,71.03,67.33,63.88,69.64,58.83,210.83,227.87,222.5,238.99,218.71,197.78,2024-04-29
Agente,EEPC,257.03,257.71,255.64,261.63,207.84,254.88,225.19,250.93,271.13,280.62,278.99,304.06,285.89,309.82,291.05,297.76,339.56,290.94,358.14,380.77,373.19,388.26,335.47,291.16,2024-04-29
Agente,EMEC,17.13,16.47,15.21,15.97,13.18,16.08,18.7,20.27,23.93,24.81,25.74,30.78,29.73,29.24,29.49,29.21,30.69,27.35,28.15,30.01,27.88,29.33,26.09,20.69,2024-04-29
Agente,EMIC,1010.42,1004.56,1002.35,1013.81,829.67,980.42,853.03,946.41,1050.54,1112.77,1152.39,1293.56,1239.03,1289.13,1227.44,1231.08,1355.38,1155.52,1394.07,1459.91,1395.68,1421.41,1249.89,1123.38,2024-04-29
Agente,EMSC,192.38,207.19,212.8,214.42,176.26,210.76,106.54,118.58,149.92,164.58,171.56,186.88,168.51,184.31,173.5,172.86,195.69,162.27,284.57,306.04,299.63,315.46,287.5,250.67,2024-04-29
Agente,ENDC,6342.53,6454.32,6326.07,6361.73,5121.95,6018.54,6622.03,6677.04,7036.77,7225.77,7268.63,8027.53,7708.84,7995.95,7523.02,7562.45,8528.42,7757.94,7857.13,8510.15,8267.4,8545.85,7607.15,7134.07,2024-04-29
Agente,EPMC,5780.32,6010.26,6105.88,6179.54,5137.41,6190.62,6281.89,6439.11,6697.53,6928.49,6789.0,7687.1,7436.66,7844.82,7394.99,7433.51,8173.87,7328.44,7961.53,8689.93,8343.23,8685.6,7965.75,6990.91,2024-04-29
Agente,EPSC,1701.48,1743.47,1728.12,1748.82,1415.24,1688.38,1913.34,2019.57,2126.97,2100.95,2122.34,2355.38,2243.36,2408.94,2290.68,2465.13,2729.8,2477.74,2547.9,2739.21,2671.87,2781.48,2430.34,2134.26,2024-04-29
Agente,ETTC,196.88,194.29,198.11,202.69,173.78,217.45,286.67,343.62,402.35,426.09,427.85,482.67,462.17,482.79,461.88,466.38,503.18,411.9,396.37,414.56,379.67,364.49,302.94,269.41,2024-04-29
Agente,FERC,55.38,55.56,54.75,54.83,47.74,59.84,84.42,90.7,99.93,104.01,105.34,120.27,115.51,117.87,111.93,113.1,117.14,94.68,95.27,101.77,100.64,106.99,91.53,82.25,2024-04-29
Agente,FREC,100.79,103.45,103.6,104.68,81.81,94.79,99.81,96.55,101.95,95.59,87.86,105.64,103.65,105.67,106.53,102.69,117.29,102.26,105.65,115.39,116.75,122.57,112.02,96.64,2024-04-29
Agente,GAPC,89.32,85.01,83.69,89.98,76.45,91.62,92.14,85.83,87.94,87.51,85.06,89.54,91.51,94.66,89.24,95.45,114.25,105.94,105.8,125.81,132.9,139.99,125.85,118.15,2024-04-29
Agente,GECC,5013.85,5184.26,5376.99,5295.02,4293.2,5113.17,5246.51,4753.99,4682.92,4625.56,4707.39,5159.03,4901.83,5136.23,4689.04,4579.23,5239.5,5106.11,5423.6,5673.37,5618.36,6256.92,5787.94,5184.06,2024-04-29
Agente,GNCC,139.21,143.46,139.88,144.07,118.25,149.74,184.42,202.89,234.59,248.02,250.61,284.37,271.32,287.56,277.34,282.97,317.05,272.49,265.58,265.44,250.45,256.21,219.34,195.07,2024-04-29
Agente,GNYC,1.14,1.15,1.17,1.17,0.94,1.12,1.21,9.28,40.09,53.0,55.02,64.13,65.17,67.43,61.3,60.75,70.75,59.57,50.89,32.94,4.74,1.5,1.31,1.18,2024-04-29
Agente,GSAC,0.09,0.09,0.09,0.11,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.09,2024-04-29
Agente,HLAC,213.09,199.8,181.31,182.11,146.19,157.17,164.31,196.2,221.52,243.82,252.55,284.01,252.41,266.87,258.65,247.43,266.21,249.67,277.91,298.48,284.66,291.37,253.01,223.25,2024-04-29
Agente,ISGC,5024.76,5103.5,5164.02,5167.76,4148.32,4751.21,4933.04,4757.04,5021.51,5288.33,5234.68,5863.89,5669.96,5728.31,5281.23,5334.85,6134.86,5533.96,5595.7,6262.47,6255.11,6816.75,6262.62,5540.04,2024-04-29
Agente,ITLC,129.65,140.62,148.58,160.09,135.32,154.09,159.99,175.06,204.84,209.18,209.42,235.06,213.98,221.0,219.07,228.78,259.09,211.11,211.03,231.36,234.61,247.15,223.76,191.17,2024-04-29
Agente,LESC,65.39,66.25,66.63,67.43,53.97,62.34,64.06,60.73,62.49,63.71,56.12,60.72,58.87,60.69,56.42,56.24,62.75,57.18,58.25,63.86,63.54,68.69,63.49,57.53,2024-04-29
Agente,PEEC,4.11,4.14,4.0,4.2,3.27,4.06,4.2,4.12,4.39,4.27,4.36,4.94,5.02,5.08,4.43,4.31,4.6,4.75,4.23,4.2,4.71,4.82,4.33,4.06,2024-04-29
Agente,QIEC,18.27,17.81,17.59,17.53,14.16,17.46,16.51,23.17,35.09,51.15,70.91,82.45,77.79,79.48,76.55,76.89,85.18,72.76,74.37,71.48,48.53,28.74,20.76,16.07,2024-04-29
Agente,RPEC,3.97,4.13,4.11,3.96,3.27,4.06,4.63,5.48,7.61,10.26,9.84,11.19,9.36,10.52,11.79,11.86,11.4,38.53,55.54,56.43,55.06,58.86,67.66,69.99,2024-04-29
Agente,RTAC,3.36,3.34,3.38,3.41,2.73,3.17,3.28,4.59,6.22,8.94,16.83,18.79,18.32,19.08,17.5,17.36,19.38,17.53,17.67,18.42,9.36,4.94,3.7,3.52,2024-04-29
Agente,RTQC,148.53,147.61,146.54,146.6,118.96,143.96,177.17,199.31,228.05,239.38,239.4,275.35,268.43,278.89,273.82,285.41,320.48,281.97,267.28,263.59,255.53,260.41,229.06,197.79,2024-04-29
Agente,SCEC,0.18,0.18,0.2,0.2,0.16,0.18,0.31,2.64,3.97,3.39,2.37,3.4,2.58,2.59,3.3,3.58,4.62,1.19,1.4,1.25,1.55,1.29,0.73,0.7,2024-04-29
Agente,SOEC,1504.4,1755.08,1890.33,1990.9,1510.29,1847.04,2000.18,1867.35,1921.74,1981.87,1930.58,2080.53,1950.68,2117.19,1989.99,1470.42,1790.83,1616.31,1726.65,2078.41,1991.79,2549.07,2309.04,2105.71,2024-04-29
Agente,TPLC,262.27,206.53,150.68,109.8,65.47,77.62,94.69,98.98,110.1,111.22,113.69,120.62,105.19,119.5,114.32,114.94,134.11,118.8,126.57,130.2,129.55,281.07,395.36,415.95,2024-04-29
Agente,TRPC,9.85,8.63,10.17,8.43,6.95,3.55,6.1,5.79,7.85,8.82,8.54,9.11,2.59,6.84,6.62,0.47,,,0.6,0.82,1.23,1.96,0.66,0.36,2024-04-29
Agente,VESC,19.09,19.08,21.59,19.56,16.03,18.62,22.96,24.43,25.16,28.94,24.29,27.82,26.55,39.68,42.31,31.15,33.05,28.52,35.13,41.5,39.51,36.8,29.07,29.43,2024-04-29
Agente,ASCC,6.86,5.9,6.18,5.89,4.87,4.83,4.51,5.75,5.1,6.03,6.88,6.97,6.72,6.93,7.39,8.46,8.35,8.07,8.59,8.7,8.65,8.66,7.82,6.21,2024-04-30
Agente,BIAC,120.92,102.15,109.94,107.67,89.29,84.75,115.02,111.82,96.26,112.02,132.37,137.96,141.81,151.89,165.25,187.64,191.57,190.76,160.0,161.19,164.88,155.86,132.51,109.03,2024-04-30
Agente,CASC,1.97,1.64,1.69,1.65,1.41,1.23,3.69,3.65,4.79,5.26,7.13,9.88,4.49,11.26,14.1,9.36,10.73,4.06,4.47,3.28,6.01,6.18,3.81,2.26,2024-04-30
Agente,CBNC,154.27,133.96,148.64,141.86,113.86,103.92,114.49,84.5,55.21,47.8,55.96,57.89,55.04,77.85,120.81,131.87,131.3,144.47,128.69,101.67,91.05,84.78,76.35,62.57,2024-04-30
Agente,CDNC,135.47,117.0,124.24,119.72,97.76,93.68,16.28,17.57,16.9,20.29,23.66,24.53,23.05,22.64,21.42,25.32,27.32,28.36,139.68,144.11,152.19,155.4,145.79,119.35,2024-04-30
Agente,CEOC,52.14,44.04,45.8,43.43,35.04,34.12,46.44,48.5,43.42,48.96,55.33,57.92,54.76,59.78,63.71,72.63,71.1,63.85,58.09,57.96,60.72,57.15,44.7,35.08,2024-04-30
