Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ASCC,19.07,18.96,18.77,19.11,15.72,19.86,23.47,28.03,34.05,36.6,37.66,44.47,36.78,35.34,38.29,40.75,42.95,38.22,37.74,38.62,33.3,31.3,25.38,20.6,2024-04-29
Agente,BIAC,191.42,192.8,188.05,190.74,159.25,191.09,249.55,301.56,362.3,393.95,419.05,469.04,448.71,473.53,463.72,446.64,480.51,384.64,360.24,368.01,349.66,345.61,292.16,247.84,2024-04-29
Agente,CASC,608.13,626.66,620.64,608.02,483.21,558.99,557.81,578.37,661.83,697.16,708.31,874.51,825.93,914.64,915.41,921.45,996.27,863.52,945.39,1056.1,1030.25,1068.51,918.96,775.73,2024-04-29
Agente,CDNC,670.78,643.93,628.04,625.96,544.88,878.15,1177.25,1067.24,1123.35,1170.29,1203.65,1397.67,1298.89,1304.49,1242.48,1245.76,1428.11,1339.45,1436.95,1638.04,1513.14,1443.42,1090.6,806.19,2024-04-29
Agente,CEOC,681.23,663.96,640.89,643.88,568.13,808.09,966.28,877.64,916.8,938.38,985.96,1163.33,1122.84,1122.97,1066.7,1057.2,1199.05,1182.54,1352.67,1514.67,1403.39,1326.45,1018.97,783.72,2024-04-29
Agente,CETC,165.95,158.8,155.11,154.86,128.31,166.41,186.35,200.0,229.63,253.33,270.0,320.98,294.77,308.1,311.21,317.65,348.29,307.31,304.35,339.06,326.29,331.94,267.39,205.43,2024-04-29
Agente,CHCC,1075.37,1017.66,989.87,991.4,856.23,1198.04,1363.15,1319.32,1415.86,1520.7,1602.12,1869.86,1788.66,1816.76,1700.58,1683.66,1887.94,1765.06,1990.94,2260.39,2159.03,2129.54,1641.97,1271.66,2024-04-29
Agente,CMMC,12360.45,12033.98,11685.51,11382.51,8874.71,9569.82,9215.92,8811.5,9428.07,9938.68,10297.94,11860.42,11739.69,13032.7,12750.83,12764.77,13794.85,11911.92,12513.93,14882.42,15581.1,17558.87,16329.38,14228.11,2024-04-29
Agente,CNSC,2153.9,2089.88,2035.92,2011.73,1619.53,1894.49,2007.66,2061.02,2322.13,2504.39,2589.31,2904.1,2620.95,2818.66,2783.78,2777.27,3039.89,2660.64,2768.43,3046.39,3032.14,3184.3,2773.81,2347.46,2024-04-29
Agente,CQTC,335.68,325.71,319.51,318.67,259.65,327.69,350.45,368.75,428.35,473.26,510.37,607.43,560.55,578.77,574.21,577.61,650.26,567.56,593.46,651.15,619.0,618.81,507.54,409.3,2024-04-29
Agente,CSSC,12538.78,12161.89,11800.86,11549.62,9033.1,9417.15,9211.86,9047.57,9013.72,9453.58,9723.61,11018.95,10919.57,11989.59,11752.4,11710.6,13507.51,11966.16,12606.22,14620.83,15245.36,17094.41,15918.66,13985.48,2024-04-29
Agente,DLRC,6.06,6.07,5.93,6.13,5.23,6.11,7.06,8.77,10.26,10.63,11.27,11.55,10.9,11.06,11.65,13.01,14.07,13.2,13.11,13.23,12.07,11.18,9.16,7.47,2024-04-29
Agente,EBPC,103.11,99.0,95.99,94.19,76.16,93.91,102.3,105.89,125.75,139.82,148.73,170.47,163.8,169.6,167.27,169.47,186.98,167.62,185.3,206.6,195.67,194.03,154.9,119.5,2024-04-29
Agente,EBSC,828.67,805.0,797.71,799.16,696.29,1042.96,1369.25,1267.12,1373.37,1444.71,1473.1,1641.99,1508.48,1534.62,1475.32,1441.97,1592.66,1468.11,1612.4,1790.81,1686.49,1603.05,1256.35,997.12,2024-04-29
Agente,EDPC,308.41,301.0,292.16,293.38,235.12,286.47,309.92,316.11,360.79,394.98,342.02,473.3,459.89,482.14,439.23,444.11,501.56,442.12,461.05,500.54,518.68,538.37,448.22,365.15,2024-04-29
