Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ASCC,25.05,24.72,24.48,24.79,20.26,25.43,28.63,34.53,40.81,43.95,44.82,52.1,43.9,42.78,45.32,47.66,50.48,45.45,46.23,47.11,41.45,39.84,32.97,27.27,2024-04-29
Agente,BIAC,291.1,292.15,287.65,294.39,244.62,292.45,364.0,425.43,491.83,514.21,552.11,616.17,589.89,624.54,609.36,602.43,648.86,528.76,493.55,516.4,494.0,488.73,415.86,361.34,2024-04-29
Agente,CASC,612.42,631.7,626.56,611.62,486.22,562.45,563.15,587.02,673.85,710.26,719.64,885.18,832.14,920.08,924.13,929.69,1001.79,866.76,948.4,1059.04,1033.01,1071.24,921.46,777.61,2024-04-29
Agente,CBNC,118.65,122.83,130.46,134.38,108.21,122.53,126.17,104.83,88.32,76.09,56.49,58.21,59.55,61.39,61.82,81.65,134.19,147.66,152.04,168.61,166.5,170.05,163.5,148.13,2024-04-29
Agente,CDNC,786.32,761.35,744.98,744.23,640.04,988.14,1188.52,1083.98,1140.75,1189.59,1222.47,1418.61,1320.05,1328.96,1265.13,1268.52,1452.17,1360.48,1565.78,1777.91,1650.75,1591.32,1227.24,929.89,2024-04-29
Agente,CEOC,719.22,703.74,681.35,683.93,598.8,846.53,1015.01,928.62,990.83,1005.61,1040.56,1228.04,1184.22,1186.81,1127.7,1119.61,1267.38,1237.54,1407.45,1573.68,1460.66,1386.78,1072.4,831.75,2024-04-29
Agente,CETC,240.17,235.42,234.92,241.5,198.14,247.52,237.22,244.36,268.44,270.97,286.29,339.86,310.89,326.09,330.29,347.0,400.07,373.58,413.2,449.53,437.59,446.13,364.96,290.01,2024-04-29
Agente,CHCC,1075.37,1017.66,989.87,991.4,856.23,1198.04,1363.15,1319.32,1415.86,1520.7,1602.12,1869.86,1788.66,1816.76,1700.58,1683.66,1887.94,1765.06,1990.94,2260.39,2159.03,2129.54,1641.97,1271.66,2024-04-29
Agente,CHVC,570.62,653.86,670.63,678.09,509.76,591.14,658.53,623.03,615.58,553.66,529.06,529.81,540.1,480.08,441.34,610.81,717.75,668.44,690.69,753.05,749.62,799.59,746.23,656.57,2024-04-29
Agente,CMMC,13563.46,13238.19,12892.79,12615.6,9873.16,10743.33,10129.77,9776.23,10473.92,11031.16,11392.76,13074.89,12898.71,14269.32,13923.49,13918.62,15053.11,13025.99,14043.82,16528.01,17175.6,19220.48,17840.05,15581.62,2024-04-29
Agente,CMXC,294.75,305.13,316.24,349.05,247.16,285.86,281.08,299.4,326.56,337.27,352.35,389.89,379.66,401.72,381.49,376.45,409.02,365.03,381.11,421.43,439.87,476.62,435.74,392.61,2024-04-29
Agente,CNCC,73.22,74.22,63.99,21.13,20.76,23.52,1.29,32.65,22.12,,,37.97,6.13,27.03,,18.69,,25.46,74.31,,,,,11.18,2024-04-29
Agente,CNSC,2153.9,2089.88,2035.92,2011.73,1619.53,1894.49,2007.66,2061.02,2322.13,2504.39,2589.31,2904.1,2620.95,2818.66,2783.78,2777.27,3039.89,2660.64,2768.43,3046.39,3032.14,3184.3,2773.81,2347.46,2024-04-29
Agente,CQTC,335.68,325.71,319.51,318.67,259.65,327.69,350.45,368.75,428.35,473.26,510.37,607.43,560.55,578.77,574.21,577.61,650.26,567.56,593.46,651.15,619.0,618.81,507.54,409.3,2024-04-29
Agente,CSSC,13585.38,13212.83,12854.84,12608.08,9868.03,10399.38,10184.12,10175.54,10323.23,10850.41,11148.21,12542.81,12333.85,13521.52,13244.39,13244.37,15202.57,13468.36,14306.68,16441.3,16939.99,18745.05,17333.04,15214.43,2024-04-29
Agente,DLRC,6.06,6.07,5.93,6.13,5.23,6.11,7.06,8.77,10.26,10.63,11.27,11.55,10.9,11.06,11.65,13.01,14.07,13.2,13.11,13.23,12.07,11.18,9.16,7.47,2024-04-29
Agente,DRUC,610.9,540.49,658.69,672.55,515.04,541.21,625.83,643.78,658.38,679.9,660.18,700.06,502.81,750.94,709.67,672.85,806.1,615.66,645.73,795.78,817.52,853.25,743.02,623.23,2024-04-29
Agente,EBPC,103.11,99.0,95.99,94.19,76.16,93.91,102.3,105.89,125.75,139.82,148.73,170.47,163.8,169.6,167.27,169.47,186.98,167.62,185.3,206.6,195.67,194.03,154.9,119.5,2024-04-29
Agente,EBSC,1018.44,998.2,992.28,995.13,853.61,1228.5,1420.78,1325.79,1440.36,1507.83,1535.87,1718.22,1575.94,1605.65,1542.65,1505.85,1662.3,1526.94,1823.23,2018.68,1908.99,1842.04,1475.06,1194.9,2024-04-29
Agente,EDPC,308.41,301.0,292.16,293.38,235.12,286.47,309.92,316.11,360.79,394.98,342.02,473.3,459.89,482.14,439.23,444.11,501.56,442.12,461.05,500.54,518.68,538.37,448.22,365.15,2024-04-29
Agente,EDQC,468.58,444.0,432.8,433.25,366.64,497.49,542.66,563.82,634.02,687.3,722.76,839.7,804.09,822.82,768.83,757.99,857.1,786.65,880.13,1001.84,948.8,935.45,734.37,559.65,2024-04-29
Agente,EEPC,918.33,886.48,866.15,872.39,725.88,930.43,1008.95,1065.09,1201.72,1303.11,1359.79,1566.88,1490.45,1544.44,1470.88,1486.9,1660.56,1458.07,1567.66,1732.28,1655.65,1662.37,1355.02,1079.39,2024-04-29
Agente,EGVC,103.9,101.72,99.73,99.01,79.05,94.66,101.79,104.66,118.91,126.14,130.16,150.85,147.1,159.96,158.63,160.91,178.81,158.68,168.69,181.78,173.81,176.61,148.71,121.08,2024-04-29
Agente,EMEC,33.97,23.87,23.06,22.43,18.53,23.78,27.02,30.73,34.1,38.87,34.97,50.62,45.58,48.01,55.68,48.98,37.04,34.46,44.0,52.93,32.36,70.45,38.03,24.34,2024-04-29
Agente,EMIC,3571.17,3442.01,3378.85,3369.74,2778.41,3464.61,3662.95,3850.79,4466.44,4809.39,5130.5,5913.94,5754.59,5971.24,5692.23,5692.95,6271.69,5401.51,5670.32,6243.82,6088.27,6132.3,5177.21,4256.68,2024-04-29
Agente,EMPC,20.25,19.75,18.83,18.24,14.47,17.01,16.93,18.39,22.0,23.85,24.32,28.21,27.27,28.88,27.51,27.47,30.59,28.38,30.37,33.57,31.72,31.95,27.29,22.9,2024-04-29
Agente,EMSC,1323.38,1341.3,1340.65,1308.16,1059.57,1279.7,1293.93,1336.68,1557.35,1749.45,1847.56,2062.24,2124.18,2274.15,2178.62,2157.22,2399.32,2120.46,2318.49,2516.0,2481.42,2539.87,2157.49,1790.98,2024-04-29
Agente,ENBC,53.71,51.44,49.92,48.63,39.08,49.0,58.83,65.12,79.33,84.49,91.28,106.27,104.23,107.62,101.86,101.6,111.86,94.69,93.39,100.67,95.12,92.87,76.67,62.32,2024-04-29
Agente,ENDC,16630.17,16259.7,15940.11,16320.89,14557.18,19831.83,21271.48,21538.01,23120.39,24275.56,24844.51,27954.27,26956.46,27674.37,25812.87,25509.93,28197.78,25393.76,27505.73,30344.09,28935.92,28390.3,23319.16,19277.85,2024-04-29
Agente,ENIC,455.5,442.09,430.09,421.76,333.11,377.0,378.44,381.81,408.48,420.41,422.52,479.88,441.81,484.95,488.12,484.53,531.66,470.19,511.54,564.99,559.41,586.07,508.59,432.13,2024-04-29
Agente,EPMC,13425.84,13360.04,13285.61,13453.21,11527.89,14833.18,16248.19,16484.49,17746.81,18721.64,19093.45,21970.39,21440.16,22148.4,20766.8,20740.89,22658.89,20153.88,21550.37,23867.82,22679.63,22868.02,19394.41,16118.02,2024-04-29
Agente,EPSC,4757.56,4700.13,4602.14,4599.19,3770.53,4615.77,4962.13,5095.14,5507.18,5770.37,5932.64,6797.55,6459.2,6805.32,6495.78,6649.77,7358.82,6755.91,7343.45,8223.93,7921.55,8094.27,6708.62,5536.35,2024-04-29
Agente,EPTC,92.21,87.31,85.25,84.73,68.93,88.66,93.06,95.21,109.69,123.97,138.4,162.36,148.04,154.35,150.82,151.12,168.24,150.92,171.75,196.48,186.57,182.38,142.17,108.46,2024-04-29
Agente,ESOC,6.49,6.29,6.1,5.96,4.76,5.47,5.7,5.86,6.64,6.95,7.33,8.54,8.6,9.14,8.32,7.9,8.63,7.81,8.34,9.65,9.43,9.35,7.44,6.01,2024-04-29
Agente,ESSC,2953.28,2847.18,2743.06,2667.52,2147.03,2577.58,2674.99,2828.89,3209.18,3426.12,3563.03,4067.4,3750.48,3980.98,3904.91,3953.21,4390.29,3869.34,4195.03,4587.33,4460.85,4545.39,3847.64,3186.24,2024-04-29
Agente,ESVC,5.76,5.64,5.38,5.24,4.12,4.65,5.27,5.58,6.3,6.56,6.67,7.03,6.17,6.73,6.81,6.81,7.14,6.46,7.2,7.95,7.77,7.67,6.31,5.27,2024-04-29
Agente,ETTC,456.2,447.94,447.15,453.6,380.14,480.35,638.62,765.6,904.18,977.37,993.33,1123.51,1072.99,1103.05,1060.2,1053.55,1132.49,923.02,858.7,892.59,815.5,798.8,664.86,579.6,2024-04-29
Agente,EVSC,13.78,13.21,12.77,12.75,10.73,15.32,21.77,16.42,17.92,19.07,18.99,22.1,20.31,20.98,20.33,19.96,23.54,23.52,30.12,34.87,31.77,30.42,21.88,15.78,2024-04-29
Agente,EXEC,148.77,149.18,145.17,150.44,129.44,174.19,225.33,249.44,278.26,293.0,296.99,329.07,317.09,337.41,323.74,336.13,370.02,320.18,313.18,334.48,312.41,295.03,235.03,197.92,2024-04-29
Agente,FERC,55.38,55.56,54.75,54.83,47.74,59.84,84.42,90.7,99.93,104.01,105.34,120.27,115.51,117.87,111.93,113.1,117.14,94.68,95.27,101.77,100.64,106.99,91.53,82.25,2024-04-29
Agente,FREC,100.79,103.45,103.6,104.68,81.81,94.79,99.81,96.55,101.95,95.59,87.86,105.64,103.65,105.67,106.53,102.69,117.29,102.26,105.65,115.39,116.75,122.57,112.02,96.64,2024-04-29
Agente,GAPC,89.32,85.01,83.69,89.98,76.45,91.62,92.14,85.83,87.94,87.51,85.06,89.54,91.51,94.66,89.24,95.45,114.25,105.94,105.8,125.81,132.9,139.99,125.85,118.15,2024-04-29
Agente,GECC,5013.85,5184.26,5376.99,5295.02,4293.2,5113.17,5246.51,4753.99,4682.92,4625.56,4707.39,5159.03,4901.83,5136.23,4689.04,4579.23,5239.5,5106.11,5423.6,5673.37,5618.36,6256.92,5787.94,5184.06,2024-04-29
Agente,GNCC,1567.39,1545.57,1514.55,1520.32,1237.97,1532.96,1945.21,2228.62,2593.88,2780.6,2911.29,3301.05,3108.99,3269.05,3138.0,3141.52,3465.02,2960.01,2849.75,2949.3,2722.32,2637.41,2182.27,1859.24,2024-04-29
Agente,GNYC,1.14,1.15,1.17,1.17,0.94,1.12,1.21,9.28,40.09,53.0,55.02,64.13,65.17,67.43,61.3,60.75,70.75,59.57,50.89,32.94,4.74,1.5,1.31,1.18,2024-04-29
Agente,GSAC,0.09,0.09,0.09,0.11,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.09,2024-04-29
Agente,HIMC,16.53,16.28,15.99,15.95,12.63,14.51,14.99,14.31,14.8,14.81,14.98,19.78,20.79,20.47,20.6,20.94,23.61,20.7,22.8,26.84,26.78,27.53,23.4,19.61,2024-04-29
Agente,HLAC,1339.2,1285.24,1206.94,1175.37,939.79,1157.82,1246.75,1304.6,1449.49,1548.79,1642.27,1931.31,1790.14,1893.37,1858.77,1846.67,2044.02,1832.96,2009.39,2226.58,2127.12,2134.56,1766.27,1464.14,2024-04-29
Agente,ISGC,5024.76,5103.5,5164.02,5167.76,4148.32,4751.21,4933.04,4757.04,5021.51,5288.33,5234.68,5863.89,5669.96,5728.31,5281.23,5334.85,6134.86,5533.96,5595.7,6262.47,6255.11,6816.75,6262.62,5540.04,2024-04-29
Agente,ITLC,130.3,141.18,149.23,160.84,135.86,154.83,160.74,175.81,205.74,210.07,210.42,236.19,215.05,222.16,220.19,229.87,260.24,212.02,211.87,232.38,235.6,248.24,224.69,191.9,2024-04-29
