Id,Name,Value,Date
Rio,A. SAN LORENZO,0.73068,2024-04-29
Rio,ALTOANCHICAYA,1.41568,2024-04-29
Rio,AMOYA,1.08238,2024-04-29
Rio,BATA,4.72057,2024-04-29
Rio,BETANIA CP,1.02213,2024-04-29
Rio,BOGOTA N.R.,1.7738,2024-04-29
Rio,CALIMA,1.09267,2024-04-29
Rio,CAMPOALEGRE,1.96602,2024-04-29
Rio,CARLOS LLERAS,0.62194,2024-04-29
Rio,CAUCA SALVAJINA,1.26123,2024-04-29
Rio,CHINCHINA,0.73152,2024-04-29
Rio,CHUZA,2.88831,2024-04-29
Rio,CONCEPCION,0.44361,2024-04-29
Rio,CUCUANA,1.44695,2024-04-29
Rio,DESV. BATATAS,4.38485,2024-04-29
Rio,DESV. CHIVOR,1.04704,2024-04-29
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",0.71665,2024-04-29
Rio,DESV. GUARINO,0.27088,2024-04-29
Rio,DESV. MANSO,0.71422,2024-04-29
Rio,DESV. SAN MARCOS,0.69389,2024-04-29
Rio,DIGUA,1.35233,2024-04-29
Rio,EL QUIMBO,1.14356,2024-04-29
Rio,ESCUELA DE MINAS,0.76307,2024-04-29
Rio,ESTRELLA,0.57808,2024-04-29
Rio,FLORIDA II,1.25043,2024-04-29
Rio,GRANDE,0.8141,2024-04-29
Rio,GUADALUPE,0.65004,2024-04-29
Rio,GUATAPE,1.02495,2024-04-29
Rio,GUAVIO,3.21508,2024-04-29
Rio,ITUANGO,0.89916,2024-04-29
Rio,MIEL I,1.09562,2024-04-29
Rio,NARE CP,0.88975,2024-04-29
Rio,PORCE III,0.73218,2024-04-29
Rio,PORCE2 CP,0.44971,2024-04-29
Rio,PRADO,1.48266,2024-04-29
Rio,QUEBRADONA,0.77,2024-04-29
Rio,SAN CARLOS,1.83344,2024-04-29
Rio,SAN EUGENIO,1.92574,2024-04-29
Rio,SAN FRANCISCO,0.53882,2024-04-29
Rio,SAN MIGUEL,0.60944,2024-04-29
Rio,SINU URRA,1.27887,2024-04-29
Rio,SOGAMOSO,1.40678,2024-04-29
Rio,TENCHE,0.4681,2024-04-29
Rio,A. SAN LORENZO,0.77707,2024-04-30
Rio,ALTOANCHICAYA,1.45511,2024-04-30
Rio,AMOYA,1.00704,2024-04-30
Rio,BATA,1.06223,2024-04-30
Rio,BETANIA CP,0.9457,2024-04-30
Rio,BOGOTA N.R.,1.18047,2024-04-30
Rio,CALIMA,0.97683,2024-04-30
Rio,CAMPOALEGRE,1.88673,2024-04-30
Rio,CARLOS LLERAS,1.01131,2024-04-30
Rio,CAUCA SALVAJINA,1.2402,2024-04-30
Rio,CHINCHINA,0.78126,2024-04-30
Rio,CHUZA,0.89315,2024-04-30
Rio,CONCEPCION,0.54939,2024-04-30
Rio,CUCUANA,1.45895,2024-04-30
Rio,DESV. BATATAS,1.14515,2024-04-30
Rio,DESV. CHIVOR,0.45268,2024-04-30
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",0.7863,2024-04-30
Rio,DESV. GUARINO,0.22368,2024-04-30
Rio,DESV. MANSO,0.39922,2024-04-30
Rio,DESV. SAN MARCOS,0.72944,2024-04-30
Rio,DIGUA,1.38581,2024-04-30
Rio,EL QUIMBO,1.24524,2024-04-30
Rio,ESCUELA DE MINAS,0.49769,2024-04-30
Rio,ESTRELLA,0.45654,2024-04-30
Rio,FLORIDA II,0.97913,2024-04-30
Rio,GRANDE,0.93747,2024-04-30
Rio,GUADALUPE,0.6495,2024-04-30
Rio,GUATAPE,1.25539,2024-04-30
Rio,GUAVIO,0.83965,2024-04-30
Rio,ITUANGO,0.83097,2024-04-30
Rio,MIEL I,0.93238,2024-04-30
Rio,NARE CP,0.62202,2024-04-30
Rio,PORCE III,0.19737,2024-04-30
Rio,PORCE2 CP,0.6794,2024-04-30
Rio,PRADO,0.88883,2024-04-30
Rio,QUEBRADONA,0.88556,2024-04-30
Rio,SAN CARLOS,1.58529,2024-04-30
Rio,SAN EUGENIO,1.84806,2024-04-30
Rio,SAN FRANCISCO,0.96353,2024-04-30
Rio,SAN MIGUEL,0.50247,2024-04-30
Rio,SINU URRA,1.53273,2024-04-30
Rio,SOGAMOSO,0.89718,2024-04-30
Rio,TENCHE,0.71828,2024-04-30
Rio,A. SAN LORENZO,0.7149,2024-05-01
Rio,ALTOANCHICAYA,1.44796,2024-05-01
Rio,AMOYA,0.79971,2024-05-01
Rio,BATA,0.34301,2024-05-01
Rio,BETANIA CP,0.70868,2024-05-01
Rio,BOGOTA N.R.,0.51371,2024-05-01
Rio,CALIMA,0.63042,2024-05-01
Rio,CAMPOALEGRE,1.40522,2024-05-01
Rio,CARLOS LLERAS,0.44262,2024-05-01
Rio,CAUCA SALVAJINA,1.05675,2024-05-01
Rio,CHINCHINA,0.6982,2024-05-01
Rio,CHUZA,0.42175,2024-05-01
Rio,CONCEPCION,0.67618,2024-05-01
Rio,CUCUANA,1.05457,2024-05-01
Rio,DESV. BATATAS,1.16136,2024-05-01
Rio,DESV. CHIVOR,0.3035,2024-05-01
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",0.72703,2024-05-01
Rio,DESV. GUARINO,0.20324,2024-05-01
Rio,DESV. MANSO,0.36239,2024-05-01
Rio,DESV. SAN MARCOS,0.37318,2024-05-01
Rio,DIGUA,1.30479,2024-05-01
Rio,EL QUIMBO,0.78286,2024-05-01
Rio,ESCUELA DE MINAS,0.44042,2024-05-01
Rio,ESTRELLA,0.39679,2024-05-01
Rio,FLORIDA II,0.66839,2024-05-01
Rio,GRANDE,0.74517,2024-05-01
Rio,GUADALUPE,0.36631,2024-05-01
Rio,GUATAPE,2.94094,2024-05-01
Rio,GUAVIO,0.79544,2024-05-01
Rio,ITUANGO,0.70115,2024-05-01
Rio,MIEL I,0.83766,2024-05-01
Rio,NARE CP,0.51312,2024-05-01
Rio,PORCE III,0.40616,2024-05-01
Rio,PORCE2 CP,0.33495,2024-05-01
Rio,PRADO,1.27747,2024-05-01
Rio,QUEBRADONA,0.783,2024-05-01
Rio,SAN CARLOS,2.81175,2024-05-01
Rio,SAN EUGENIO,1.39803,2024-05-01
Rio,SAN FRANCISCO,0.801,2024-05-01
Rio,SAN MIGUEL,0.67729,2024-05-01
Rio,SINU URRA,0.73143,2024-05-01
Rio,SOGAMOSO,0.66712,2024-05-01
Rio,TENCHE,0.64928,2024-05-01
Rio,A. SAN LORENZO,1.67798,2024-05-02
Rio,ALTOANCHICAYA,1.50646,2024-05-02
Rio,AMOYA,0.68751,2024-05-02
Rio,BATA,0.31048,2024-05-02
Rio,BETANIA CP,0.44662,2024-05-02
Rio,BOGOTA N.R.,0.6366,2024-05-02
Rio,CALIMA,0.71887,2024-05-02
Rio,CAMPOALEGRE,1.64124,2024-05-02
Rio,CARLOS LLERAS,1.22924,2024-05-02
Rio,CAUCA SALVAJINA,1.06634,2024-05-02
Rio,CHINCHINA,0.71394,2024-05-02
Rio,CHUZA,0.30453,2024-05-02
Rio,CONCEPCION,0.68076,2024-05-02
Rio,CUCUANA,0.79371,2024-05-02
Rio,DESV. BATATAS,0.74932,2024-05-02
Rio,DESV. CHIVOR,0.27996,2024-05-02
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",0.69891,2024-05-02
Rio,DESV. GUARINO,0.16244,2024-05-02
Rio,DESV. MANSO,0.29,2024-05-02
Rio,DESV. SAN MARCOS,0.32432,2024-05-02
Rio,DIGUA,1.345,2024-05-02
Rio,EL QUIMBO,1.03469,2024-05-02
Rio,ESCUELA DE MINAS,0.47925,2024-05-02
Rio,ESTRELLA,0.435,2024-05-02
Rio,FLORIDA II,0.60258,2024-05-02
Rio,GRANDE,1.42264,2024-05-02
Rio,GUADALUPE,0.60784,2024-05-02
Rio,GUATAPE,2.83548,2024-05-02
Rio,GUAVIO,0.5132,2024-05-02
Rio,ITUANGO,0.80772,2024-05-02
Rio,MIEL I,0.92477,2024-05-02
Rio,NARE CP,0.54378,2024-05-02
Rio,PORCE III,1.10721,2024-05-02
Rio,PORCE2 CP,0.61963,2024-05-02
Rio,PRADO,0.70277,2024-05-02
Rio,QUEBRADONA,1.492,2024-05-02
Rio,SAN CARLOS,1.13492,2024-05-02
Rio,SAN EUGENIO,1.63283,2024-05-02
Rio,SAN FRANCISCO,0.82375,2024-05-02
Rio,SAN MIGUEL,0.93508,2024-05-02
Rio,SINU URRA,1.44312,2024-05-02
