Id,Name,Value,Date
Embalse,AGREGADO BOGOTA,0.52007,2024-04-29
Embalse,ALTOANCHICAYA,0.51435,2024-04-29
Embalse,AMANI,0.43089,2024-04-29
Embalse,BETANIA,0.8982,2024-04-29
Embalse,CALIMA1,0.34586,2024-04-29
Embalse,CHUZA,0.1489,2024-04-29
Embalse,EL QUIMBO,0.21734,2024-04-29
Embalse,ESMERALDA,0.15717,2024-04-29
Embalse,GUAVIO,0.14436,2024-04-29
Embalse,ITUANGO,0.17144,2024-04-29
Embalse,MUNA,0.81411,2024-04-29
Embalse,PENOL,0.33707,2024-04-29
Embalse,PLAYAS,0.57736,2024-04-29
Embalse,PORCE II,0.31225,2024-04-29
Embalse,PORCE III,0.52157,2024-04-29
Embalse,PRADO,0.31451,2024-04-29
Embalse,PUNCHINA,0.46152,2024-04-29
Embalse,RIOGRANDE2,0.28363,2024-04-29
Embalse,SALVAJINA,0.41569,2024-04-29
Embalse,SAN LORENZO,0.12724,2024-04-29
Embalse,TOPOCORO,0.29827,2024-04-29
Embalse,TRONERAS,0.45812,2024-04-29
Embalse,URRA1,0.44862,2024-04-29
Embalse,AGREGADO BOGOTA,0.52027,2024-04-30
Embalse,ALTOANCHICAYA,0.44697,2024-04-30
Embalse,AMANI,0.4374,2024-04-30
Embalse,BETANIA,0.87199,2024-04-30
Embalse,CALIMA1,0.34854,2024-04-30
Embalse,CHUZA,0.14925,2024-04-30
Embalse,EL QUIMBO,0.22547,2024-04-30
Embalse,ESMERALDA,0.16278,2024-04-30
Embalse,GUAVIO,0.15155,2024-04-30
Embalse,ITUANGO,0.17877,2024-04-30
Embalse,MUNA,0.67015,2024-04-30
Embalse,PENOL,0.33282,2024-04-30
Embalse,PLAYAS,0.70891,2024-04-30
Embalse,PORCE II,0.42224,2024-04-30
Embalse,PORCE III,0.55641,2024-04-30
Embalse,PRADO,0.32217,2024-04-30
Embalse,PUNCHINA,0.49841,2024-04-30
Embalse,RIOGRANDE2,0.28989,2024-04-30
Embalse,SALVAJINA,0.43276,2024-04-30
Embalse,SAN LORENZO,0.09027,2024-04-30
Embalse,TOPOCORO,0.31388,2024-04-30
Embalse,TRONERAS,0.38724,2024-04-30
Embalse,URRA1,0.45341,2024-04-30
Embalse,AGREGADO BOGOTA,0.52006,2024-05-01
Embalse,ALTOANCHICAYA,0.47941,2024-05-01
Embalse,AMANI,0.45412,2024-05-01
Embalse,BETANIA,0.84784,2024-05-01
Embalse,CALIMA1,0.33824,2024-05-01
Embalse,CHUZA,0.14819,2024-05-01
Embalse,EL QUIMBO,0.22875,2024-05-01
Embalse,ESMERALDA,0.16363,2024-05-01
Embalse,GUAVIO,0.16401,2024-05-01
Embalse,ITUANGO,0.18389,2024-05-01
Embalse,MUNA,0.55012,2024-05-01
Embalse,PENOL,0.33279,2024-05-01
Embalse,PLAYAS,0.88648,2024-05-01
Embalse,PORCE II,0.32732,2024-05-01
Embalse,PORCE III,0.54609,2024-05-01
Embalse,PRADO,0.32114,2024-05-01
Embalse,PUNCHINA,0.39071,2024-05-01
Embalse,RIOGRANDE2,0.28399,2024-05-01
Embalse,SALVAJINA,0.44629,2024-05-01
Embalse,SAN LORENZO,0.06947,2024-05-01
Embalse,TOPOCORO,0.32139,2024-05-01
Embalse,TRONERAS,0.41198,2024-05-01
Embalse,URRA1,0.44277,2024-05-01
Embalse,AGREGADO BOGOTA,0.51951,2024-05-02
Embalse,ALTOANCHICAYA,0.54554,2024-05-02
Embalse,AMANI,0.46104,2024-05-02
Embalse,BETANIA,0.79321,2024-05-02
Embalse,CALIMA1,0.3251,2024-05-02
Embalse,CHUZA,0.1463,2024-05-02
Embalse,EL QUIMBO,0.23424,2024-05-02
Embalse,ESMERALDA,0.16763,2024-05-02
Embalse,GUAVIO,0.16341,2024-05-02
Embalse,ITUANGO,0.19411,2024-05-02
Embalse,MUNA,0.53942,2024-05-02
Embalse,PENOL,0.3294,2024-05-02
Embalse,PLAYAS,0.84698,2024-05-02
Embalse,PORCE II,0.22846,2024-05-02
Embalse,PORCE III,0.59427,2024-05-02
Embalse,PRADO,0.3135,2024-05-02
Embalse,PUNCHINA,0.25888,2024-05-02
