Id,Code,Value,Date
Recurso,3ENA,71.73365,2024-04-29
Recurso,ALBG,71.73365,2024-04-29
Recurso,CHBG,71.73365,2024-04-29
Recurso,CHVR,70.12366,2024-04-29
Recurso,CLL1,81.8018,2024-04-29
Recurso,CLMG,71.73365,2024-04-29
Recurso,CUC1,76.11733,2024-04-29
Recurso,EPFV,71.73365,2024-04-29
Recurso,ESMR,71.73365,2024-04-29
Recurso,GE32,78.04808,2024-04-29
Recurso,GEC3,73.08612,2024-04-29
Recurso,GTPE,71.73365,2024-04-29
Recurso,GTRG,71.73365,2024-04-29
Recurso,GVIO,71.73365,2024-04-29
Recurso,GYPO,42.75516,2024-04-29
Recurso,HMIN,71.73365,2024-04-29
Recurso,HMLG,71.73365,2024-04-29
Recurso,JAGS,71.73365,2024-04-29
Recurso,LTSJ,71.73365,2024-04-29
Recurso,MATA,42.75516,2024-04-29
Recurso,MOY1,76.80478,2024-04-29
Recurso,MRL1,71.73365,2024-04-29
Recurso,PES1,79.1277,2024-04-29
Recurso,PGUG,71.73365,2024-04-29
Recurso,PLYS,71.73365,2024-04-29
Recurso,PPA1,71.73365,2024-04-29
Recurso,PPA2,71.73365,2024-04-29
Recurso,PPA3,71.73365,2024-04-29
Recurso,PPA4,71.73365,2024-04-29
Recurso,PRC2,71.73365,2024-04-29
Recurso,PRC3,71.73365,2024-04-29
Recurso,PRDO,71.73365,2024-04-29
Recurso,PRG1,71.73365,2024-04-29
Recurso,QUI1,76.50252,2024-04-29
Recurso,SLVJ,71.73365,2024-04-29
Recurso,SMI1,81.8018,2024-04-29
Recurso,SNCR,71.73365,2024-04-29
Recurso,SNFR,71.73365,2024-04-29
Recurso,SOG1,78.56887,2024-04-29
Recurso,TBQ3,78.03499,2024-04-29
Recurso,TBQ4,78.04808,2024-04-29
Recurso,TBST,77.78065,2024-04-29
Recurso,TCDT,75.24833,2024-04-29
Recurso,TDR1,71.73365,2024-04-29
Recurso,TEC1,71.73365,2024-04-29
Recurso,TFL1,77.85106,2024-04-29
Recurso,TFL4,77.98815,2024-04-29
Recurso,TGJ1,71.73365,2024-04-29
Recurso,TGJ2,71.73365,2024-04-29
Recurso,TRN1,76.85472,2024-04-29
Recurso,TSJ1,71.73365,2024-04-29
Recurso,TSJ2,81.18007,2024-04-29
Recurso,TSR1,71.73365,2024-04-29
Recurso,TVL1,71.73365,2024-04-29
Recurso,TYP2,71.73365,2024-04-29
Recurso,TYP3,71.73365,2024-04-29
Recurso,TYP4,71.73365,2024-04-29
Recurso,TYP5,71.73365,2024-04-29
Recurso,URA1,71.73365,2024-04-29
Recurso,ZPA2,71.73365,2024-04-29
Recurso,ZPA3,71.73365,2024-04-29
Recurso,ZPA4,71.73365,2024-04-29
Recurso,ZPA5,71.73365,2024-04-29
Recurso,3ENA,70.77295,2024-04-30
Recurso,ALBG,70.77295,2024-04-30
