Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2QEK,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,2024-04-29
Recurso,3ENA,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,1003.79101,2024-04-29
Recurso,3IRX,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,100.00001,2024-04-29
Recurso,ALBG,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,85.27505,2024-04-29
Recurso,CHBG,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,2024-04-29
Recurso,CHVR,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,180.719,2024-04-29
Recurso,CLL1,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,2024-04-29
Recurso,CLMG,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,2024-04-29
Recurso,CTG1,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,1710.152,2024-04-29
Recurso,CTG2,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,1710.151,2024-04-29
Recurso,CTG3,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,1463.352,2024-04-29
Recurso,CUC1,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,87.275,2024-04-29
Recurso,DVS1,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,2024-04-29
