Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2QEK,,97.95,109.8,101.95,101.22,109.14,30.35,,20.35,23.73,115.56,116.98,113.51,93.25,70.89,45.63,47.63,109.32,97.58,134.32,137.59,150.08,129.96,104.97,2024-04-29
Recurso,ALBG,196275.0,180669.0,180936.0,177724.0,56439.0,15926.0,16806.0,16729.0,16972.0,14016.0,10835.0,5517.0,4879.0,4755.0,4598.0,4850.0,4687.0,4589.0,4408.0,4595.0,4829.0,4930.0,6592.0,7807.0,2024-04-29
Recurso,CHBG,,144736.81,419537.94,419509.05,419463.41,419550.5,419565.54,419514.42,419590.64,419465.32,419496.35,419483.13,419468.41,248964.42,77780.16,1348.23,,,,,,,67095.42,152287.47,2024-04-29
Recurso,CHVR,,,,,,,,,,,,,,,,145021.25,435843.89,369020.96,805000.0,805000.0,805000.0,536799.21,,,2024-04-29
Recurso,CLL1,833.99,301.64,,,,2919.78,,,,,,,,,,,,4795.99,4766.29,4197.78,3849.44,3817.54,3752.45,3795.44,2024-04-29
Recurso,CLMG,,,,,,21660.75,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,97306.86,49382.15,114111.54,132000.0,132000.0,132000.0,2024-04-29
Recurso,CUC1,17989.84,17991.21,17998.22,17993.76,17991.2,25146.26,16848.52,16843.99,16857.71,16849.43,16863.9,16867.55,16859.62,16868.0,7533.71,,,18509.7,18674.97,18692.73,18681.95,18696.14,18684.84,18680.46,2024-04-29
Recurso,DVS1,,1616.89,1649.67,1640.85,1628.46,1666.9,1633.78,1628.47,1674.17,1637.43,1658.43,1642.08,1943.29,2343.67,2337.47,2344.78,2347.5,2320.21,2290.97,2328.39,2333.18,2358.2,2336.45,2258.2,2024-04-29
Recurso,EPFV,,,,,,,,,,,,,,,9179.89,33491.13,41932.86,14787.43,,,,,,,2024-04-29
Recurso,ESMR,,,,,,,,5.57,3.32,,,,,,,,,,,,,,,,2024-04-29
Recurso,GTPE,560000.0,560000.0,551168.0,509336.0,493760.0,197408.0,90152.0,110288.0,3632.0,4280.0,4832.0,5288.0,5336.0,6128.0,6800.0,7328.0,7952.0,8288.0,8792.0,10136.0,10448.0,9176.0,9944.0,9968.0,2024-04-29
Recurso,GTRG,6440.0,6810.0,7090.0,6590.0,6970.0,7060.0,6350.0,3560.0,2500.0,1490.0,,,3140.0,1530.0,1530.0,1560.0,1560.0,1530.0,1250.0,1740.0,1650.0,1580.0,1950.0,1740.0,2024-04-29
Recurso,GVIO,,,,,,,,,83660.71,120717.73,368144.84,566939.48,401844.31,770713.94,863381.73,863330.21,863203.71,862166.01,803868.51,804323.63,804107.13,894530.69,924000.0,589966.61,2024-04-29
Recurso,HMIN,909.29,920.54,1138.82,1415.56,1686.04,1934.41,2896.9,3158.96,5538.47,6490.73,8804.7,11057.36,12919.27,15040.6,,,,,,,,,,,2024-04-29
Recurso,HMLG,,,,,,,12532.27,179605.18,306865.24,306537.76,306383.3,306341.33,306364.35,306386.63,306346.55,306381.94,306364.05,306336.67,306294.82,306385.32,306404.84,306451.96,306446.48,306414.98,2024-04-29
Recurso,JAGS,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,140000.0,2024-04-29
Recurso,LTSJ,267995.91,306000.0,306000.0,306000.0,306000.0,300499.99,285026.67,259616.67,115773.37,3133.39,3536.73,4343.39,4306.72,4343.39,3463.39,3390.05,3096.72,2510.05,1483.39,1630.06,1410.05,1080.06,676.72,86440.05,2024-04-29
Recurso,MOY1,,,,,,,304.55,1957.28,3878.36,5340.99,6703.08,8320.48,9605.99,10857.2,123.25,1451.36,2600.99,3618.82,,,,,,,2024-04-29
Recurso,PES1,7202.71,7732.17,7828.81,7922.94,7671.06,7878.31,8049.4,7822.77,8132.3,6988.96,4008.67,3807.8,3830.72,3736.77,3611.98,3907.71,4742.12,4659.14,4203.38,4800.14,5209.09,5000.01,5015.19,4638.41,2024-04-29
Recurso,PGUG,10159.44,3667.85,248.94,317.06,,339.92,512.72,102.9,446.99,98.72,69.89,,168.83,173.18,165.15,430.11,418.34,115.15,,411.92,403.93,392.09,614.35,23866.06,2024-04-29
Recurso,PLYS,,,,,,,,,,,,,,,123928.72,201000.0,201000.0,201000.0,201000.0,201000.0,201000.0,201000.0,186421.73,,2024-04-29
Recurso,PRC2,,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,325604.0,17542.0,91832.0,41094.0,10596.0,11286.0,11194.0,11378.0,11194.0,11562.0,11470.0,11286.0,11240.0,254442.0,2024-04-29
Recurso,PRC3,79586.65,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,3667.38,1463.97,1547.37,200000.0,200000.0,200000.0,2024-04-29
Recurso,PRDO,,,,,,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,44999.47,45000.0,40301.79,,31496.86,45000.0,45000.0,45000.0,2024-04-29
Recurso,QUI1,,,28.43,93.51,,41.8,76.99,,96.0,47.23,7.17,,,,,67.66,44.83,19.28,115613.94,210063.26,108437.28,69.98,63.73,,2024-04-29
Recurso,SLVJ,,,,,172.61,,,,39.55,,,,,,,,,,,44.82,100.72,232.1,,,2024-04-29
Recurso,SMI1,,,,,584.86,4023.41,5723.27,8561.16,,,,,231.25,1163.72,1643.12,2722.99,3634.59,3613.07,4154.28,4623.92,4714.53,,,,2024-04-29
Recurso,SNCR,,,112406.47,339740.48,696204.45,1190000.0,1190000.0,1190000.0,1190000.0,1190000.0,1190000.0,1190000.0,1190000.0,1190000.0,1106355.0,930919.13,603748.67,653488.79,667857.9,460000.0,471390.0,499837.72,1037768.88,1081446.18,2024-04-29
Recurso,SOG1,,,46.05,25.61,,68.6,66.31,,100.67,,13.44,,,,,21.38,,,,122046.74,17.32,178.05,74.32,40.13,2024-04-29
Recurso,TFL1,6433.07,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,TYP4,546.02,546.2,560.88,541.43,444.48,750.42,914.49,904.94,1013.3,1133.43,381.79,644.36,968.74,970.54,1253.2,1202.61,733.56,475.44,1346.55,1394.62,2284.12,2166.11,2085.91,2000.08,2024-04-29
Recurso,2QEK,,93.43,105.63,100.1,94.48,105.17,111.19,106.59,119.05,,,,,,,,,,,1028.77,773.0,1397.02,3642.92,3611.85,2024-04-30
Recurso,3IRX,,,,,,,,,,,,,,,,,461.82,,,,,,,,2024-04-30
Recurso,ALBG,15626.0,15783.0,16229.0,16503.0,16497.0,16672.0,16675.0,16586.0,16509.0,16340.0,14916.0,14970.0,12970.0,10574.0,8102.0,7677.0,7707.0,10641.0,11457.0,11424.0,11549.0,11771.0,11956.0,11759.0,2024-04-30
Recurso,CHBG,,,,,,,,13906.28,4171.13,4072.27,2266.77,4327.86,4096.45,4171.11,4900.35,13929.63,9450.41,1032.02,,62104.04,,4863.13,3691.62,1219.4,2024-04-30
Recurso,CHVR,,,,,,190392.69,220335.05,55066.35,151526.84,359887.32,794956.14,795079.61,794949.86,794967.82,794918.06,798027.62,805000.0,805000.0,773817.1,771276.25,777666.9,805000.0,805000.0,805000.0,2024-04-30
Recurso,CLL1,,,,3444.94,,,,,,208.38,3135.16,1018.82,1505.52,1488.65,,,1856.13,1837.81,1358.88,,492.67,,,,2024-04-30
Recurso,CLMG,,,,,,,,,,,,,,,,,,,132000.0,69366.15,132000.0,,,,2024-04-30
Recurso,CUC1,18667.74,18673.57,18689.0,18683.49,18685.23,24161.13,18786.3,18691.46,18692.45,18698.66,18610.53,18713.41,18702.8,20082.91,21140.58,21093.85,21087.48,21222.52,21026.76,20963.28,20165.39,18636.1,18652.7,19201.93,2024-04-30
Recurso,DVS1,,1268.88,1303.8,1256.54,1261.03,1306.47,1303.12,1340.73,1536.48,3022.83,2810.29,3047.14,3009.42,3025.58,2944.77,2987.63,2999.4,2960.72,2413.25,2311.6,2406.05,2396.51,2059.33,1887.23,2024-04-30
Recurso,EPFV,,,,,,,,,,,,,,3417.55,32603.69,20323.57,27061.6,,,,,,,,2024-04-30
Recurso,ESMR,,1012.9,1075.21,640.25,,,,,,,,,,,,,,,,,,,,,2024-04-30
Recurso,GTPE,11304.0,10160.0,36000.0,10928.0,8762.0,2576.0,3248.0,4424.0,4496.0,4520.0,2168.0,4376.0,4088.0,4160.0,3008.0,2504.0,2552.0,2048.0,1544.0,800.0,1232.0,1328.0,1808.0,1352.0,2024-04-30
Recurso,GTRG,1480.0,1920.0,1890.0,1830.0,1890.0,1920.0,1580.0,1800.0,1860.0,1740.0,30.0,1270.0,590.0,620.0,440.0,110.0,20.0,,,,,,680.0,224440.0,2024-04-30
Recurso,GVIO,,,65385.23,95670.34,602551.11,924000.0,924000.0,924000.0,924000.0,924000.0,924000.0,924000.0,924000.0,924000.0,924000.0,831764.19,592012.27,592398.64,254657.12,291352.25,417322.28,716549.49,924000.0,924000.0,2024-04-30
Recurso,HMIN,,,,,,,,,,,,,38.83,,291.84,285.88,328.43,669.99,705.56,1131.19,203.95,574.49,714.3,701.83,2024-04-30
Recurso,HMLG,,87528.87,311463.73,311424.36,311419.21,311453.18,311451.65,311413.6,311419.64,311394.13,310915.88,311468.53,311397.37,311454.19,181608.72,3810.32,3168.88,2931.43,11912.79,77602.71,147462.74,311365.66,311474.82,311342.36,2024-04-30
Recurso,JAGS,4277.43,1310.2,1393.19,1396.85,1419.67,1471.51,1501.94,1505.68,1510.58,1538.92,1461.19,2523.54,1974.27,2014.54,1973.52,1955.1,2013.24,2028.97,2050.67,2019.95,2106.43,2154.86,2212.84,2168.61,2024-04-30
Recurso,LTSJ,,306000.0,306000.0,306000.0,306000.0,306000.0,306000.0,306000.0,306000.0,306000.0,306000.0,73166.71,95020.05,34923.39,530.06,346.72,346.73,456.71,,,,25976.73,288730.01,306000.0,2024-04-30
Recurso,MOY1,,,,,,506.41,734.19,2117.87,3673.32,5258.94,7003.87,7851.5,8914.22,10344.8,11940.04,,,,368.4,1481.09,2464.72,2516.55,2625.64,2452.57,2024-04-30
Recurso,PES1,4480.91,4775.22,4933.33,4899.73,4729.33,4760.51,5182.96,1828.93,4732.37,4611.55,1002.2,4815.34,4593.62,4845.58,3197.09,2092.36,2008.63,1442.83,23.03,,,,815.83,,2024-04-30
Recurso,PGUG,145943.16,146147.97,291578.02,296580.01,303426.57,131408.4,42596.33,164828.75,52577.26,66871.13,8972.07,5129.74,4835.75,5177.36,4053.78,3601.87,3671.14,3199.05,2754.06,1921.6,2494.65,2548.53,3066.67,173186.37,2024-04-30
Recurso,PLYS,2890.0,2960.0,3030.0,2980.0,3030.0,3040.0,3100.0,3040.0,3070.0,3010.0,2480.0,3100.0,2980.0,3080.0,2810.0,2610.0,2620.0,2510.0,2260.0,2010.0,2180.0,2270.0,2420.0,49050.0,2024-04-30
