Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2QEK,,9341.83,10691.61,9927.23,9856.14,10736.48,3076.69,,2083.3,2429.32,11830.28,11975.65,11620.41,9546.33,7966.16,8354.51,8720.69,20015.67,18771.8,29869.21,26468.67,27478.52,14604.06,10746.14,2024-04-29
Recurso,ALBG,17769458.1,17231030.63,17618367.35,17305603.74,5495661.64,1566695.99,1703682.65,1695876.89,1737482.64,1434866.65,1109216.62,564794.47,499480.19,486785.88,516693.25,887998.51,858154.44,840211.37,847982.28,1021806.12,928971.52,902645.91,740765.96,799229.73,2024-04-29
Recurso,CHBG,,13804052.75,40851867.75,40849054.63,40844610.51,41272641.26,42532817.42,42527635.21,42954952.53,42942123.09,42945299.74,42943946.36,42942439.42,25487353.21,8740426.98,246850.77,,,,,,,7539745.6,15590197.73,2024-04-29
Recurso,CHVR,,,,,,,,,,,,,,,,26552299.81,79799737.2,67564961.46,154860648.6,179010648.6,154860648.6,98283896.76,,,2024-04-29
Recurso,CLL1,75504.01,28768.46,,,,287228.91,,,,,,,,,,,,878109.69,916907.78,933474.93,740530.16,698962.85,421675.85,388552.39,2024-04-29
Recurso,CLMG,,,,,,2130843.28,13381298.9,13381298.9,13513298.9,13513298.9,13513298.9,13513298.9,13513298.9,13513298.9,14833298.9,24168206.9,24168206.9,24168206.9,18719258.95,10981280.37,21952033.66,24168206.9,14833298.9,13513298.9,2024-04-29
Recurso,CUC1,1628682.76,1715884.24,1752549.25,1752114.97,1751865.69,2473725.02,1707993.05,1707533.82,1725782.38,1724934.73,1726416.07,1726789.73,1725977.91,1726835.8,846589.18,,,3388986.81,3592568.9,4156767.36,3593911.67,3423122.57,2099680.43,1912383.63,2024-04-29
Recurso,DVS1,,154208.42,160634.1,159775.27,158568.81,163978.75,165621.96,165083.67,171390.6,167629.4,169779.24,168105.44,198941.35,239929.65,262669.63,429311.58,429809.59,424812.99,440721.86,517772.18,448841.95,431768.68,262555.01,231179.78,2024-04-29
Recurso,EPFV,,,,,,,,,,,,,,,1031576.15,6131973.93,7677591.19,2707467.18,,,,,,,2024-04-29
Recurso,ESMR,,,,,,,,564.65,339.88,,,,,,,,,,,,,,,,2024-04-29
Recurso,GTPE,50698746.85,53409146.85,53669144.31,49595817.04,48079127.77,19419711.25,9139021.66,11180277.98,371820.47,438158.48,494668.64,541350.94,546264.87,627344.66,764139.64,1341701.67,1455951.37,1517470.45,1691347.61,2253977.56,2009918.08,1680056.56,1117441.85,1020458.81,2024-04-29
Recurso,GTRG,583035.59,649493.38,690377.95,641691.21,678693.13,694516.74,643721.58,360889.58,255933.69,152536.48,,,321452.72,156631.42,171931.42,285624.26,285624.26,280131.49,240466.85,386929.85,317416.24,289286.11,219128.28,178129.85,2024-04-29
Recurso,GVIO,,,,,,,,,8564637.73,12358293.7,37688267.14,58039565.55,41138199.04,78900665.44,97021206.57,158069266.21,158046105.01,157856109.95,154642979.94,178860241.85,154688884.1,163781839.36,103833092.31,60396932.9,2024-04-29
Recurso,HMIN,82321.18,87795.1,110890.86,137838.0,164175.58,190294.64,293668.82,320234.76,566992.43,664478.6,901367.75,1131980.38,1322590.58,1539758.51,,,,,,,,,,,2024-04-29
Recurso,HMLG,,,,,,,1270439.78,18207201.5,31414861.44,31381336.18,31365523.57,31361226.96,31363583.59,31365864.47,34425226.84,56096228.16,56092952.63,56087939.56,58922999.36,68131968.76,58944164.29,56109048.29,34436456.33,31368766.76,2024-04-29
Recurso,JAGS,12674686.71,13352286.71,13632286.71,13632286.71,13632286.71,13772286.71,14192286.71,14192286.71,14332286.71,14332286.71,14332286.71,14332286.71,14332286.71,14332286.71,15732286.71,25632946.71,25632946.71,25632946.71,26932286.71,31132286.71,26932286.71,25632946.71,15732286.71,14332286.71,2024-04-29
Recurso,LTSJ,24262601.43,29184283.82,29796283.82,29796283.82,29796283.82,29561228.71,28894144.44,26318244.4,11852122.38,320776.03,362067.35,444647.93,440893.9,444647.93,389193.17,620692.65,566986.13,459571.27,285364.89,362482.11,271256.22,197750.86,76045.38,8849168.43,2024-04-29
Recurso,MOY1,,,,,,,30873.29,198416.28,397041.2,546775.71,686217.6,851796.46,983398.59,1111489.31,13850.03,265733.1,476221.7,662578.72,,,,,,,2024-04-29
Recurso,PES1,652086.38,737443.93,762318.45,771484.21,746957.78,775016.74,815995.66,793021.39,832531.82,715484.13,410381.48,389817.72,392164.12,382546.14,405890.75,715472.3,868246.49,853053.48,808618.82,1067423.82,1002090.75,915464.21,563574.34,474850.16,2024-04-29
Recurso,PGUG,919769.42,349815.61,24240.15,30873.23,,33439.11,51976.21,10431.33,45759.92,10106.31,7154.88,,17283.71,17729.04,18558.48,78749.91,76594.91,21083.1,,91600.08,77705.42,71788.73,69036.65,2443251.53,2024-04-29
Recurso,PLYS,,,,,,,,,,,,,,,13926301.11,36801587.78,36801587.78,36801587.78,38667068.78,44697068.78,38667068.78,36801587.78,20948857.9,,2024-04-29
Recurso,PRC2,,38626257.99,39436257.99,39436257.99,39436257.99,39841257.99,41056257.99,41056257.99,41461257.99,41461257.99,33333213.45,1795835.53,9401161.1,4206935.64,1190709.36,2066381.69,2049537.18,2083226.2,2153428.7,2571082.14,2206523.78,2066381.69,1263077.88,26048112.11,2024-04-29
Recurso,PRC3,7205256.11,19074695.3,19474695.3,19474695.3,19474695.3,19674695.3,20274695.3,20274695.3,20474695.3,20474695.3,20474695.3,20474695.3,20474695.3,20474695.3,22474695.3,36618495.3,36618495.3,36618495.3,705506.64,325548.1,297672.95,36618495.3,22474695.3,20474695.3,2024-04-29
Recurso,PRDO,,,,,,4426806.44,4561806.44,4561806.44,4606806.44,4606806.44,4606806.44,4606806.44,4606806.44,4606806.44,5056806.44,8239161.44,8239064.4,8239161.44,7752995.45,,6059160.46,8239161.44,5056806.44,4606806.44,2024-04-29
Recurso,QUI1,,,2768.33,9105.39,,4112.01,7804.74,,9827.85,4835.1,734.02,,,,,12388.04,8208.04,3530.02,22241055.57,46712497.42,20860456.54,12812.81,7161.56,,2024-04-29
Recurso,SLVJ,,,,,16807.64,,,,4048.87,,,,,,,,,,,9966.78,19375.86,42495.76,,,2024-04-29
Recurso,SMI1,,,,,56949.85,395796.83,580187.78,867874.55,,,,,23673.87,119134.06,184643.11,498558.98,665466.08,661525.93,799173.29,1028237.17,906950.53,,,,2024-04-29
Recurso,SNCR,,,10945408.77,33081711.65,67791847.67,117064437.06,120634437.06,120634437.06,121824437.06,121824437.06,121824437.06,121824437.06,121824437.06,121824437.06,124324957.62,170444288.96,110541839.19,119648880.94,128478146.05,102291799.2,90682933.1,91516526.02,116617696.87,110711405.12,2024-04-29
Recurso,SOG1,,,4484.05,2493.73,,6748.42,6722.08,,10305.94,,1375.9,,,,,3914.52,,,,27139957.87,3331.91,32599.62,8351.6,4108.25,2024-04-29
Recurso,TFL1,582408.19,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,TYP4,49433.09,52092.99,54614.84,52720.92,43280.56,73821.42,92705.03,91736.91,103735.04,116033.17,39085.17,65965.37,99173.28,99357.55,140826.44,220188.84,134309.32,87049.49,259040.5,310126.5,439404.11,396598.44,234400.96,204755.14,2024-04-29
Recurso,2QEK,,9471.32,10813.71,10247.59,9672.25,11325.49,11973.77,11478.41,12820.19,,,,,,,,,,,228771.16,171894.7,163973.09,409367.59,388951.01,2024-04-30
