Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,2QEK,3159868.2,,,,,,,4188.75,,,,,,,,,,,,,,,,,2024-04-29
Recurso,3IRX,,,,,,,457414.36,1467844.35,2028404.52,3745938.67,4634757.47,8577415.99,9189691.28,5812952.32,1994547.18,4050683.02,2988072.88,248275.23,,,,,,,2024-04-29
Recurso,CHBG,56109.03,,,,,,,,,,,,,,,,,110413.92,604158.52,559809.66,853389.9,762289.05,,,2024-04-29
Recurso,CHVR,,,,,,,13556.68,1017446.05,2084396.67,555959.64,,,,,,,,,,,,,,,2024-04-29
Recurso,CLL1,,,106633.69,256155.54,762354.47,,107458.93,65981.97,262277.78,678459.74,46483.7,71877.44,,,,4042769.77,4050538.38,,,,,,,,2024-04-29
Recurso,DVS1,7098113.36,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,EPFV,,,,,,34902.91,239534.37,1399611.89,4055134.21,1441878.21,1100612.13,1525707.75,980114.45,204278.08,,,,,,,,,,,2024-04-29
Recurso,ESMR,93396.15,91755.96,92791.08,92951.75,93681.07,93541.37,8778.94,,,109749.49,109594.9,109830.36,197386.3,199377.46,218986.69,355159.12,354789.28,355466.72,21188.01,11112.0,9993.8,350614.77,216225.67,140989.78,2024-04-29
Recurso,GEC3,5780775.84,12948566.87,16421835.57,21226943.58,37835420.7,37734138.06,37721289.53,37728525.87,37682637.25,37692436.65,37619262.39,37624625.63,37649476.23,37633040.36,37600531.38,37661729.64,37650638.03,37614010.6,37717500.65,37630299.47,37717742.49,38008855.68,37907402.33,37963398.59,2024-04-29
Recurso,GTRG,,,,,,,,,,,97254.8,70637.7,,,,,,,,,,,,,2024-04-29
Recurso,GVIO,,,,,,,153517.97,6111313.21,,,,,,,,,,,,,,,,,2024-04-29
Recurso,HMIN,,,,,,,,,,,,,,,942687.61,1327975.23,1148090.53,1012862.09,1068224.91,1156273.14,850119.55,678249.6,813282.81,699689.95,2024-04-29
Recurso,HMLG,12901.02,9919.8,5372.09,6417.89,7095.61,496.79,,,,,,,,,,,,,,,,,,,2024-04-29
Recurso,MOY1,222293.18,227168.18,230088.66,230063.34,234761.61,220328.06,,,,,,,,,,,,,1543354.69,2480464.94,5298833.15,5185711.73,3180467.18,2909765.42,2024-04-29
Recurso,PGUG,,,,,1312.59,,,,,,,5888.52,,,,,,,37258.89,,,,,,2024-04-29
Recurso,PLYS,,,,,,,,,,,,,,,,,,,,,,,,6847761.84,2024-04-29
