Id,Code,Value,Date
Recurso,2ZP9,26.50378,2024-04-29
Recurso,3ACC,27.04811,2024-04-29
Recurso,3B4L,24.14828,2024-04-29
Recurso,3EBN,30.00517,2024-04-29
Recurso,3EDL,26.56759,2024-04-29
Recurso,3EFY,26.86759,2024-04-29
Recurso,3EV1,27.94897,2024-04-29
Recurso,3EV3,27.16276,2024-04-29
Recurso,3IRX,27.83241,2024-04-29
Recurso,3J2B,26.9393,2024-04-29
Recurso,3J4D,31.26314,2024-04-29
Recurso,3J4T,25.04,2024-04-29
Recurso,3J4V,30.66459,2024-04-29
Recurso,3K6T,26.07,2024-04-29
Recurso,EPFV,31.18786,2024-04-29
Recurso,TR2G,28.31098,2024-04-29
Recurso,TR3G,28.62425,2024-04-29
Recurso,2ZP9,29.58116,2024-04-30
Recurso,3ACC,27.3135,2024-04-30
Recurso,3B4L,24.15241,2024-04-30
Recurso,3EBN,31.87724,2024-04-30
Recurso,3EDL,30.55172,2024-04-30
Recurso,3EFY,30.85172,2024-04-30
Recurso,3EV1,31.04759,2024-04-30
Recurso,3EV3,30.33448,2024-04-30
Recurso,3IRX,30.53862,2024-04-30
Recurso,3J2B,26.9181,2024-04-30
Recurso,3J4D,32.71476,2024-04-30
Recurso,3J4T,25.04,2024-04-30
Recurso,3J4V,32.93335,2024-04-30
Recurso,3K6T,27.17276,2024-04-30
Recurso,EPFV,30.90791,2024-04-30
Recurso,TR2G,31.41877,2024-04-30
Recurso,TR3G,31.69707,2024-04-30
Recurso,2ZP9,28.02447,2024-05-01
Recurso,3ACC,28.08388,2024-05-01
Recurso,3B4L,25.00621,2024-05-01
Recurso,3EBN,31.16701,2024-05-01
Recurso,3EDL,28.13586,2024-05-01
Recurso,3EFY,28.43586,2024-05-01
Recurso,3EV1,26.45208,2024-05-01
Recurso,3EV3,25.89792,2024-05-01
Recurso,3IRX,27.61379,2024-05-01
Recurso,3J2B,27.23346,2024-05-01
Recurso,3J4D,32.73624,2024-05-01
Recurso,3J4T,24.72722,2024-05-01
Recurso,3J4V,31.45812,2024-05-01
Recurso,3K6T,28.97861,2024-05-01
Recurso,EPFV,32.69682,2024-05-01
Recurso,TR2G,30.05711,2024-05-01
Recurso,TR3G,30.19051,2024-05-01
Recurso,2ZP9,27.75835,2024-05-02
Recurso,3ACC,26.8971,2024-05-02
Recurso,3B4L,23.89103,2024-05-02
Recurso,3EBN,30.21552,2024-05-02
Recurso,3EDL,27.79241,2024-05-02
Recurso,3EFY,28.09241,2024-05-02
Recurso,3EV1,28.42483,2024-05-02
Recurso,3EV3,27.97931,2024-05-02
Recurso,3IRX,28.15034,2024-05-02
Recurso,3J2B,25.50868,2024-05-02
Recurso,3J4D,31.99258,2024-05-02
Recurso,3J4T,29.34,2024-05-02
Recurso,3J4V,32.71826,2024-05-02
Recurso,3K6T,34.62,2024-05-02
Recurso,EPFV,28.65936,2024-05-02
Recurso,TR2G,29.80833,2024-05-02
Recurso,TR3G,29.95243,2024-05-02
Recurso,2ZP9,27.62004,2024-05-03
Recurso,3ACC,26.21291,2024-05-03
Recurso,3B4L,23.81103,2024-05-03
Recurso,3EBN,29.61493,2024-05-03
Recurso,3EDL,28.50345,2024-05-03
Recurso,3EFY,28.80345,2024-05-03
Recurso,3EV1,29.87604,2024-05-03
Recurso,3EV3,29.31528,2024-05-03
Recurso,3IRX,30.9331,2024-05-03
Recurso,3J2B,26.21473,2024-05-03
Recurso,3J4D,31.6438,2024-05-03
Recurso,3J4R,26.26018,2024-05-03
Recurso,3J4T,25.90653,2024-05-03
Recurso,3J4V,31.91586,2024-05-03
Recurso,3K6T,31.34306,2024-05-03
Recurso,EPFV,30.80649,2024-05-03
Recurso,TR2G,29.42343,2024-05-03
Recurso,TR3G,29.75001,2024-05-03
Recurso,2ZP9,26.37277,2024-05-04
Recurso,3ACC,26.83533,2024-05-04
Recurso,3B4L,13.26,2024-05-04
Recurso,3EBN,27.24069,2024-05-04
Recurso,3EDL,26.63379,2024-05-04
Recurso,3EFY,26.93379,2024-05-04
Recurso,3EV1,25.68793,2024-05-04
Recurso,3EV3,25.39379,2024-05-04
Recurso,3IRX,25.80759,2024-05-04
Recurso,3J2B,24.96759,2024-05-04
Recurso,3J4D,28.85573,2024-05-04
Recurso,3J4R,26.73,2024-05-04
Recurso,3J4T,26.91,2024-05-04
Recurso,3J4V,30.31671,2024-05-04
Recurso,3K6T,29.6,2024-05-04
Recurso,EPFV,26.49995,2024-05-04
Recurso,TR2G,28.25567,2024-05-04
Recurso,TR3G,28.23762,2024-05-04
Recurso,2ZP9,26.20372,2024-05-05
Recurso,3ACC,26.72909,2024-05-05
Recurso,3B4L,23.26828,2024-05-05
Recurso,3EBN,29.05679,2024-05-05
Recurso,3EDL,26.94414,2024-05-05
Recurso,3EFY,27.24414,2024-05-05
Recurso,3EV1,29.73821,2024-05-05
Recurso,3EV3,28.98071,2024-05-05
Recurso,3IRX,29.52828,2024-05-05
Recurso,3J2B,27.10026,2024-05-05
Recurso,3J4D,30.75852,2024-05-05
Recurso,3J4R,26.73,2024-05-05
Recurso,3J4T,26.91,2024-05-05
Recurso,3J4V,30.26094,2024-05-05
Recurso,3K6T,29.65035,2024-05-05
Recurso,EPFV,31.37705,2024-05-05
Recurso,TR2G,27.81512,2024-05-05
Recurso,TR3G,28.04692,2024-05-05
