Id,Code,Value,Date
Recurso,2ZP9,41.24178,2024-04-29
Recurso,3ACC,40.23849,2024-04-29
Recurso,3B4L,30.47586,2024-04-29
Recurso,3EBN,45.87517,2024-04-29
Recurso,3EDL,39.27085,2024-04-29
Recurso,3EFY,38.64877,2024-04-29
Recurso,3EV1,8.08759,2024-04-29
Recurso,3EV3,51.40966,2024-04-29
Recurso,3IRX,37.71221,2024-04-29
Recurso,3J2B,34.57717,2024-04-29
Recurso,3J4D,43.82973,2024-04-29
Recurso,3J4T,41.44531,2024-04-29
Recurso,3J4V,33.22676,2024-04-29
Recurso,3K6T,36.76,2024-04-29
Recurso,EPFV,48.48555,2024-04-29
Recurso,TR2G,40.48194,2024-04-29
Recurso,TR3G,41.16387,2024-04-29
Recurso,2ZP9,50.25428,2024-04-30
Recurso,3ACC,41.67263,2024-04-30
Recurso,3B4L,30.4531,2024-04-30
Recurso,3EBN,51.22155,2024-04-30
Recurso,3EDL,47.48079,2024-04-30
Recurso,3EFY,47.51934,2024-04-30
Recurso,3EV1,4.90759,2024-04-30
Recurso,3EV3,55.58241,2024-04-30
Recurso,3IRX,42.67145,2024-04-30
Recurso,3J2B,32.59839,2024-04-30
Recurso,3J4D,48.20947,2024-04-30
Recurso,3J4T,44.20766,2024-04-30
Recurso,3J4V,45.60392,2024-04-30
Recurso,3K6T,37.17014,2024-04-30
Recurso,EPFV,48.71468,2024-04-30
Recurso,TR2G,48.67663,2024-04-30
Recurso,TR3G,48.58615,2024-04-30
Recurso,2ZP9,41.38182,2024-05-01
Recurso,3ACC,42.45118,2024-05-01
Recurso,3B4L,32.17379,2024-05-01
Recurso,3EBN,49.37778,2024-05-01
Recurso,3EDL,40.06006,2024-05-01
Recurso,3EFY,38.91029,2024-05-01
Recurso,3EV1,13.79028,2024-05-01
Recurso,3EV3,46.39965,2024-05-01
Recurso,3IRX,32.20414,2024-05-01
Recurso,3J2B,33.52263,2024-05-01
Recurso,3J4D,44.6634,2024-05-01
Recurso,3J4T,40.29347,2024-05-01
Recurso,3J4V,40.07913,2024-05-01
Recurso,3K6T,42.59653,2024-05-01
Recurso,EPFV,51.26202,2024-05-01
Recurso,TR2G,41.04146,2024-05-01
Recurso,TR3G,41.19739,2024-05-01
Recurso,2ZP9,40.62345,2024-05-02
Recurso,3ACC,39.55868,2024-05-02
Recurso,3B4L,29.76276,2024-05-02
Recurso,3EBN,45.05741,2024-05-02
Recurso,3EDL,37.99497,2024-05-02
Recurso,3EFY,38.47316,2024-05-02
Recurso,3EV1,28.58414,2024-05-02
Recurso,3EV3,51.27862,2024-05-02
Recurso,3IRX,33.37876,2024-05-02
Recurso,3J2B,29.42169,2024-05-02
Recurso,3J4D,39.90482,2024-05-02
Recurso,3J4T,40.96076,2024-05-02
Recurso,3J4V,40.62136,2024-05-02
Recurso,3K6T,36.37448,2024-05-02
Recurso,EPFV,42.1388,2024-05-02
Recurso,TR2G,40.27106,2024-05-02
Recurso,TR3G,39.44225,2024-05-02
Recurso,2ZP9,38.67092,2024-05-03
Recurso,3ACC,37.52753,2024-05-03
Recurso,3B4L,29.12483,2024-05-03
Recurso,3EBN,43.72274,2024-05-03
Recurso,3EDL,40.0431,2024-05-03
Recurso,3EFY,39.2727,2024-05-03
Recurso,3EV1,57.56944,2024-05-03
Recurso,3EV3,52.12813,2024-05-03
Recurso,3IRX,42.29103,2024-05-03
Recurso,3J2B,30.52546,2024-05-03
Recurso,3J4D,40.41173,2024-05-03
Recurso,3J4R,39.83768,2024-05-03
Recurso,3J4T,34.89403,2024-05-03
Recurso,3J4V,40.78553,2024-05-03
Recurso,3K6T,37.75,2024-05-03
Recurso,EPFV,43.62493,2024-05-03
Recurso,TR2G,38.93668,2024-05-03
Recurso,TR3G,38.9969,2024-05-03
Recurso,2ZP9,33.50932,2024-05-04
Recurso,3ACC,37.62732,2024-05-04
Recurso,3B4L,14.12,2024-05-04
Recurso,3EBN,37.80207,2024-05-04
Recurso,3EDL,32.74901,2024-05-04
Recurso,3EFY,32.30225,2024-05-04
Recurso,3EV1,52.90276,2024-05-04
Recurso,3EV3,44.71138,2024-05-04
Recurso,3IRX,29.82034,2024-05-04
Recurso,3J2B,27.31753,2024-05-04
Recurso,3J4D,35.05998,2024-05-04
Recurso,3J4R,36.0831,2024-05-04
Recurso,3J4T,35.61717,2024-05-04
Recurso,3J4V,33.67891,2024-05-04
Recurso,3K6T,30.83159,2024-05-04
Recurso,EPFV,37.98769,2024-05-04
Recurso,TR2G,34.01187,2024-05-04
Recurso,TR3G,34.10015,2024-05-04
Recurso,2ZP9,34.55015,2024-05-05
Recurso,3ACC,39.44455,2024-05-05
Recurso,3B4L,28.99655,2024-05-05
Recurso,3EBN,44.43706,2024-05-05
Recurso,3EDL,33.11493,2024-05-05
Recurso,3EV1,57.04643,2024-05-05
Recurso,3EV3,54.39536,2024-05-05
Recurso,3IRX,39.58621,2024-05-05
Recurso,3J2B,34.40443,2024-05-05
Recurso,3J4D,43.72607,2024-05-05
Recurso,3J4R,40.96856,2024-05-05
Recurso,3J4T,39.29964,2024-05-05
Recurso,3J4V,33.06002,2024-05-05
Recurso,3K6T,47.29872,2024-05-05
Recurso,EPFV,48.02943,2024-05-05
Recurso,TR2G,34.01787,2024-05-05
Recurso,TR3G,34.03484,2024-05-05
