Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,ADCC,8341.8,7950.6,7486.0,12420.4,13117.1,12364.7,11757.1,11370.1,10562.8,10082.6,9650.7,9193.5,8622.2,8352.2,8303.6,8262.3,7971.9,7810.2,7597.3,7549.1,7745.4,7625.4,7551.5,7229.9,2024-04-29
Agente,AMRC,2.1,2.1,2.1,2.1,2.1,2.1,2.1,,,,,,,,,,,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2024-04-29
Agente,BCCC,,,,,,,484.2,1035.6,3595.8,7234.8,7100.4,7783.2,6457.2,7555.8,4589.4,3972.0,6049.8,2027.4,0.52,,,,,,2024-04-29
Agente,BIAC,27605.02,27800.14,28273.68,27951.17,27210.39,26576.4,21883.35,15135.11,10615.19,9562.23,5995.12,5490.07,6069.86,5542.44,3842.25,4243.88,5898.46,10453.99,13418.32,15069.67,16294.84,18913.32,21229.85,22485.0,2024-04-29
Agente,BIGC,,,,,,,,,,,,,,,,,,1500.0,,,,,,,2024-04-29
Agente,BTGC,20974.33,21078.93,20928.13,20665.53,20166.73,19390.13,18653.73,18056.73,17134.93,16527.73,15087.33,14249.73,14283.53,13435.53,13690.33,13965.93,12672.13,12082.93,10911.33,10139.53,10487.93,9628.73,8987.53,10127.33,2024-04-29
Agente,CDNC,8000.52,10261.8,10188.79,11340.52,9471.31,,,,950.21,,,,,,,,,,,,,,,,2024-04-29
Agente,CDNG,12860.49,12832.28,11379.48,,,,,,,,,,4735.09,10618.84,11046.49,11806.36,,,,,,,,,2024-04-29
Agente,CEOC,8259.03,9289.88,10814.1,11020.84,7631.39,,,,,,,,,,,,,,,,,,,,2024-04-29
Agente,CERC,,,,,,,1040.0,1040.0,1040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,,,,,,,2024-04-29
Agente,CHVC,7395.15,1815.43,814.22,898.05,3914.88,2701.85,,,,,,,,1323.83,2053.28,,,,235.73,911.06,883.65,823.21,303.24,2296.6,2024-04-29
Agente,CHVG,,,,,,,,,,,,,,,,,96348.93,151605.14,581773.49,578585.41,581717.07,319079.04,,,2024-04-29
Agente,CIEC,674.72,711.74,698.61,685.34,678.22,678.61,673.99,676.36,675.18,666.6,582.65,664.02,670.69,660.06,653.53,573.74,313.76,420.62,622.98,677.95,693.59,669.37,653.27,615.58,2024-04-29
Agente,CNRC,22134.71,22356.25,21836.24,22508.78,22011.8,21821.94,22161.68,22936.06,25290.62,27106.81,28862.98,30124.5,28342.44,29004.56,27801.9,27024.48,25923.1,22836.72,20109.68,21254.12,21000.68,21612.28,21502.5,21665.08,2024-04-29
Agente,COLC,2215.82,2265.62,2298.28,2284.67,2253.87,2080.24,1878.52,1279.32,842.43,653.73,553.12,351.82,853.02,1061.49,622.35,409.0,606.39,506.41,520.8,754.48,1139.12,1464.41,1740.36,1948.58,2024-04-29
Agente,CSSC,,,,,,20044.38,31206.92,25950.35,53448.76,34658.97,15512.64,4309.69,,,,,,,,,,,,,2024-04-29
Agente,DEPC,17.55,11.55,7.65,,5.25,2.85,11.55,10.35,17.1,40.2,19.95,6.6,21.75,0.75,4.2,,,1.91,4.77,5.73,101.18,75.41,21.96,43.26,2024-04-29
Agente,DEPG,9972.5,9972.5,9972.5,9972.5,9972.5,9972.5,,,,,,,,,,,,,9972.5,9972.5,9972.5,9972.5,9972.5,9972.5,2024-04-29
Agente,DLRC,1093.12,1100.05,1114.4,1098.55,1070.91,1077.1,1045.42,2428.71,2322.45,2307.69,2245.21,2272.2,2262.44,2285.52,2180.39,2070.1,2099.55,515.37,541.76,617.72,695.64,818.17,907.41,975.49,2024-04-29
Agente,EDPC,,90.3,620.66,720.78,572.8,,,,,,,,,,,,,,,,,,,,2024-04-29
Agente,EEPG,23.07,85.2,131.45,133.61,,61.68,,,,,,,,,,,,,,,,,,,2024-04-29
Agente,EGRC,,,,,,,174.0,913.2,1410.0,2222.4,1781.4,2329.8,2147.4,2167.8,2466.6,2154.0,1024.2,368.4,4.2,,,,,,2024-04-29
Agente,EGTC,23746.01,23018.01,22674.01,22684.01,23272.01,24180.01,26802.01,28914.01,30248.01,31102.01,31810.01,32466.01,32848.01,32306.01,31870.01,31466.01,31008.01,30910.01,32306.01,32828.01,31638.01,29722.01,27468.01,25260.01,2024-04-29
Agente,EMEC,1336.78,2207.11,2016.11,1976.91,2126.02,1807.72,1627.02,1342.81,1299.78,1353.56,335.76,,469.68,882.66,1345.53,2040.61,2306.7,2365.74,1584.61,1640.16,1003.15,122.31,2493.18,2461.1,2024-04-29
Agente,EMMC,0.33,0.22,,0.09,,,,,,0.41,0.45,,,0.47,,,0.41,,,0.46,,,0.33,,2024-04-29
Agente,EMPC,,26.09,98.64,145.05,156.87,141.72,233.98,128.12,,,,,,,,,,,,,,,,,2024-04-29
Agente,EMUG,6122.07,6152.04,6166.76,6171.4,6136.66,6120.52,6220.18,58161.09,58320.84,58067.61,58241.37,58485.42,58347.58,58520.04,58169.4,58132.12,114981.7,124055.32,123819.54,123790.98,123831.92,123884.59,123946.51,67012.5,2024-04-29
Agente,ENBC,4051.36,4266.78,4411.9,4545.78,4516.03,4202.19,3506.81,2674.99,1652.44,1381.24,764.96,350.86,242.0,271.51,137.35,111.43,218.85,841.34,1081.37,1202.93,1578.16,2227.74,2864.76,3426.72,2024-04-29
Agente,ENDG,,,135129.77,138407.51,100325.94,,,,95436.26,179470.01,409652.13,611332.26,466897.33,639697.74,749974.37,686619.1,535248.99,535278.75,505514.09,561330.84,508452.76,477051.52,619052.18,382876.4,2024-04-29
Agente,EOEG,,,,,,,,,,,,,,,,,,53969.55,53969.55,53969.55,53969.55,53969.55,53969.55,53969.55,2024-04-29
Agente,EPMG,1076180.53,1669879.28,1687021.59,1686811.7,1564952.77,1284594.82,1215421.84,1410675.83,1292188.95,1232571.99,1079026.73,1033052.39,1077734.24,1052415.58,1129277.14,1245583.65,1229685.54,942662.32,785172.18,702110.64,836919.97,1022857.72,1176606.36,1270017.49,2024-04-29
Agente,EPSC,,,,,1047.55,1032.72,1082.78,1458.31,1525.87,1555.97,1615.7,1662.15,1681.64,1681.8,1697.97,1692.9,1682.28,1094.45,1097.21,1127.9,1123.19,1052.34,973.78,871.74,2024-04-29
Agente,EPSG,49382.85,100144.47,63056.22,77938.65,122391.19,177099.96,319307.68,263662.66,279205.12,299808.78,311964.21,326462.83,360695.06,355876.0,335155.84,255004.78,210059.06,279052.88,229015.68,221315.58,232657.61,244386.93,258691.27,240192.53,2024-04-29
