Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,CHVG,,,,,,,,,,,,,,,,1501.21,,1998.22,,,,,,,2024-04-29
Agente,ENDG,,5769.36,,,,,,,1840.84,,,2831.81,471.98,2009.12,,,,,5719.04,,,,,870.87,2024-04-29
Agente,EPMG,5766.92,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Agente,EPSG,,,,,,1950.58,,,,,,,,,,,,,,,,,,,2024-04-29
Agente,ISGG,,,4947.82,1621.59,1981.85,,104.41,2795.01,,,,,,,,,,,,,,,,,2024-04-29
Agente,CHVG,,,,,,14620.41,13390.26,18165.66,14086.53,32101.29,110528.99,,,,,,,,,,,,,108805.06,2024-04-30
Agente,ENDG,,,10898.37,14408.17,12410.56,,,,,,,,,,40468.21,160404.3,87442.79,84078.78,,,,38483.3,,,2024-04-30
Agente,EPMG,,,,,,,,,,,316508.2,398736.28,412459.07,456856.27,411605.88,289804.41,,,,,,374292.82,195780.84,46109.84,2024-04-30
Agente,EPSG,,,,,,,,,,,,,,,,,,,,114366.15,,,,,2024-04-30
Agente,ISGG,3734.07,15364.36,,,,,,,,,,,,,,,365924.23,362355.36,304898.85,293098.94,386271.66,,,,2024-04-30
Agente,SOCG,,,,,,,,,,,,,,,,,,,106134.98,,,,,,2024-04-30
Agente,CHVG,,,,,,,,,,300504.69,216804.99,303999.74,360669.82,351019.64,448092.7,445647.49,247526.33,,,,,,102344.01,217852.33,2024-05-01
Agente,ENDG,,,,,,,,,,,,109852.63,,,,,196312.51,445169.94,279419.87,,380301.24,416272.39,131578.46,,2024-05-01
Agente,EPMG,,64064.58,68207.24,69209.62,67983.77,67180.02,66435.99,161804.81,200965.17,8156.45,132645.4,,57636.23,88559.2,,,,,,,,,,,2024-05-01
Agente,ISGG,61680.74,,,,,,,,,,,,,,,,,,139055.08,389726.61,9274.52,,,,2024-05-01
