Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,CHVG,,,,,,,,,,,,,,,,274860.26,,365859.05,,,,,,,2024-04-29
Agente,ENDG,,550243.92,,,,,,,188453.19,,,289902.23,48318.23,205680.6,,,,,1100191.61,,,,,89153.99,2024-04-29
Agente,EPMG,522099.32,,,,,,,,,,,,,,,,,,,,,,,,2024-04-29
Agente,EPSG,,,,,,191885.34,,,,,,,,,,,,,,,,,,,2024-04-29
Agente,ISGG,,,481786.43,157899.86,192979.62,,10584.4,283339.88,,,,,,,,,,,,,,,,,2024-04-29
Agente,CHVG,,,,,,1597926.24,1463477.96,1985401.56,1539576.25,3508485.31,12598118.1,,,,,,,,,,,,,12401624.19,2024-04-30
Agente,ENDG,,,1133214.86,1498164.62,1290452.7,,,,,,,,,,7850032.1,31115260.68,19585454.95,18831983.26,,,,7464998.83,,,2024-04-30
Agente,EPMG,,,,,,,,,,,36075672.84,47441728.52,49074469.03,54356857.45,79843397.3,56216321.9,,,,,,72605401.88,23294046.53,5255609.5,2024-04-30
Agente,EPSG,,,,,,,,,,,,,,,,,,,,40483354.42,,,,,2024-04-30
Agente,ISGG,343460.56,1582225.1,,,,,,,,,,,,,,,81959787.89,81160431.62,88382010.05,103751225.94,86517209.64,,,,2024-04-30
Agente,SOCG,,,,,,,,,,,,,,,,,,,30765687.93,,,,,,2024-04-30
Agente,CHVG,,,,,,,,,,40361986.93,29119945.43,57759950.6,48443006.2,47146851.93,60185122.91,59856696.97,47030002.7,,,,,,19445361.9,29260617.85,2024-05-01
Agente,ENDG,,,,,,,,,,,,20871999.7,,,,,37299376.9,84582288.6,54486874.65,,83666272.8,79091754.1,24999907.4,,2024-05-01
Agente,EPMG,,7367426.7,7843832.6,8305154.4,8158052.4,8061602.4,7972318.8,19416577.2,24115820.4,1095525.43,17816134.26,,7741352.6,11894740.39,,,,,,,,,,,2024-05-01
Agente,ISGG,5382446.41,,,,,,,,,,,,,,,,,,27115740.6,85739854.2,2040394.4,,,,2024-05-01
