Id,Values_code,Values_MarketType,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,NMRG,NO REGULADO,,,,,,,23.86,1192.58,1757.46,1905.24,2084.58,1983.46,1963.41,1990.23,1975.43,1883.19,1445.93,200.26,,,,,,,2024-04-29
Agente,NTCG,NO REGULADO,,,,,,,1265.13,1562.22,1629.63,1658.52,1658.61,1649.7,1644.39,1623.69,1539.63,1257.48,460.39,,,,,,,,2024-04-29
Agente,AMRC,REGULADO,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2024-04-29
Agente,CDNG,REGULADO,8455.8,8455.8,8455.8,8455.8,8455.8,15854.62,16911.6,16911.6,22196.47,22196.47,22196.47,22196.47,15854.62,9512.77,9512.77,9512.77,17968.57,22196.47,22196.47,22196.47,22196.47,14797.65,14797.65,14797.65,2024-04-29
Agente,CIEG,REGULADO,1498.0,1476.0,1469.0,1459.0,1452.0,1467.0,1517.0,1589.0,1674.0,1748.0,1803.0,1839.0,1854.0,1847.0,1827.0,1814.0,1832.0,1929.0,1990.0,2013.0,1966.0,1854.0,1716.0,1602.0,2024-04-29
Agente,CNRC,REGULADO,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,2024-04-29
Agente,CSSC,REGULADO,239.23,239.23,239.23,239.23,239.23,239.23,239.23,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,,,,,,,,2024-04-29
Agente,CSSG,REGULADO,151669.0,155532.0,158344.0,160194.0,161739.0,165184.0,159942.0,176261.0,166340.0,160299.0,154053.0,148069.0,147650.0,148029.0,149091.0,152152.0,158637.0,134437.0,134694.0,130669.0,131455.0,132912.0,136573.0,143334.0,2024-04-29
Agente,DEPC,REGULADO,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2024-04-29
Agente,ELIC,REGULADO,1891.09,1252.32,1078.75,890.72,960.36,1518.08,2486.94,2830.84,4491.55,5003.37,5439.29,6053.2,5664.72,5665.31,5760.27,5642.46,5584.67,5791.85,5465.86,5563.69,5133.9,4514.98,3298.63,2074.69,2024-04-29
Agente,ENDG,REGULADO,103764.21,93344.53,87449.86,86371.14,105171.59,145460.76,160240.3,164955.29,182151.27,192907.79,203171.5,210439.54,204658.9,204373.96,209020.01,208392.0,204319.75,209944.04,232979.66,243140.1,231564.92,206014.53,172541.65,137125.44,2024-04-29
Agente,ENVC,REGULADO,,,,,,,,1165.45,3115.0,5427.93,7103.37,7701.45,7073.23,5926.33,5584.4,4367.96,2534.89,,,,,,,,2024-04-29
Agente,EPMG,REGULADO,447271.55,396323.41,374687.2,368602.5,461537.82,652748.92,726722.09,646981.17,730533.3,783428.45,841520.16,882151.15,854131.79,841619.38,863573.3,864069.44,847156.51,1124243.76,1260102.29,1314938.39,1246395.17,1104381.75,918209.49,724326.96,2024-04-29
Agente,EPSG,REGULADO,6131.42,5779.54,5556.73,5420.49,5524.68,6021.68,6398.38,6376.6,7276.59,8003.64,8546.79,8940.28,8790.29,8792.1,8931.93,8981.76,8956.58,10362.73,12016.97,12594.48,12045.05,10848.15,9230.96,7629.13,2024-04-29
Agente,EPTC,REGULADO,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,752.19,2024-04-29
Agente,ERRG,REGULADO,,,,,,,426.48,1811.61,3433.26,4919.03,6383.42,7191.09,7301.8,6786.0,5755.64,4245.97,2377.74,593.81,,,,,,,2024-04-29
Agente,FERC,REGULADO,18608.0,18482.52,18414.28,18414.41,18591.04,18997.48,19316.98,19376.36,19480.05,19571.0,19720.16,19881.42,19816.53,19699.81,19717.76,19798.22,19877.53,20028.25,20693.75,21042.92,20703.9,20169.78,19484.04,18914.96,2024-04-29
Agente,FERG,REGULADO,2.46,1.63,1.4,1.16,1.25,1.97,3.23,3.68,5.84,6.5,7.07,7.87,7.36,7.36,7.49,7.34,7.26,7.53,7.11,7.23,6.67,5.87,4.29,2.7,2024-04-29
Agente,GASC,REGULADO,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,2024-04-29
Agente,GECG,REGULADO,62571.02,61691.29,61075.69,60647.98,60792.8,60782.21,61142.68,60705.85,61157.91,61579.54,62060.43,62659.96,63207.39,63377.78,63335.05,63225.75,62600.39,62695.68,64792.46,66014.52,66144.21,65806.98,64943.47,63288.85,2024-04-29
Agente,GNCG,REGULADO,,,,,,5.4,6031.9,16627.3,23540.0,28149.8,31087.4,33556.9,31786.7,31445.1,25789.3,16362.9,11175.1,2482.0,,,,,,,2024-04-29
Agente,HIMG,REGULADO,32392.31,32151.72,32011.34,31961.7,32046.13,32245.98,32604.28,33051.06,33394.12,33745.87,34103.1,34475.21,34550.07,34398.66,34238.68,34143.95,34079.42,34210.31,34804.56,35077.56,34729.09,34223.63,33570.04,32868.12,2024-04-29
Agente,IAEC,REGULADO,5836.0,5604.0,5436.0,5310.0,5256.0,5170.0,5206.0,4976.0,5062.0,5136.0,5234.0,5376.0,5542.0,5608.0,5592.0,5562.0,5394.0,5566.0,6116.0,6446.0,6528.0,6536.0,6380.0,6056.0,2024-04-29
Agente,ISGG,REGULADO,250894.72,235330.25,226611.72,223879.96,245963.83,296698.66,316549.09,319274.68,345528.85,363383.3,380961.62,397722.43,385887.03,384787.13,391076.05,390837.88,387252.58,406952.0,450909.15,467835.59,447972.54,405318.05,349337.83,294621.67,2024-04-29
Agente,NESC,REGULADO,1567.21,1515.48,1481.87,1506.01,1584.33,1702.69,1787.61,1557.21,1654.61,1640.09,1606.79,1642.09,1570.61,1586.42,1664.51,1738.76,1806.47,2219.75,2288.75,2210.25,2064.25,1910.56,1779.79,1639.08,2024-04-29
Agente,NMRC,REGULADO,,,,,,,,1503.0,1503.0,1503.0,1503.0,1503.0,1503.0,1503.0,1503.0,1503.0,1503.0,,,,,,,,2024-04-29
Agente,NMRG,REGULADO,23804.22,23505.52,23367.01,23330.23,22946.37,22778.59,23698.21,23296.21,23934.29,24126.51,24369.64,24860.29,25334.96,25120.21,24828.2,24591.64,24210.13,22379.57,22529.68,22542.9,22159.92,21933.32,21464.09,21458.86,2024-04-29
Agente,NTCG,REGULADO,274987.72,265315.23,258502.86,255230.67,258622.27,266113.32,282556.79,312043.21,335878.28,348964.02,362472.93,373190.55,371496.53,371803.29,376980.74,377309.19,367826.43,361693.5,364598.68,370614.64,362230.26,346094.54,325285.82,303129.32,2024-04-29
Agente,PEEC,REGULADO,12177.83,11901.03,11705.19,11591.39,11539.12,11845.5,12224.18,12777.35,13712.4,14107.33,14515.2,15068.98,15146.0,15708.11,16482.18,16742.93,16681.07,16756.62,17283.56,17118.96,16594.05,15869.91,14824.29,13730.48,2024-04-29
Agente,PRYC,REGULADO,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,50450.0,2024-04-29
Agente,RTAC,REGULADO,6793.33,6627.94,6494.68,6382.99,6304.96,6133.58,6103.17,6530.53,6646.17,6712.38,6809.1,6946.12,7094.32,7204.27,7255.97,7183.11,6947.14,6449.73,6600.37,6994.01,7260.19,7402.1,7391.5,7245.74,2024-04-29
Agente,RTQC,REGULADO,89133.49,82840.7,78122.82,73805.52,70938.48,69015.21,72069.3,56535.68,63655.32,67700.68,74302.55,82727.63,84532.83,86418.34,88823.16,87766.51,82185.18,113371.8,120479.62,125679.69,125878.28,121999.98,114659.21,106042.73,2024-04-29
Agente,SPRG,REGULADO,75422.75,73445.89,72912.44,72621.71,72969.82,74986.09,79293.21,83992.18,86965.37,88950.01,90704.43,92137.26,91192.94,90853.02,92467.51,92970.24,92621.22,95143.61,100610.15,102885.09,99785.31,95297.18,89036.11,83277.57,2024-04-29
Agente,TRMG,REGULADO,18326.17,17559.34,17527.14,17429.04,16865.67,17007.4,18801.85,20163.86,21526.6,21799.29,22759.12,23858.6,24608.84,23939.28,23585.95,23190.49,22364.55,23542.18,24262.42,24515.68,23551.01,22914.14,21388.37,20621.9,2024-04-29
Agente,TYPG,REGULADO,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,14552.0,2024-04-29
Agente,VCHC,REGULADO,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,601.75,2024-04-29
Agente,ZONC,REGULADO,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2024-04-29
Agente,NMRG,NO REGULADO,,,,,,,23.86,1192.58,1757.46,1905.24,2084.58,1983.46,1963.41,1990.23,1975.43,1883.19,1445.93,200.26,,,,,,,2024-04-30
Agente,NTCG,NO REGULADO,,,,,,,1265.13,1562.22,1629.63,1658.52,1658.61,1649.7,1644.39,1623.69,1539.63,1257.48,460.39,,,,,,,,2024-04-30
Agente,AMRC,REGULADO,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2024-04-30
Agente,CDNG,REGULADO,8455.8,8455.8,8455.8,8455.8,8455.8,15854.62,16911.6,16911.6,22196.47,22196.47,22196.47,22196.47,15854.62,9512.77,9512.77,9512.77,17968.57,22196.47,22196.47,22196.47,22196.47,14797.65,14797.65,14797.65,2024-04-30
Agente,CIEG,REGULADO,1498.0,1476.0,1469.0,1459.0,1452.0,1467.0,1517.0,1589.0,1674.0,1748.0,1803.0,1839.0,1854.0,1847.0,1827.0,1814.0,1832.0,1929.0,1990.0,2013.0,1966.0,1854.0,1716.0,1602.0,2024-04-30
Agente,CNRC,REGULADO,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,5260.2,2024-04-30
Agente,CSSC,REGULADO,239.23,239.23,239.23,239.23,239.23,239.23,239.23,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,2962.13,,,,,,,,2024-04-30
Agente,CSSG,REGULADO,151669.0,155532.0,158344.0,160194.0,161739.0,165184.0,159942.0,176261.0,166340.0,160299.0,154053.0,148069.0,147650.0,148029.0,149091.0,152152.0,158637.0,134437.0,134694.0,130669.0,131455.0,132912.0,136573.0,143334.0,2024-04-30
Agente,DEPC,REGULADO,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2024-04-30
Agente,ELIC,REGULADO,1891.09,1252.32,1078.75,890.72,960.36,1518.08,2486.94,2830.84,4491.55,5003.37,5439.29,6053.2,5664.72,5665.31,5760.27,5642.46,5584.67,5791.85,5465.86,5563.69,5133.9,4514.98,3298.63,2074.69,2024-04-30
Agente,ENDG,REGULADO,106876.49,96045.24,90205.96,88418.64,107173.42,147548.61,160240.3,164955.29,182151.27,192907.79,203171.5,210439.54,204658.9,204373.96,209020.01,208392.0,204319.75,209944.04,232979.66,243140.1,231564.92,206014.53,171381.97,136122.2,2024-04-30
Agente,ENVC,REGULADO,,,,,,,,1165.45,3115.0,5427.93,7103.37,7701.45,7073.23,5926.33,5584.4,4367.96,2534.89,,,,,,,,2024-04-30
