Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,AAGG,,,0.35,0.35,,0.35,4366.87,10657.89,22814.24,43880.39,53556.51,54379.42,52954.09,52880.44,52411.63,40233.41,36702.94,11283.15,8.48,,,,,,2024-04-29
Agente,ABAG,17024.5,16960.8,16801.4,16607.1,16330.7,15899.4,15549.2,15135.7,14717.8,14451.2,13780.0,13432.2,13532.1,13141.1,13260.5,13383.3,12652.4,12443.8,12133.0,11912.1,12127.3,11701.7,11303.1,11711.0,2024-04-29
Agente,ADCG,6655.2,6266.4,5804.4,5584.8,6039.6,6120.0,6015.6,5970.0,5786.4,5805.6,5776.8,5634.0,5296.8,5212.8,5323.2,5356.8,5299.2,5286.0,5210.4,5198.4,5439.6,5450.4,5373.6,5227.2,2024-04-29
Agente,AESC,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,7778.33,2024-04-29
Agente,AMRC,89132.0,89132.0,89132.0,89132.0,89132.0,89132.0,89132.0,89137.0,89137.0,89137.0,89137.0,89137.0,89137.0,89137.0,89137.0,89137.0,89137.0,89132.0,89132.0,89132.0,89132.0,89132.0,89132.0,89132.0,2024-04-29
Agente,BCCG,,,,,,,484.2,1035.6,3595.8,7234.8,7100.4,7783.2,6457.2,7555.8,4589.4,3972.0,6049.8,2027.4,0.52,,,,,,2024-04-29
Agente,BDJG,615.12,615.6,612.6,616.56,614.16,618.0,619.2,616.32,616.56,613.92,612.36,518.64,609.36,613.32,608.16,610.8,605.88,609.6,610.8,403.8,612.72,614.88,612.24,615.48,2024-04-29
Agente,BIAC,21550.49,21546.04,21546.69,21546.97,21545.7,21547.17,21549.9,21678.74,21803.3,22015.19,22667.24,22687.0,22696.45,22704.61,22683.0,22679.81,22678.85,22662.38,22645.48,22584.71,21947.42,21609.6,21547.48,21559.34,2024-04-29
Agente,BIGC,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3500.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2024-04-29
Agente,BTGC,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,100847.0,2024-04-29
Agente,CAFC,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,54500.78,2024-04-29
Agente,CBYC,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2024-04-29
Agente,CCGG,1300.0,1278.0,1265.0,1240.0,1178.0,1178.0,1172.0,1116.0,1010.0,1021.0,977.0,929.0,973.0,859.0,868.0,1061.0,980.0,1005.0,1248.0,1222.0,513.0,554.0,1308.0,1281.0,2024-04-29
Agente,CDNG,12494.2,12451.17,10886.42,11499.24,12063.85,19140.77,20495.55,20624.66,26221.1,26226.27,26222.82,26221.1,19910.24,13568.39,13570.11,13564.95,22003.53,26233.15,26240.04,26226.27,26226.27,18827.45,18822.28,18829.17,2024-04-29
