Id,Code,Value,Date
Recurso,CHBG,364000.0,2024-04-29
Recurso,EPFV,79000.0,2024-04-29
Recurso,GVIO,968200.0,2024-04-29
Recurso,PGUG,634000.0,2024-04-29
Recurso,PRC3,80000.0,2024-04-29
Recurso,QUI1,98000.0,2024-04-29
Recurso,SNCR,300000.0,2024-04-29
Recurso,TBQ3,221080.0,2024-04-29
Recurso,TBQ4,138149.0,2024-04-29
Recurso,TEC1,230000.0,2024-04-29
Recurso,TSR1,497483.0,2024-04-29
Recurso,TYP1,180000.0,2024-04-29
Recurso,TYP2,160000.0,2024-04-29
Recurso,CHBG,364000.0,2024-04-30
Recurso,EPFV,79000.0,2024-04-30
Recurso,GVIO,968200.0,2024-04-30
Recurso,PGUG,634000.0,2024-04-30
Recurso,PRC3,80000.0,2024-04-30
Recurso,QUI1,98000.0,2024-04-30
Recurso,SNCR,300000.0,2024-04-30
Recurso,TBQ3,221080.0,2024-04-30
Recurso,TBQ4,138149.0,2024-04-30
Recurso,TEC1,230000.0,2024-04-30
Recurso,TSR1,497483.0,2024-04-30
Recurso,TYP1,180000.0,2024-04-30
Recurso,TYP2,160000.0,2024-04-30
Recurso,ALBG,2807971.0,2024-05-01
Recurso,CHBG,259000.0,2024-05-01
Recurso,ESMR,150000.0,2024-05-01
Recurso,GVIO,937000.0,2024-05-01
Recurso,SLVJ,47233.0,2024-05-01
Recurso,SNFR,120000.0,2024-05-01
Recurso,TBQ3,221080.0,2024-05-01
Recurso,TBQ4,138149.0,2024-05-01
Recurso,TEC1,230000.0,2024-05-01
Recurso,TYP1,180000.0,2024-05-01
Recurso,TYP2,160000.0,2024-05-01
Recurso,ALBG,2807971.0,2024-05-02
Recurso,CHBG,259000.0,2024-05-02
Recurso,ESMR,150000.0,2024-05-02
Recurso,GVIO,937000.0,2024-05-02
Recurso,HMLG,110000.0,2024-05-02
Recurso,SLVJ,47233.0,2024-05-02
Recurso,SNCR,959637.0,2024-05-02
Recurso,SNFR,120000.0,2024-05-02
Recurso,TBQ3,221080.0,2024-05-02
Recurso,TBQ4,138149.0,2024-05-02
Recurso,TEC1,230000.0,2024-05-02
Recurso,TYP1,180000.0,2024-05-02
Recurso,TYP2,160000.0,2024-05-02
Recurso,ALBG,2807971.0,2024-05-03
Recurso,CHBG,259000.0,2024-05-03
Recurso,ESMR,150000.0,2024-05-03
Recurso,GVIO,937000.0,2024-05-03
Recurso,HMLG,110000.0,2024-05-03
Recurso,SLVJ,47233.0,2024-05-03
Recurso,SNCR,959637.0,2024-05-03
Recurso,SNFR,120000.0,2024-05-03
Recurso,TBQ3,221080.0,2024-05-03
Recurso,TBQ4,138149.0,2024-05-03
Recurso,TEC1,230000.0,2024-05-03
Recurso,TYP1,180000.0,2024-05-03
Recurso,TYP2,160000.0,2024-05-03
